trade_date,raw_count,after_universe_count,after_include_1_segment_limit_up_count_bucket=lt_5,after_include_2_market_chain_count_bucket=8_15,after_include_3_fd_ratio_bucket=0_5pct_1pct,exclude_condition_1_amount_ratio_bucket=0_8_1_2_removed,after_exclude_condition_1_amount_ratio_bucket=0_8_1_2,exclude_condition_2_market_segment=star_removed,after_exclude_condition_2_market_segment=star,exclude_rule_1_exclude_bj_prev_pct_0_3_removed,after_exclude_rule_1_exclude_bj_prev_pct_0_3,final_count,first_zero_stage
20260303,74,74,0,0,0,0,0,0,0,0,0,0,after_include_1_segment_limit_up_count_bucket=lt_5
20260304,43,41,5,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260305,62,59,1,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260306,66,65,5,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260309,36,33,4,4,1,0,1,0,1,0,1,1,not_zero
20260310,52,49,4,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260311,50,50,3,3,0,0,0,0,0,0,0,0,after_include_3_fd_ratio_bucket=0_5pct_1pct
20260312,49,48,4,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260313,51,51,2,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260316,40,40,3,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260317,37,36,3,3,0,0,0,0,0,0,0,0,after_include_3_fd_ratio_bucket=0_5pct_1pct
20260318,50,49,0,0,0,0,0,0,0,0,0,0,after_include_1_segment_limit_up_count_bucket=lt_5
20260319,24,24,2,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260320,24,24,2,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260323,24,24,2,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260324,77,76,4,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260325,77,77,5,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260326,36,36,0,0,0,0,0,0,0,0,0,0,after_include_1_segment_limit_up_count_bucket=lt_5
20260327,71,70,4,4,1,0,1,0,1,0,1,1,not_zero
20260330,56,54,3,3,0,0,0,0,0,0,0,0,after_include_3_fd_ratio_bucket=0_5pct_1pct
20260331,51,51,0,0,0,0,0,0,0,0,0,0,after_include_1_segment_limit_up_count_bucket=lt_5
20260401,51,50,0,0,0,0,0,0,0,0,0,0,after_include_1_segment_limit_up_count_bucket=lt_5
20260402,27,27,3,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260403,33,29,4,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260407,89,88,0,0,0,0,0,0,0,0,0,0,after_include_1_segment_limit_up_count_bucket=lt_5
20260408,112,108,1,1,0,0,0,0,0,0,0,0,after_include_3_fd_ratio_bucket=0_5pct_1pct
20260409,49,49,2,2,1,0,1,0,1,0,1,1,not_zero
20260410,54,52,1,1,0,0,0,0,0,0,0,0,after_include_3_fd_ratio_bucket=0_5pct_1pct
20260413,54,50,1,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260414,50,49,5,5,2,1,1,0,1,0,1,1,not_zero
20260415,54,52,2,2,1,0,1,0,1,0,1,1,not_zero
20260416,72,70,0,0,0,0,0,0,0,0,0,0,after_include_1_segment_limit_up_count_bucket=lt_5
20260417,68,64,7,7,4,0,4,0,4,0,4,4,not_zero
20260420,66,65,2,2,0,0,0,0,0,0,0,0,after_include_3_fd_ratio_bucket=0_5pct_1pct
20260421,47,44,3,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260422,49,48,3,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260423,44,44,4,4,1,1,0,0,0,0,0,0,after_exclude_condition_1_amount_ratio_bucket=0_8_1_2
20260424,55,53,4,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260427,62,57,3,3,1,1,0,0,0,0,0,0,after_exclude_condition_1_amount_ratio_bucket=0_8_1_2
20260428,56,56,4,4,0,0,0,0,0,0,0,0,after_include_3_fd_ratio_bucket=0_5pct_1pct
20260429,92,92,5,5,0,0,0,0,0,0,0,0,after_include_3_fd_ratio_bucket=0_5pct_1pct
20260430,72,66,4,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260506,92,87,1,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260507,96,94,1,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260508,92,90,6,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260511,88,79,2,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260512,52,52,0,0,0,0,0,0,0,0,0,0,after_include_1_segment_limit_up_count_bucket=lt_5
20260513,100,95,3,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20260514,46,43,2,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
