scenario,relaxed_column,day_count,executed_trade_count,review_required_count,no_candidate_count,position_occupied_skip_count,candidate_day_count,win_rate,avg_account_return,median_account_return,max_profit,max_loss,initial_equity,final_equity,equity_multiple,max_drawdown,candidate_return_source_count,audit_return_source_count,live_order_enabled
strict_baseline,none,120,13,3,91,13,16,0.7692307692307693,0.04736578384822116,0.0397618491523106,0.181313377355646,-0.0505145833968012,500000.0,890568.6672975417,1.7811373345950834,-0.05051458339680115,0,13,False
relax_market_chain_count,market_chain_count_bucket,120,32,2,54,32,34,0.53125,0.01614546308137072,0.01492538283354884,0.181313377355646,-0.13153168215892058,500000.0,787346.0485104552,1.5746920970209104,-0.17433951286847138,19,13,False
relax_segment_limit_up_count,segment_limit_up_count_bucket,120,30,3,57,30,33,0.5333333333333333,0.012348224221345546,0.00481850771450772,0.14455033604737233,-0.09339719331742248,500000.0,680216.7053318224,1.3604334106636449,-0.2505810736065729,26,4,False
relax_fd_ratio,fd_ratio_bucket,120,27,2,64,27,29,0.5185185185185185,0.013681052230949838,0.00173939958456328,0.31206971198063727,-0.1010600715779688,500000.0,659574.9863383358,1.3191499726766716,-0.1882282776406793,22,5,False
