scenario,relaxed_column,signal_date,operation_status,candidate_count,ts_code,name,risk_flags,account_return,equity_before,equity_after,return_source,active_position,live_order_enabled,initial_equity,peak_equity,drawdown
strict_baseline,none,20251112,NO_CANDIDATE,0,,,,0.0,500000.0,500000.0,,,False,500000.0,500000.0,0.0
strict_baseline,none,20251113,NO_CANDIDATE,0,,,,0.0,500000.0,500000.0,,,False,500000.0,500000.0,0.0
strict_baseline,none,20251114,NO_CANDIDATE,0,,,,0.0,500000.0,500000.0,,,False,500000.0,500000.0,0.0
strict_baseline,none,20251117,NO_CANDIDATE,0,,,,0.0,500000.0,500000.0,,,False,500000.0,500000.0,0.0
strict_baseline,none,20251118,NO_CANDIDATE,0,,,,0.0,500000.0,500000.0,,,False,500000.0,500000.0,0.0
strict_baseline,none,20251119,NO_CANDIDATE,0,,,,0.0,500000.0,500000.0,,,False,500000.0,500000.0,0.0
strict_baseline,none,20251120,HISTORICAL_SIM_FILLED,1,301092.SZ,争光股份,无,-0.0505145833968012,500000.0,474742.7083015994,audit_dynamic_account_return,,False,500000.0,500000.0,-0.05051458339680115
strict_baseline,none,20251121,POSITION_OCCUPIED_SKIP,0,,,,0.0,474742.7083015994,474742.7083015994,,301092.SZ 争光股份,False,500000.0,500000.0,-0.05051458339680115
strict_baseline,none,20251124,NO_CANDIDATE,0,,,,0.0,474742.7083015994,474742.7083015994,,,False,500000.0,500000.0,-0.05051458339680115
strict_baseline,none,20251125,REVIEW_REQUIRED_PLAN_ONLY,1,301117.SZ,佳缘科技,LOSS_OVERLAY_WATCH,0.0,474742.7083015994,474742.7083015994,manual_review_skip,,False,500000.0,500000.0,-0.05051458339680115
strict_baseline,none,20251126,NO_CANDIDATE,0,,,,0.0,474742.7083015994,474742.7083015994,,,False,500000.0,500000.0,-0.05051458339680115
strict_baseline,none,20251127,NO_CANDIDATE,0,,,,0.0,474742.7083015994,474742.7083015994,,,False,500000.0,500000.0,-0.05051458339680115
strict_baseline,none,20251128,NO_CANDIDATE,0,,,,0.0,474742.7083015994,474742.7083015994,,,False,500000.0,500000.0,-0.05051458339680115
strict_baseline,none,20251201,NO_CANDIDATE,0,,,,0.0,474742.7083015994,474742.7083015994,,,False,500000.0,500000.0,-0.05051458339680115
strict_baseline,none,20251202,NO_CANDIDATE,0,,,,0.0,474742.7083015994,474742.7083015994,,,False,500000.0,500000.0,-0.05051458339680115
strict_baseline,none,20251203,NO_CANDIDATE,0,,,,0.0,474742.7083015994,474742.7083015994,,,False,500000.0,500000.0,-0.05051458339680115
strict_baseline,none,20251204,HISTORICAL_SIM_FILLED,1,300946.SZ,恒而达,无,0.0291749495998269,474742.7083015994,488593.30288918386,audit_dynamic_account_return,,False,500000.0,500000.0,-0.02281339422163231
strict_baseline,none,20251205,POSITION_OCCUPIED_SKIP,0,,,,0.0,488593.30288918386,488593.30288918386,,300946.SZ 恒而达,False,500000.0,500000.0,-0.02281339422163231
strict_baseline,none,20251208,NO_CANDIDATE,0,,,,0.0,488593.30288918386,488593.30288918386,,,False,500000.0,500000.0,-0.02281339422163231
strict_baseline,none,20251209,NO_CANDIDATE,0,,,,0.0,488593.30288918386,488593.30288918386,,,False,500000.0,500000.0,-0.02281339422163231
strict_baseline,none,20251210,NO_CANDIDATE,0,,,,0.0,488593.30288918386,488593.30288918386,,,False,500000.0,500000.0,-0.02281339422163231
strict_baseline,none,20251211,NO_CANDIDATE,0,,,,0.0,488593.30288918386,488593.30288918386,,,False,500000.0,500000.0,-0.02281339422163231
strict_baseline,none,20251212,HISTORICAL_SIM_FILLED,1,920576.BJ,天力复合,无,0.181313377355646,488593.30288918386,577181.8047893719,audit_dynamic_account_return,,False,500000.0,577181.8047893719,0.0
strict_baseline,none,20251215,POSITION_OCCUPIED_SKIP,0,,,,0.0,577181.8047893719,577181.8047893719,,920576.BJ 天力复合,False,500000.0,577181.8047893719,0.0
strict_baseline,none,20251216,NO_CANDIDATE,0,,,,0.0,577181.8047893719,577181.8047893719,,,False,500000.0,577181.8047893719,0.0
strict_baseline,none,20251217,NO_CANDIDATE,0,,,,0.0,577181.8047893719,577181.8047893719,,,False,500000.0,577181.8047893719,0.0
strict_baseline,none,20251218,NO_CANDIDATE,0,,,,0.0,577181.8047893719,577181.8047893719,,,False,500000.0,577181.8047893719,0.0
strict_baseline,none,20251219,REVIEW_REQUIRED_PLAN_ONLY,2,300557.SZ,理工光科,LOSS_OVERLAY_WATCH,0.0,577181.8047893719,577181.8047893719,manual_review_skip,,False,500000.0,577181.8047893719,0.0
strict_baseline,none,20251222,NO_CANDIDATE,0,,,,0.0,577181.8047893719,577181.8047893719,,,False,500000.0,577181.8047893719,0.0
strict_baseline,none,20251223,NO_CANDIDATE,0,,,,0.0,577181.8047893719,577181.8047893719,,,False,500000.0,577181.8047893719,0.0
strict_baseline,none,20251224,NO_CANDIDATE,0,,,,0.0,577181.8047893719,577181.8047893719,,,False,500000.0,577181.8047893719,0.0
strict_baseline,none,20251225,NO_CANDIDATE,0,,,,0.0,577181.8047893719,577181.8047893719,,,False,500000.0,577181.8047893719,0.0
strict_baseline,none,20251226,NO_CANDIDATE,0,,,,0.0,577181.8047893719,577181.8047893719,,,False,500000.0,577181.8047893719,0.0
strict_baseline,none,20251229,NO_CANDIDATE,0,,,,0.0,577181.8047893719,577181.8047893719,,,False,500000.0,577181.8047893719,0.0
strict_baseline,none,20251230,NO_CANDIDATE,0,,,,0.0,577181.8047893719,577181.8047893719,,,False,500000.0,577181.8047893719,0.0
strict_baseline,none,20251231,HISTORICAL_SIM_FILLED,2,300058.SZ,蓝色光标,无,0.1308549259970799,577181.8047893719,652708.8871419462,audit_dynamic_account_return,,False,500000.0,652708.8871419462,0.0
strict_baseline,none,20260105,POSITION_OCCUPIED_SKIP,0,,,,0.0,652708.8871419462,652708.8871419462,,300058.SZ 蓝色光标,False,500000.0,652708.8871419462,0.0
strict_baseline,none,20260106,NO_CANDIDATE,0,,,,0.0,652708.8871419462,652708.8871419462,,,False,500000.0,652708.8871419462,0.0
strict_baseline,none,20260107,NO_CANDIDATE,0,,,,0.0,652708.8871419462,652708.8871419462,,,False,500000.0,652708.8871419462,0.0
strict_baseline,none,20260108,NO_CANDIDATE,0,,,,0.0,652708.8871419462,652708.8871419462,,,False,500000.0,652708.8871419462,0.0
strict_baseline,none,20260109,NO_CANDIDATE,0,,,,0.0,652708.8871419462,652708.8871419462,,,False,500000.0,652708.8871419462,0.0
strict_baseline,none,20260112,NO_CANDIDATE,0,,,,0.0,652708.8871419462,652708.8871419462,,,False,500000.0,652708.8871419462,0.0
strict_baseline,none,20260113,NO_CANDIDATE,0,,,,0.0,652708.8871419462,652708.8871419462,,,False,500000.0,652708.8871419462,0.0
strict_baseline,none,20260114,NO_CANDIDATE,0,,,,0.0,652708.8871419462,652708.8871419462,,,False,500000.0,652708.8871419462,0.0
strict_baseline,none,20260115,HISTORICAL_SIM_FILLED,1,301629.SZ,矽电股份,无,-0.0338313603969523,652708.8871419462,630626.8575467534,audit_dynamic_account_return,,False,500000.0,652708.8871419462,-0.03383136039695234
strict_baseline,none,20260116,POSITION_OCCUPIED_SKIP,0,,,,0.0,630626.8575467534,630626.8575467534,,301629.SZ 矽电股份,False,500000.0,652708.8871419462,-0.03383136039695234
strict_baseline,none,20260119,HISTORICAL_SIM_FILLED,2,300658.SZ,延江股份,无,0.0681174370165976,630626.8575467534,673583.5427966692,audit_dynamic_account_return,,False,500000.0,673583.5427966692,0.0
strict_baseline,none,20260120,POSITION_OCCUPIED_SKIP,0,,,,0.0,673583.5427966692,673583.5427966692,,300658.SZ 延江股份,False,500000.0,673583.5427966692,0.0
strict_baseline,none,20260121,NO_CANDIDATE,0,,,,0.0,673583.5427966692,673583.5427966692,,,False,500000.0,673583.5427966692,0.0
strict_baseline,none,20260122,NO_CANDIDATE,0,,,,0.0,673583.5427966692,673583.5427966692,,,False,500000.0,673583.5427966692,0.0
strict_baseline,none,20260123,HISTORICAL_SIM_FILLED,1,920368.BJ,连城数控,无,0.1027727855059111,673583.5427966692,742809.599760823,audit_dynamic_account_return,,False,500000.0,742809.599760823,0.0
strict_baseline,none,20260126,POSITION_OCCUPIED_SKIP,0,,,,0.0,742809.599760823,742809.599760823,,920368.BJ 连城数控,False,500000.0,742809.599760823,0.0
strict_baseline,none,20260127,NO_CANDIDATE,0,,,,0.0,742809.599760823,742809.599760823,,,False,500000.0,742809.599760823,0.0
strict_baseline,none,20260128,HISTORICAL_SIM_FILLED,3,300164.SZ,通源石油,无,0.0457725821591917,742809.599760823,776809.9131945116,audit_dynamic_account_return,,False,500000.0,776809.9131945116,0.0
strict_baseline,none,20260129,POSITION_OCCUPIED_SKIP,0,,,,0.0,776809.9131945116,776809.9131945116,,300164.SZ 通源石油,False,500000.0,776809.9131945116,0.0
strict_baseline,none,20260130,NO_CANDIDATE,0,,,,0.0,776809.9131945116,776809.9131945116,,,False,500000.0,776809.9131945116,0.0
strict_baseline,none,20260202,NO_CANDIDATE,0,,,,0.0,776809.9131945116,776809.9131945116,,,False,500000.0,776809.9131945116,0.0
