variant,description,candidate_day_count,price_confirmed_count,independent_trade_count,independent_win_rate,independent_avg_account_return,independent_median_account_return,independent_equity_multiple,independent_max_drawdown,independent_max_profit,independent_max_loss,independent_profit_loss_ratio,independent_max_consecutive_losses,independent_win_rate_wilson_95_lower,independent_win_rate_wilson_95_upper,independent_avg_return_bootstrap_95_lower,independent_avg_return_bootstrap_95_upper,first_12m_trade_count,first_12m_multiple,second_12m_trade_count,second_12m_multiple,multiple_without_best_trade,multiple_without_worst_trade,merged_d_trade_count,merged_d_win_rate,merged_d_avg_account_return,merged_d_median_account_return,merged_d_equity_multiple,merged_d_max_drawdown,merged_d_max_profit,merged_d_max_loss,merged_d_profit_loss_ratio,merged_d_max_consecutive_losses,merged_d_win_rate_wilson_95_lower,merged_d_win_rate_wilson_95_upper,merged_d_avg_return_bootstrap_95_lower,merged_d_avg_return_bootstrap_95_upper,acde_trade_count,acde_win_rate,acde_avg_account_return,acde_median_account_return,acde_equity_multiple,acde_max_drawdown,acde_max_profit,acde_max_loss,acde_profit_loss_ratio,acde_max_consecutive_losses,acde_win_rate_wilson_95_lower,acde_win_rate_wilson_95_upper,acde_avg_return_bootstrap_95_lower,acde_avg_return_bootstrap_95_upper,candidate_wins_by_signal_time_day_count,main_triple_gate_passed,baseline_reserve_d_multiple,baseline_reserve_acde_multiple,baseline_reserve_dual_gate_passed
selected,09:30~10:00、第一次回封、封住率40%~60%,38,26,25,0.56,0.011500066801985488,0.010479355313973,1.2891459916963344,-0.15592067288705824,0.0943157057271028,-0.1061108386058824,1.3555182481076298,3,0.3706733186979878,0.7333436111893266,-0.008620584726978619,0.03133355609631369,10,1.0793264426087124,15,1.194398599723446,1.1780384627119824,1.4421765554084702,59,0.5084745762711864,0.01713057912390649,0.010782646179660961,2.3199798077256912,-0.21285748212571987,0.4527951871228668,-0.1061108386058824,1.8814122981938042,7,0.3843514305938966,0.6315616309225984,-0.0010363562321653477,0.03927750201664136,135,0.674074074074074,0.04744034474223476,0.02892162643672605,330.9086998598683,-0.22970534744710858,0.4527951871228668,-0.13823939725321072,2.6252645825404164,4,0.5911438060029638,0.7473717958872311,0.0327186342389295,0.06282392240653978,38,True,2.396243474952836,330.9086998598683,True
time_end_0955,结束时间提前5分钟,36,25,24,0.5833333333333334,0.0129613203757461,0.012171301728415001,1.32026465464956,-0.15592067288705824,0.0943157057271028,-0.1061108386058824,1.3101849248867088,3,0.3883466586522876,0.7553239739018824,-0.00787925880014218,0.033156067887867416,9,1.105380276697626,15,1.194398599723446,1.2064751037931303,1.4769892193238625,58,0.5172413793103449,0.017832313573771585,0.0118693486222846,2.3759817424638237,-0.2090471807386104,0.4527951871228668,-0.1061108386058824,1.857527600875504,7,0.3916226178340948,0.6407181457594501,-0.0007361141732814939,0.04019428384346752,135,0.674074074074074,0.04744034474223476,0.02892162643672605,330.9086998598683,-0.22970534744710858,0.4527951871228668,-0.13823939725321072,2.6252645825404164,4,0.5911438060029638,0.7473717958872311,0.0327186342389295,0.06282392240653978,36,True,2.4540863364527974,330.9086998598683,True
time_start_0935,开始时间推迟5分钟,33,23,22,0.5454545454545454,0.005603027840497132,0.00566729179054475,1.0962245435937668,-0.23927986376927246,0.0943157057271028,-0.1061108386058824,1.0829473750278846,4,0.3465979532073494,0.7307970581918668,-0.016777383788490023,0.027697185224621012,10,0.8609018163620682,12,1.2733444427218275,1.0017443210004882,1.2263539943633333,58,0.5172413793103449,0.016177111622724158,0.0076680252290808985,2.156074661391933,-0.19581824545915838,0.4527951871228668,-0.1061108386058824,1.7418250356837859,6,0.3916226178340948,0.6407181457594501,-0.002280792165410842,0.0387687994167603,135,0.6666666666666666,0.046329524635247865,0.02337772455587504,284.17815447656335,-0.22970534744710858,0.4527951871228668,-0.13823939725321072,2.5387369319535944,4,0.5835079155098996,0.7406027671509253,0.03157115773412293,0.06190734356614994,33,False,2.156074661391933,284.17815447656335,False
time_end_1005,结束时间放宽5分钟,43,29,28,0.5714285714285714,0.00859665026689864,0.012171301728415001,1.2246590971885587,-0.13747220903963953,0.0943157057271028,-0.1061108386058824,1.1227450559107073,2,0.3907078562746876,0.734914528758763,-0.01041186292041417,0.02752586211928248,11,1.1029165415679367,17,1.1103823825577497,1.1191094953488314,1.370034619592623,60,0.5333333333333333,0.01767573876725317,0.01340964960388262,2.437612716401529,-0.2090471807386105,0.4527951871228668,-0.1061108386058824,1.7510120895329884,7,0.4089342702715789,0.6537209395856151,-0.00047681353932456583,0.03902687462545527,133,0.6691729323308271,0.04703536124563915,0.02337772455587504,284.0656421662274,-0.2297053474471087,0.4527951871228668,-0.13823939725321072,2.523295344173929,4,0.5854477743344909,0.7433999329890938,0.03192631992073082,0.0626454049185313,43,False,2.5177432780612623,284.0656421662274,False
seal_35_60,封住率下界放宽到35%,38,26,25,0.56,0.011500066801985488,0.010479355313973,1.2891459916963344,-0.15592067288705824,0.0943157057271028,-0.1061108386058824,1.3555182481076298,3,0.3706733186979878,0.7333436111893266,-0.008620584726978619,0.03133355609631369,10,1.0793264426087124,15,1.194398599723446,1.1780384627119824,1.4421765554084702,59,0.5084745762711864,0.01713057912390649,0.010782646179660961,2.3199798077256912,-0.21285748212571987,0.4527951871228668,-0.1061108386058824,1.8814122981938042,7,0.3843514305938966,0.6315616309225984,-0.0010363562321653477,0.03927750201664136,135,0.674074074074074,0.04744034474223476,0.02892162643672605,330.9086998598683,-0.22970534744710858,0.4527951871228668,-0.13823939725321072,2.6252645825404164,4,0.5911438060029638,0.7473717958872311,0.0327186342389295,0.06282392240653978,38,True,2.396243474952836,330.9086998598683,True
seal_40_65,封住率上界放宽到65%,70,47,39,0.358974358974359,-0.01409059387005562,-0.0136679257204858,0.5398476266199886,-0.46015237338001136,0.0943157057271028,-0.1448483447080645,0.9183506219903352,3,0.22742085458992867,0.5158185144045146,-0.031679420139454434,0.003102747805500659,15,0.5520964469247358,24,0.9778139845438696,0.49331981967790056,0.6312887582912919,68,0.4411764705882353,0.004382537713881701,-0.00854768981394545,1.101216412131141,-0.42174475575853587,0.4527951871228668,-0.1448483447080645,1.4879204526124075,6,0.32946233969530203,0.5591813469541181,-0.013672467218214197,0.024999656321977988,135,0.6222222222222222,0.039726170907029526,0.020424129636437156,118.18177224845377,-0.2297053474471087,0.4527951871228668,-0.1448483447080645,2.333567818504429,4,0.5381243392928765,0.6995568279917286,0.024857542267141382,0.05511479107415849,70,False,1.4362814480693602,148.15328451693208,False
seal_45_60,封住率下界收紧到45%,36,26,25,0.56,0.005172506354614039,0.010479355313973,1.1047015460579765,-0.15592067288705824,0.0943157057271028,-0.1061108386058824,1.013872182781097,3,0.3706733186979878,0.7333436111893266,-0.013816077314532606,0.024314537076651887,9,0.9548929622670139,16,1.156885210919663,1.0094907166885383,1.2358372757703804,59,0.5084745762711864,0.014449409442816892,0.010782646179660961,1.988048907513928,-0.32547782635582656,0.4527951871228668,-0.1061108386058824,1.7044790800414882,5,0.3843514305938966,0.6315616309225984,-0.003521465448801454,0.036543139566782325,134,0.6791044776119403,0.04739271935526684,0.02438433903660967,316.6072764395242,-0.22970534744710858,0.4527951871228668,-0.13823939725321072,2.6308442034389263,4,0.5960227409345868,0.7522034053255089,0.032824323041593405,0.06275008245034279,36,False,2.0534011574813786,316.6072764395242,False
seal_40_55,封住率上界收紧到55%,20,14,13,0.3076923076923077,-0.015865934831969283,-0.0220359597368673,0.795069889915039,-0.25962588995411817,0.0873294065999999,-0.1061108386058824,1.1640509824677452,4,0.12680703655710515,0.5763065681945096,-0.046519211217923344,0.014999847818570155,8,0.8581018330672361,5,0.9265449149235669,0.7312134529692937,0.8894501961239144,49,0.46938775510204084,0.014031282670468447,-0.007251002382487399,1.6964871637404344,-0.2917726010546615,0.4527951871228668,-0.1061108386058824,1.887230977502939,6,0.3370350369317515,0.6061913601633808,-0.007234504456778318,0.03985946292538515,135,0.6592592592592592,0.044991216923485275,0.02150756108281972,238.1056124145764,-0.22970534744710858,0.4527951871228668,-0.13823939725321072,2.5080356116639853,4,0.5758930961040766,0.7338126673273783,0.030307997576370854,0.06047659907524768,20,False,1.7042119556502322,238.1056124145764,False
seal_35_65,封住率双边各放宽5%,70,47,39,0.358974358974359,-0.01409059387005562,-0.0136679257204858,0.5398476266199886,-0.46015237338001136,0.0943157057271028,-0.1448483447080645,0.9183506219903352,3,0.22742085458992867,0.5158185144045146,-0.031679420139454434,0.003102747805500659,15,0.5520964469247358,24,0.9778139845438696,0.49331981967790056,0.6312887582912919,68,0.4411764705882353,0.004382537713881701,-0.00854768981394545,1.101216412131141,-0.42174475575853587,0.4527951871228668,-0.1448483447080645,1.4879204526124075,6,0.32946233969530203,0.5591813469541181,-0.013672467218214197,0.024999656321977988,135,0.6222222222222222,0.039726170907029526,0.020424129636437156,118.18177224845377,-0.2297053474471087,0.4527951871228668,-0.1448483447080645,2.333567818504429,4,0.5381243392928765,0.6995568279917286,0.024857542267141382,0.05511479107415849,70,False,1.4362814480693602,148.15328451693208,False
open_1_2,允许第1~2次炸板后的回封,42,26,25,0.56,0.011500066801985488,0.010479355313973,1.2891459916963344,-0.15592067288705824,0.0943157057271028,-0.1061108386058824,1.3555182481076298,3,0.3706733186979878,0.7333436111893266,-0.008620584726978619,0.03133355609631369,10,1.0793264426087124,15,1.194398599723446,1.1780384627119824,1.4421765554084702,59,0.5084745762711864,0.01713057912390649,0.010782646179660961,2.3199798077256912,-0.21285748212571987,0.4527951871228668,-0.1061108386058824,1.8814122981938042,7,0.3843514305938966,0.6315616309225984,-0.0010363562321653477,0.03927750201664136,135,0.674074074074074,0.04744034474223476,0.02892162643672605,330.9086998598683,-0.22970534744710858,0.4527951871228668,-0.13823939725321072,2.6252645825404164,4,0.5911438060029638,0.7473717958872311,0.0327186342389295,0.06282392240653978,42,True,2.396243474952836,330.9086998598683,True
