rule,family,description,signal_time_fields,uses_only_signal_time_known_fields,selection_signature,raw_event_count,candidate_day_count,selected_price_confirmed_count,selected_queue_unknown_count,unresolved_exit_count,independent_trade_count,independent_win_rate,independent_avg_account_return,independent_median_account_return,independent_equity_multiple,independent_max_drawdown,independent_max_profit,independent_max_loss,independent_profit_loss_ratio,independent_max_consecutive_losses,first_12m_trade_count,first_12m_multiple,second_12m_trade_count,second_12m_multiple,equivalent_rule_count,independent_profitable,merged_d_trade_count,merged_d_win_rate,merged_d_avg_account_return,merged_d_median_account_return,merged_d_equity_multiple,merged_d_max_drawdown,merged_d_max_profit,merged_d_max_loss,merged_d_profit_loss_ratio,merged_d_max_consecutive_losses,acde_trade_count,acde_win_rate,acde_avg_account_return,acde_median_account_return,acde_equity_multiple,acde_max_drawdown,acde_max_profit,acde_max_loss,acde_profit_loss_ratio,acde_max_consecutive_losses,merged_chosen_candidate_day_count,merged_chosen_baseline_day_count,acde_d_count,acde_a_count,acde_e_count,acde_c_count,merged_d_compound_improved,acde_compound_improved,triple_gate_passed,formal_strategy_modified
time_1300_1454__open_eq3__speed_any__ever_40_100,SPEED_FREE,13:00~14:54回封；第3次炸板后的回封；回封速度不限；信号时全市场已有40~100只首板触板,"market_ever_sealed_count,open_times_at_signal,signal_hhmm",True,89f9a3a01331a98d2554be1d3dd02f6fe0a622ac,1665,388,322,66,0,136,0.49264705882352944,0.007767445419052042,-0.004151828525804551,2.197871268105759,-0.5280986457614589,0.2858048076223851,-0.1389379853296101,1.439648434232238,10,64,1.1047179430573377,72,1.9895316102344536,1,True,137.0,0.48175182481751827,0.005788589957356581,-0.0052227688134826,1.692408574913526,-0.4690822982232652,0.2858048076223851,-0.1293101803360104,1.3826803874255975,5.0,152.0,0.5197368421052632,0.014115513347179998,0.002265043706602944,4.792070990209435,-0.5827826086986061,0.5231929254879739,-0.17629142067722955,1.5401976912092823,5.0,388.0,9.0,113.0,18.0,19.0,2.0,False,False,False,False
time_1300_1359__open_any__speed_6_10__duration_16_30,OPEN_COUNT_FREE,13:00~13:59回封；炸板/回封次数不限；最后炸板后6~10分钟回封；首封后16~30分钟形成回封,"first_to_signal_minutes,last_break_to_signal_minutes,signal_hhmm",True,59049ea232b8aaff571806c9443621a16858af72,159,106,80,26,0,56,0.5357142857142857,0.015523414714059217,0.00288018722106265,2.195534202787311,-0.16073935121928318,0.1375331983591836,-0.1595638622725343,2.026539026913191,5,25,1.5217187860537873,31,1.4427989079906824,1,True,70.0,0.4857142857142857,0.01005482089656117,-0.0013986654,1.8292560795720596,-0.25203026207284374,0.1375331983591836,-0.1595638622725343,1.7666288172930915,8.0,133.0,0.5939849624060151,0.030370701565731236,0.008292640894970553,35.18564804020509,-0.19939421300587168,0.4892913885103991,-0.1595638622725343,2.2048675229273953,4.0,106.0,33.0,49.0,36.0,35.0,13.0,False,False,False,False
time_0930_1000__open_any__speed_2_5__growth_board,OPEN_COUNT_FREE,09:30~10:00回封；炸板/回封次数不限；最后炸板后2~5分钟回封；仅创业板或科创板,"last_break_to_signal_minutes,market_segment,signal_hhmm",True,c6ef09f08fbb7d2993cebf0ae38c260100b88ddb,225,123,92,31,0,69,0.4492753623188406,0.015413193001445964,-0.0031851231919251,2.190048106584559,-0.35782410478944127,0.288567784289668,-0.1788772035733262,1.9124818655954992,5,36,1.2086802656667999,33,1.811933369637967,1,True,82.0,0.5,0.019937330126548143,-0.00023233766694274994,3.8269462080949745,-0.3046001458074893,0.288567784289668,-0.1788772035733262,1.878077186723025,4.0,140.0,0.5928571428571429,0.02850679441663138,0.018455343904997756,31.78603820991402,-0.35287897170922033,0.3687231660523884,-0.1788772035733262,1.702393825877745,5.0,123.0,34.0,53.0,35.0,39.0,13.0,True,False,False,False
time_before_1400__open_any__speed_6_10__duration_16_30,OPEN_COUNT_FREE,14:00前回封；炸板/回封次数不限；最后炸板后6~10分钟回封；首封后16~30分钟形成回封,"first_to_signal_minutes,last_break_to_signal_minutes,signal_hhmm",True,33d002654921b8569bd01cc8a72a4a2503e98cd5,513,256,189,67,0,99,0.494949494949495,0.009980641080221142,-0.0005051672970162,2.1876297402224387,-0.31854444680376015,0.1935590908019999,-0.1777544284995882,1.5386978379957246,5,43,1.1768478957770339,56,1.8588891122399622,1,True,104.0,0.5096153846153846,0.010224357188456852,0.0006219036764388,2.37607763397012,-0.26915690564002337,0.1935590908019999,-0.1777544284995882,1.4880379660316572,5.0,135.0,0.5333333333333333,0.021218135813633344,0.0037053138311083,11.296051971946813,-0.32580311387324046,0.4892913885103991,-0.1777544284995882,1.964751580233408,5.0,256.0,14.0,79.0,23.0,27.0,6.0,True,False,False,False
time_1400_1429__open_eq4__speed_any__break_low_le1,SPEED_FREE,14:00~14:29回封；第4次炸板后的回封；回封速度不限；最后炸板分钟最低回落不超1%,"last_break_low_depth_pct,open_times_at_signal,signal_hhmm",True,1a08b7bfae30f42d05eecd0d289ebd7fb54af24d,698,276,237,39,0,116,0.49137931034482757,0.008901364680409099,-0.00278556183562325,2.181481012747141,-0.5599591849263057,0.2804551011527076,-0.1098246868368515,1.4720465330560317,9,55,0.8288845684234315,61,2.631827272277966,1,True,120.0,0.475,0.0070712493864509614,-0.0046942968927182,1.8163284099826973,-0.5454108125256306,0.2804551011527076,-0.1098246868368515,1.4662863510970385,9.0,144.0,0.4791666666666667,0.01433445488982065,-0.0035020907471932502,5.203054650999155,-0.634652821643485,0.3687231660523884,-0.1521254777099999,1.8392634328973338,9.0,273.0,15.0,98.0,16.0,21.0,9.0,False,False,False,False
time_1400_1429__open_3_5__speed_le5,STRUCTURAL_GRID,14:00~14:29回封；第3~5次炸板后的回封；最后炸板后5分钟内回封,"last_break_to_signal_minutes,open_times_at_signal,signal_hhmm",True,297e0e86255cb03b2ffb25584889c76e17028c67,1634,336,293,43,0,130,0.4846153846153846,0.008005860198175131,-0.00384923633345745,2.1812762512549213,-0.3980338404706295,0.2971055310979901,-0.1389379853296101,1.5167891478700077,4,62,1.0350824578723885,68,2.107345395205067,1,True,131.0,0.48091603053435117,0.006989546642249746,-0.0038346774835661,1.9292594024771186,-0.4161176880095343,0.2971055310979901,-0.1389379853296101,1.4753969008195549,4.0,150.0,0.52,0.014036509188956246,0.004766441950549516,5.786854136350663,-0.3360379285856564,0.3687231660523884,-0.13823939725321072,1.6673491689003908,6.0,335.0,7.0,109.0,13.0,22.0,6.0,False,False,False,False
time_any__open_eq3__speed_6_10__amount_ge1_5,TIME_FREE,回封时间不限；第3次炸板后的回封；最后炸板后6~10分钟回封；信号前成交额至少前日1.5倍,"last_break_to_signal_minutes,open_times_at_signal,signal_cumulative_amount_vs_prev_day",True,b3f77af6507c0ffefc0cb1d1a4eee4ceec4e6b4e,261,171,142,29,0,86,0.46511627906976744,0.010727290959207903,-0.00448522930812245,2.1800951713984764,-0.2348692648361267,0.1659870463579606,-0.095701778541811,1.9469539020543423,4,44,1.2358196095989809,42,1.7640885081164142,1,True,95.0,0.4421052631578947,0.009218285783430237,-0.0065686671289239,2.0843450585345566,-0.2953705107005826,0.140190473515297,-0.0871615302333235,1.9964401319625575,4.0,138.0,0.5289855072463768,0.019757923469332,0.004066792093119729,10.702006140871015,-0.2986224758758913,0.25794581579670345,-0.11849477438811166,1.9424359575725338,6.0,168.0,29.0,69.0,27.0,33.0,9.0,True,False,False,False
time_1300_1454__open_1_2__speed_any__ever_40_100,SPEED_FREE,13:00~14:54回封；第1~2次炸板后的回封；回封速度不限；信号时全市场已有40~100只首板触板,"market_ever_sealed_count,open_times_at_signal,signal_hhmm",True,3fb76e719b4c93ea184423e795a464907af66182,6003,418,310,108,0,132,0.4772727272727273,0.007682832094284927,-0.00449876712296815,2.1695997943374956,-0.4531220826440532,0.2877539667175889,-0.0974055603919598,1.531856984754852,6,62,1.0495013216190274,70,2.0672673293927173,1,True,132.0,0.4772727272727273,0.008256989691316347,-0.00449876712296815,2.3312799359899885,-0.4531220826440532,0.2877539667175889,-0.0974055603919598,1.5644866256668208,6.0,147.0,0.5102040816326531,0.012535639802351395,0.0020809434095071,4.58049647007911,-0.4052423806406559,0.2877539667175889,-0.1056750764320755,1.600073991733145,6.0,418.0,5.0,112.0,11.0,15.0,9.0,True,False,False,False
time_1300_1359__open_any__speed_6_10__seal_rate_ge70,OPEN_COUNT_FREE,13:00~13:59回封；炸板/回封次数不限；最后炸板后6~10分钟回封；信号时全市场首板封住率至少70%,"last_break_to_signal_minutes,market_seal_rate,signal_hhmm",True,a0d37142e8fd413a09604f2ebedd99bec19e9168,611,242,198,44,0,106,0.5283018867924528,0.009346733538167944,0.00281555662077885,2.169412267076826,-0.37335949797443135,0.1659870463579606,-0.1370202417594448,1.3014487803391064,6,50,1.1264253081054125,56,1.9259264253620691,1,True,111.0,0.5225225225225225,0.010907666774982018,0.0018673696865438,2.6807814657251323,-0.3535328971814935,0.1659870463579606,-0.1370202417594448,1.434217913770339,6.0,143.0,0.6013986013986014,0.03550122443132364,0.0072285551721429,86.52037133949871,-0.19147704023428025,0.5231929254879739,-0.11849477438811166,2.5192592528066897,5.0,242.0,12.0,82.0,28.0,22.0,11.0,True,False,False,False
time_1400_1429__open_any__speed_any__duration_61_120,OPEN_COUNT_FREE+SPEED_FREE,14:00~14:29回封；炸板/回封次数不限；回封速度不限；首封后61~120分钟形成回封,"first_to_signal_minutes,signal_hhmm",True,79a7377c6a16537c8cedde25c539c53aff1663aa,1316,313,249,64,0,120,0.48333333333333334,0.008597977580172526,-0.00408029492302875,2.1682266054880484,-0.3230580410832794,0.2877539667175889,-0.1076336102920695,1.5409542123853701,4,59,2.1180262734724584,61,1.0237014680338639,1,True,122.0,0.47540983606557374,0.0093124522671114,-0.00647262805596215,2.405728736450548,-0.3632011910967088,0.2877539667175889,-0.1076336102920695,1.644660931219193,4.0,146.0,0.547945205479452,0.014861641787103221,0.008955398571899927,5.951658594902769,-0.44731983522124885,0.2877539667175889,-0.13823939725321072,1.427680268563326,5.0,307.0,11.0,98.0,25.0,18.0,5.0,True,False,False,False
