rules,added_substyle_count,candidate_chosen_day_count,d_trade_count,d_win_rate,d_avg_account_return,d_median_account_return,d_equity_multiple,d_max_drawdown,d_max_profit,d_max_loss,d_profit_loss_ratio,d_max_consecutive_losses,acde_trade_count,acde_win_rate,acde_avg_account_return,acde_median_account_return,acde_equity_multiple,acde_max_drawdown,acde_max_profit,acde_max_loss,acde_profit_loss_ratio,acde_max_consecutive_losses,acde_leg_counts,final_dual_gate_passed
FORMAL_D_BASELINE_ONLY,0,0,39,0.5384615384615384,0.021664985780859743,0.010782646179660961,2.0261239235922566,-0.31648360601037373,0.4527951871228668,-0.07417800648559235,1.9354592229027174,4,132,0.6818181818181818,0.049119684470091414,0.0230432370814819,327.72671897548867,-0.22970534744710858,0.4892913885103991,-0.13823939725321072,2.3906519156419375,4,"{'A': 44, 'C': 17, 'D': 22, 'E': 49}",True
time_0930_1000__open_eq1__speed_any__seal_rate_40_60,1,38,59,0.5084745762711864,0.01713057912390649,0.010782646179660961,2.3199798077256912,-0.21285748212571987,0.4527951871228668,-0.1061108386058824,1.8814122981938042,7,135,0.674074074074074,0.04744034474223476,0.02892162643672605,330.9086998598683,-0.22970534744710858,0.4527951871228668,-0.13823939725321072,2.6252645825404164,4,"{'A': 41, 'C': 16, 'D': 31, 'E': 47}",True
time_0930_1000__open_1_2__speed_any__seal_rate_40_60,1,42,59,0.5084745762711864,0.01713057912390649,0.010782646179660961,2.3199798077256912,-0.21285748212571987,0.4527951871228668,-0.1061108386058824,1.8814122981938042,7,135,0.674074074074074,0.04744034474223476,0.02892162643672605,330.9086998598683,-0.22970534744710858,0.4527951871228668,-0.13823939725321072,2.6252645825404164,4,"{'A': 41, 'C': 16, 'D': 31, 'E': 47}",True
time_0930_1000__open_eq1__speed_any__seal_rate_40_60;time_0930_1000__open_1_2__speed_any__seal_rate_40_60,2,42,59,0.5084745762711864,0.01713057912390649,0.010782646179660961,2.3199798077256912,-0.21285748212571987,0.4527951871228668,-0.1061108386058824,1.8814122981938042,7,135,0.674074074074074,0.04744034474223476,0.02892162643672605,330.9086998598683,-0.22970534744710858,0.4527951871228668,-0.13823939725321072,2.6252645825404164,4,"{'A': 41, 'C': 16, 'D': 31, 'E': 47}",True
