trade_date,ts_code,name,buy_trade_date,exit_trade_date,issue_labels,dynamic_account_return,buy_amount_ratio,sell_amount_ratio,dynamic_buy_slippage_rate,dynamic_sell_slippage_rate,validation_focus
20241227,300599.SZ,雄塑科技,20241230,20241231,loss_overlay_watch,-0.0825430297500238,0.0070188988855547,0.0112191061349021,0.002,0.005,复核是否应升级为硬过滤
20251028,920748.BJ,路桥信息,20251029,20251030,high_sell_slippage;loss_overlay_watch,-0.0276078072012366,0.0168136014159142,0.0239829972864827,0.005,0.01,复核是否应升级为硬过滤；验证T+2卖出盘口冲击
20251120,301092.SZ,争光股份,20251121,20251124,high_sell_amount_ratio;high_buy_slippage;high_sell_slippage,-0.0505145833968012,0.0210051205218442,0.0315139362278009,0.01,0.01,验证T+1开盘买入盘口冲击；验证T+2卖出盘口冲击；验证计划金额相对成交额是否过大
20251125,301117.SZ,佳缘科技,20251126,20251127,loss_overlay_watch,-0.0593150378420555,0.0056388405473576,0.0074740325127509,0.002,0.002,复核是否应升级为硬过滤
20251219,300557.SZ,理工光科,20251222,20251223,loss_overlay_watch,-0.1072601608998818,0.0125251930359037,0.0188349923308079,0.005,0.005,复核是否应升级为硬过滤
20260309,301606.SZ,绿联科技,20260310,20260311,loss_overlay_watch,-0.0506941155662459,0.0094501705895134,0.0083979652740709,0.002,0.002,复核是否应升级为硬过滤
20260417,301319.SZ,唯特偶,20260420,20260421,high_sell_slippage,0.0352808081329955,0.0158819357982972,0.0200577059086817,0.005,0.01,验证T+2卖出盘口冲击
