period,start_date,end_date,role,actual_start_date,actual_end_date,trade_count,loss_overlay_hit_count,loss_overlay_hit_pct,hit_count,hit_win_count,hit_loss_count,hit_win_rate,hit_avg_return,hit_median_return,hit_max_profit,hit_max_loss,hit_compound_multiple,non_hit_count,non_hit_win_count,non_hit_loss_count,non_hit_win_rate,non_hit_avg_return,non_hit_median_return,non_hit_max_profit,non_hit_max_loss,non_hit_compound_multiple,baseline_multiple,baseline_max_drawdown,hard_exclude_multiple,hard_exclude_improvement,hard_exclude_max_drawdown,reduce_40_multiple,reduce_40_improvement,reduce_20_multiple,reduce_20_improvement
full,20240520,20260417,all,20240520,20260417,59,5,0.0847457627118644,5,0,5,0.0,-0.06548403025188873,-0.0593150378420555,-0.0276078072012366,-0.1072601608998818,0.7112175390251495,54,43,11,0.7962962962962963,0.08631635140943685,0.051315107317017744,0.4980539655009626,-0.0714087122182405,63.2811817238143,45.00668633221446,-0.11007584698669093,63.2811817238143,1.4060395661370764,-0.07140871221824052,53.55123139185289,1.189850570125677,58.26112242271796,1.2944992660127561
year_2024,20240101,20241231,year,20240520,20241227,13,1,0.07692307692307693,1,0,1,0.0,-0.0825430297500238,-0.0825430297500238,-0.0825430297500238,-0.0825430297500238,0.9174569702499762,12,11,1,0.9166666666666666,0.11001314402637152,0.0589686399921604,0.403015654731823,-0.0251537565931826,3.309922046039397,3.0367110521229073,-0.08254302975002381,3.309922046039397,1.0899693745065053,-0.02515375659318253,3.1733165490811523,1.0449846872532527,3.2416192975602747,1.067477030879879
year_2025,20250101,20251231,year,20250102,20251231,36,3,0.08333333333333333,3,0,3,0.0,-0.06472766864772463,-0.0593150378420555,-0.0276078072012366,-0.1072601608998818,0.8166022657825364,33,25,8,0.7575757575757576,0.09139390082793968,0.0454512324665184,0.4980539655009626,-0.0714087122182405,14.012283959133981,11.442462829817101,-0.10726016089988166,14.012283959133981,1.224586364626011,-0.07140871221824052,12.689899469987568,1.1090181946599695,13.341607865434545,1.1659734502845487
year_2026,20260101,20261231,year,20260115,20260417,10,1,0.1,1,0,1,0.0,-0.0506941155662459,-0.0506941155662459,-0.0506941155662459,-0.0506941155662459,0.9493058844337541,9,7,2,0.7777777777777778,0.0361029467190137,0.0397618491523106,0.1027727855059111,-0.0350052172427846,1.36441939866504,1.2952513639882868,-0.050694115566246034,1.36441939866504,1.053401244422375,-0.0350052172427846,1.3298353813266632,1.0267006222111874,1.3471273899958516,1.0400509333167813
train_2024,20240101,20241231,train,20240520,20241227,13,1,0.07692307692307693,1,0,1,0.0,-0.0825430297500238,-0.0825430297500238,-0.0825430297500238,-0.0825430297500238,0.9174569702499762,12,11,1,0.9166666666666666,0.11001314402637152,0.0589686399921604,0.403015654731823,-0.0251537565931826,3.309922046039397,3.0367110521229073,-0.08254302975002381,3.309922046039397,1.0899693745065053,-0.02515375659318253,3.1733165490811523,1.0449846872532527,3.2416192975602747,1.067477030879879
test_2025_2026,20250101,20261231,test,20250102,20260417,46,4,0.08695652173913043,4,0,4,0.0,-0.06121928037735495,-0.0550045767041507,-0.0276078072012366,-0.1072601608998818,0.7752053361492982,42,32,10,0.7619047619047619,0.07954583923316984,0.0426065408094145,0.4980539655009626,-0.0714087122182405,19.118632053445374,14.82086558770587,-0.10726016089988166,19.118632053445374,1.2899808003997126,-0.07140871221824052,16.87547730066794,1.1386296705009187,17.972845382110965,1.2126717751910328
train_2024_2025,20240101,20251231,train,20240520,20251231,49,4,0.08163265306122448,4,0,4,0.0,-0.06918150892329943,-0.07092903379603965,-0.0276078072012366,-0.1072601608998818,0.7491974406641116,45,36,9,0.8,0.09635903234752151,0.0553002037962039,0.4980539655009626,-0.0714087122182405,46.37956759170177,34.74745333881112,-0.11007584698669093,46.37956759170177,1.3347616338806096,-0.07140871221824052,40.269067994287674,1.1589070313049157,43.24841351707455,1.2446498767945189
test_2026,20260101,20261231,test,20260115,20260417,10,1,0.1,1,0,1,0.0,-0.0506941155662459,-0.0506941155662459,-0.0506941155662459,-0.0506941155662459,0.9493058844337541,9,7,2,0.7777777777777778,0.0361029467190137,0.0397618491523106,0.1027727855059111,-0.0350052172427846,1.36441939866504,1.2952513639882868,-0.050694115566246034,1.36441939866504,1.053401244422375,-0.0350052172427846,1.3298353813266632,1.0267006222111874,1.3471273899958516,1.0400509333167813
