scenario,description,initial_cash,final_equity,equity_multiple,total_trade_count,kept_trade_count,rejected_trade_count,win_rate,avg_account_return,median_account_return,max_profit,max_loss,profit_loss_ratio,max_drawdown,max_consecutive_losses,rejected_avg_account_return,rejected_total_account_return,live_order_enabled
diagnostic_reject_negative_review_only,诊断项：只跳过复核项中的亏损交易。该规则使用事后收益，只能诊断，不能直接实盘。,500000.0,33323935.58513193,66.64787117026385,59,53,6,0.8113207547169812,0.08889806716049796,0.0535001854069637,0.4980539655009626,-0.0714087122182405,17.673690984804065,-0.07140871221824052,1,-0.06298912244270748,-0.37793473465624483,False
reject_loss_overlay_or_slippage,跳过 LOSS_OVERLAY_WATCH 或高滑点交易。,500000.0,32188306.132350355,64.37661226470071,59,52,7,0.8076923076923077,0.08992916829564224,0.054400194601583796,0.4980539655009626,-0.0714087122182405,17.54883709287588,-0.07140871221824052,1,-0.04895056093189276,-0.34265392652324933,False
reject_any_executability_review,跳过所有可执行性审计 REVIEW 交易。,500000.0,32188306.132350355,64.37661226470071,59,52,7,0.8076923076923077,0.08992916829564224,0.054400194601583796,0.4980539655009626,-0.0714087122182405,17.54883709287588,-0.07140871221824052,1,-0.04895056093189276,-0.34265392652324933,False
reject_loss_overlay_watch,跳过命中 LOSS_OVERLAY_WATCH 的交易。,500000.0,31640590.86190715,63.2811817238143,59,54,5,0.7962962962962963,0.08631635140943685,0.051315107317017744,0.4980539655009626,-0.0714087122182405,14.993407760736272,-0.07140871221824052,1,-0.06548403025188873,-0.3274201512594436,False
reject_amount_ratio_warnings,跳过买入或卖出成交额占比超过阈值的交易。,500000.0,23700567.457490142,47.40113491498028,59,58,1,0.7413793103448276,0.07558926565943015,0.045611907312855055,0.4980539655009626,-0.1072601608998818,8.18721248307148,-0.11007584698669093,2,-0.0505145833968012,-0.0505145833968012,False
reject_slippage_warnings,跳过买入或卖出滑点超过阈值的交易。,500000.0,23542854.459729336,47.085708919458675,59,56,3,0.75,0.07815186441634267,0.047451305693131746,0.4980539655009626,-0.1072601608998818,8.514742951283623,-0.11007584698669093,2,-0.014280527488347433,-0.0428415824650423,False
baseline_keep_all,保留全部已成交交易。,500000.0,22503343.166107245,45.00668633221449,59,59,0,0.7288135593220338,0.07345191228559572,0.0454512324665184,0.4980539655009626,-0.1072601608998818,7.561071027974145,-0.11007584698669093,2,0.0,0.0,False
