variant,candidate_day_count,portfolio_trade_count,n_trade_count,n_win_rate,n_standalone_multiple,n_max_drawdown,portfolio_multiple,portfolio_max_drawdown,train_n_trade_count,train_n_win_rate,train_n_multiple,train_portfolio_ratio_to_without_n,validation_n_trade_count,validation_n_win_rate,validation_n_multiple,validation_portfolio_ratio_to_without_n,test_oos_n_trade_count,test_oos_n_win_rate,test_oos_n_multiple,test_oos_portfolio_ratio_to_without_n
V3_NO_POST_FILTER,105,173,32,0.59375,1.4327241049657433,-0.2069956967329024,5813.315346397399,-0.22386233070836592,18,0.6111111111111112,1.391420127545913,1.9931259607447878,5,0.6,1.0830550752250303,1.1034391246965494,9,0.5555555555555556,0.9507224397515385,0.8605558297732999
V4_VOLUME_4_8_LT_1,75,166,24,0.75,2.1975477727386705,-0.052008157634737984,5971.386963443549,-0.22386233070836603,14,0.7857142857142857,1.9969521249004805,1.9258968635426559,2,1.0,1.0702158008389986,1.084565695515516,8,0.625,1.0282514086992212,0.9307319436574717
AUCTION_ONLY,66,166,23,0.7391304347826086,2.2980926318055777,-0.052008157634737984,6161.974771640577,-0.23413141247525604,14,0.7857142857142857,1.9969521249004805,1.9258968635426559,2,1.0,1.1245692853032854,1.1245692853032851,7,0.5714285714285714,1.0233251773555296,0.9262729165804063
CURRENT_BRANCH_OFF,60,164,21,0.7142857142857143,1.887751924529602,-0.052008157634737984,5061.710556431335,-0.23413141247525615,13,0.7692307692307693,1.802746842877858,1.7386017657448432,1,1.0,1.0232847894270016,1.0232847894270014,7,0.5714285714285714,1.0233251773555296,0.9262729165804063
