signal_date,ts_code,name,n_branch,volume_ratio_bucket,execution_status,account_return
20260527,600396.SH,华电辽能,SUPPLEMENT,1_2,OK,0.019789132683854935
20260605,688017.SH,绿的谐波,SUPPLEMENT,1_2,OK,0.09519864761841859
