min_score,sample_count,t2_win_rate,t2_avg_net_return,t2_median_net_return,t2_max_drawdown,t2_max_loss,t2_max_profit,t1_win_rate,t1_avg_net_return,t1_median_net_return,passes_gate
40,15,0.6,0.018918049761817404,0.015518115631691655,-0.2116873930063502,-0.08234696817420432,0.1768788662131519,0.5333333333333333,0.0005058305684845168,0.0010641541755888727,True
45,3,0.6666666666666666,0.025988631544405002,0.04916884462151412,-0.0426190250243742,-0.042619025024374355,0.07141607503607524,0.3333333333333333,-0.005635664795970261,-0.00362,False
50,3,0.6666666666666666,0.025988631544405002,0.04916884462151412,-0.0426190250243742,-0.042619025024374355,0.07141607503607524,0.3333333333333333,-0.005635664795970261,-0.00362,False
55,1,1.0,0.04916884462151412,0.04916884462151412,0.0,0.04916884462151412,0.04916884462151412,0.0,-0.00362,-0.00362,False
60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
