score_bucket,sample_count,t2_win_rate,t2_avg_net_return,t2_median_net_return,t2_max_drawdown,t2_max_loss,t2_max_profit,t1_win_rate,t1_avg_net_return,t1_median_net_return
lt_40,22,0.6818181818181818,0.05082338301419627,0.05687746811480761,-0.12045459753198218,-0.12045459753198222,0.22401869669140767,0.5,-0.0004593132389236927,0.0018281092700029433
40_50,12,0.5833333333333334,0.017150404316170504,0.008026881767489181,-0.12559883705066144,-0.08234696817420432,0.1768788662131519,0.5833333333333334,0.0020412044095982113,0.004875923241640613
50_60,3,0.6666666666666666,0.025988631544405002,0.04916884462151412,-0.0426190250243742,-0.042619025024374355,0.07141607503607524,0.3333333333333333,-0.005635664795970261,-0.00362
60_70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80_plus,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
