signal_date,strategy_leg,ts_code,name,buy_date,exit_rule,hold_offset,matched_condition_profile_ids,fill_probability,planned_buy_amount,available_fill_amount,status,exit_date,stock_return_before_fees,entry_reference_price,entry_price,exit_reference_price,exit_price,buy_adj_factor,sell_adj_factor,position_scale,account_return,entry_filled,position_opened,outcome_observable,position_open_until,action_date
20231120,E,300210.SZ,森远股份,20231121,fixed_t2_close,2,,1.0,412500.0,694689197.968784,OK,20231122.0,0.0578435104547292,10.34,10.35034,10.96,10.94904,5.977,5.977,1.0,0.0467582421992902,True,True,True,20231122.0,20231121
20240229,E,300293.SZ,蓝英装备,20240301,fixed_t2_close,2,,1.0,412500.0,590695313.363378,OK,20240304.0,0.0763412049691736,15.16,15.175159999999998,16.35,16.333650000000002,4.759,4.759,1.0,0.0620064790893475,True,True,True,20240304.0,20240301
20240328,E,300411.SZ,金盾股份,20240329,fixed_t2_close,2,,1.0,412500.0,584060487.0959915,OK,20240401.0,0.0006162795946689,15.27,15.285269999999995,15.31,15.29469,3.623,3.623,1.0,-0.0004159811632372,True,True,True,20240401.0,20240329
20240409,E,300890.SZ,翔丰华,20240410,fixed_t2_close,2,,1.0,412500.0,413313919.920678,OK,20240411.0,-0.0515243183782508,42.72,42.762719999999995,40.6,40.5594,1.002,1.002,1.0,-0.0433971315363007,True,True,True,20240411.0,20240410
20240530,E,300423.SZ,昇辉科技,20240531,fixed_hold3_close,3,,1.0,412500.0,142408164.7869235,OK,20240604.0,0.1187793098621123,6.28,6.28628,7.04,7.03296,3.383,3.383,1.0,0.0969895563624273,True,True,True,20240604.0,20240531
20240612,E,300956.SZ,英力股份,20240613,fixed_t2_close,2,,1.0,412500.0,213021515.31312004,OK,20240614.0,0.0818226043712184,24.17,24.19417,26.2,26.1738,1.2233,1.2233,1.0,0.0665249706508841,True,True,True,20240614.0,20240613
20240613,E,688573.SH,信宇人,20240614,fixed_t2_close,2,,1.0,412500.0,34481306.545795,OK,20240617.0,0.0173212057064751,21.18,21.201179999999997,21.59,21.56841,1.0,1.0,1.0,0.0133544198121286,True,True,True,20240617.0,20240614
20240705,E,300417.SZ,南华仪器,20240708,fixed_hold3_close,3,,1.0,412500.0,101300686.46127,OK,20240710.0,0.0235917928225617,8.97,8.97897,9.2,9.1908,3.667,3.667,1.0,0.0185234638630597,True,True,True,20240710.0,20240708
20240805,E,300329.SZ,海伦钢琴,20240806,fixed_t2_close,2,,1.0,412500.0,157422899.827652,OK,20240807.0,0.0068534569643217,4.51,4.51451,4.55,4.54545,3.732,3.732,1.0,0.004725522172949,True,True,True,20240807.0,20240806
20240903,E,300068.SZ,南都电源,20240904,fixed_t2_close,2,,1.0,412500.0,1863089553.8124468,OK,20240905.0,0.0630325365338397,11.51,11.52151,12.26,12.24774,2.6134,2.6134,1.0,0.051035721147879,True,True,True,20240905.0,20240904
20240909,E,300134.SZ,大富科技,20240910,fixed_t2_close,2,,1.0,412500.0,672954931.6306319,OK,20240911.0,0.2005113720360356,8.92,8.92892,10.73,10.71927,4.327,4.327,1.0,0.1643638902053663,True,True,True,20240911.0,20240910
20240924,E,300803.SZ,指南针,20240925,fixed_t2_close,2,,1.0,412500.0,2381943516.22418,OK,20240926.0,0.1296533253980065,47.0,47.047,53.2,53.146800000000006,1.003,1.003,1.0,0.1059533526186581,True,True,True,20240926.0,20240925
20241014,E,300663.SZ,科蓝软件,20241015,fixed_hold3_close,3,,1.0,412500.0,1623788240.27539,OK,20241017.0,0.0099780219780221,25.0,25.025,25.3,25.2747,3.382,3.382,1.0,0.0073012003186814,True,True,True,20241017.0,20241015
20241115,E,301021.SZ,英诺激光,20241118,fixed_t2_close,2,,1.0,412500.0,826737913.1191221,OK,20241119.0,-0.0916683006273891,38.62,38.65861999999999,35.15,35.11485,1.009,1.009,1.0,-0.0764890906757018,True,True,True,20241119.0,20241118
20250103,E,002369.SZ,卓翼科技,20250106,fixed_t2_close,2,,1.0,412500.0,144860200.091898,OK,20250107.0,0.0097604898783103,6.79,6.79679,6.87,6.86313,4.294,4.294,1.0,0.0071218817022448,True,True,True,20250107.0,20250106
