scenario,slippage_rate_each_side,trade_count,equity_multiple,max_drawdown
C,0.002,75,33.2560820422537,-0.17726853645193374
ACED,0.002,184,16879.33748505415,-0.20134622915822797
C,0.005,75,22.862306028155306,-0.1827128876928671
ACED,0.005,184,6948.942038089794,-0.20900809766067296
C,0.01,75,12.278613835209354,-0.2088075640248046
ACED,0.01,184,1587.9808674937765,-0.2215947427859971
