profile_id,factor_count,factor_names,conditions_json,description,raw_event_count,selection_signature,trade_count,win_rate,avg_account_return,median_account_return,equity_multiple,max_drawdown,max_profit,max_loss,profit_loss_ratio,max_consecutive_losses,candidate_day_count,price_confirmed_day_count,queue_unknown_day_count,unresolved_exit_count,first_12m_trade_count,first_12m_multiple,second_12m_trade_count,second_12m_multiple,threshold_qualified
DIF_93832867b433,3,open_count_bucket;open_gap_bucket;market_touch_count_bucket,"{""market_touch_count_bucket"": ""71_100"", ""open_count_bucket"": ""GE5"", ""open_gap_bucket"": ""3_7PCT""}",open_count_bucket=GE5 AND open_gap_bucket=3_7PCT AND market_touch_count_bucket=71_100,283,31e48fd39352f5e944dce5111a3acfdc463fdf67,48,0.5625,0.02489924656002977,0.0032242130666255003,2.6633366339423685,-0.3160054770726495,0.3721270239550671,-0.1046538263036539,1.7469551822378682,3,67,58,9,0,23,1.6213147106515367,25,1.642701824911024,True
DIF_0339f813667a,3,first_seal_time_bucket;first_to_reseal_bucket;market_touch_count_bucket,"{""first_seal_time_bucket"": ""1400_1429"", ""first_to_reseal_bucket"": ""LE15"", ""market_touch_count_bucket"": ""101_150""}",first_seal_time_bucket=1400_1429 AND first_to_reseal_bucket=LE15 AND market_touch_count_bucket=101_150,151,d5dc4c65843626e67d61da596e7da6a93be1265c,27,0.6296296296296297,0.024827188953438738,0.0053067385145038,1.8919871439076688,-0.06454703727072053,0.1372041946098477,-0.0415889795921052,3.225637464593361,3,50,40,10,0,11,1.2391193796840423,16,1.5268804401962457,True
DIF_b071a3716b42,3,reseal_time_bucket;open_gap_bucket;cumulative_amount_bucket,"{""cumulative_amount_bucket"": ""0_5_1"", ""open_gap_bucket"": ""3_7PCT"", ""reseal_time_bucket"": ""1031_1130""}",reseal_time_bucket=1031_1130 AND open_gap_bucket=3_7PCT AND cumulative_amount_bucket=0_5_1,180,8ab5502fbd4906e110bbcc93e36a74eef6330c54,41,0.6097560975609756,0.024765874117974818,0.0348710806769033,2.5222819951071633,-0.1570273908132287,0.1222728291885053,-0.1328895729622152,1.6145626493893057,4,65,51,14,0,22,1.700633514262035,19,1.4831425900727775,True
DIF_c93f8294b021,3,open_count_bucket;cumulative_amount_bucket;market_touch_count_bucket,"{""cumulative_amount_bucket"": ""0_5_1"", ""market_touch_count_bucket"": ""40_70"", ""open_count_bucket"": ""GE5""}",open_count_bucket=GE5 AND cumulative_amount_bucket=0_5_1 AND market_touch_count_bucket=40_70,140,17d7a3aa6f5158abbc22ef506f4da2e01a1117b3,37,0.6486486486486487,0.02469012710501336,0.0249865535076345,2.2478850082692907,-0.30366882180999155,0.1375294480051883,-0.1923385811861804,1.2728300349348034,3,47,44,3,0,17,1.3189172240723097,20,1.7043412332797394,True
DIF_056b941da7c4,3,open_gap_bucket;segment_bucket;segment_seal_rate_bucket,"{""open_gap_bucket"": ""3_7PCT"", ""segment_bucket"": ""GROWTH_BOARD"", ""segment_seal_rate_bucket"": ""60_80PCT""}",open_gap_bucket=3_7PCT AND segment_bucket=GROWTH_BOARD AND segment_seal_rate_bucket=60_80PCT,381,52dbe9326cc9531b92349237f8e14d7d8e30efdd,57,0.5789473684210527,0.02468472055530927,0.0057477040600678,3.329915043714269,-0.26191708062273455,0.2858048076223851,-0.112759327640625,1.6806263387640752,7,97,75,22,0,28,1.312104644366189,29,2.537842585964461,True
DIF_e1839ccf102b,3,reseal_time_bucket;previous_seal_hold_bucket;market_touch_count_bucket,"{""market_touch_count_bucket"": ""101_150"", ""previous_seal_hold_bucket"": ""2_5"", ""reseal_time_bucket"": ""1300_1359""}",reseal_time_bucket=1300_1359 AND previous_seal_hold_bucket=2_5 AND market_touch_count_bucket=101_150,510,1b13c9d0c6677f5364a5d655ada39d2284129649,27,0.7037037037037037,0.024640282738831246,0.0166558596533556,1.886416141001848,-0.029633205454285716,0.1659870463579606,-0.0296332054542857,3.5473409001023524,5,48,40,8,0,13,1.3157673108877495,14,1.4337004160173896,True
DIF_9851ec5c5622,3,first_seal_time_bucket;open_gap_bucket;segment_seal_rate_bucket,"{""first_seal_time_bucket"": ""1300_1359"", ""open_gap_bucket"": ""3_7PCT"", ""segment_seal_rate_bucket"": ""60_80PCT""}",first_seal_time_bucket=1300_1359 AND open_gap_bucket=3_7PCT AND segment_seal_rate_bucket=60_80PCT,1442,3ec50f6a18964ca58a69acbdb3b1a672585eaa13,47,0.7021276595744681,0.024633880008669264,0.0163487597769795,2.9096467845740364,-0.2199548576373047,0.1832671537460202,-0.0872843357294118,1.3504500404921935,3,68,59,9,0,19,0.9860594501977897,28,2.9507823123549017,True
DIF_a543560ff7c3,3,open_count_bucket;open_gap_bucket;cumulative_amount_bucket,"{""cumulative_amount_bucket"": ""0_5_1"", ""open_count_bucket"": ""3"", ""open_gap_bucket"": ""3_7PCT""}",open_count_bucket=3 AND open_gap_bucket=3_7PCT AND cumulative_amount_bucket=0_5_1,111,0b9301f5976c078130989faf96750d7f6a29dd49,42,0.5714285714285714,0.024610896429698968,0.00626692494238615,2.5509540081349424,-0.3349097470030774,0.1375294480051883,-0.1183163852749999,1.9308716907737493,7,61,56,5,0,18,1.1768299151571984,24,2.1676488465150827,True
DIF_6ab407a89f59,3,first_seal_time_bucket;first_to_reseal_bucket;cumulative_amount_bucket,"{""cumulative_amount_bucket"": ""0_5_1"", ""first_seal_time_bucket"": ""1001_1030"", ""first_to_reseal_bucket"": ""16_30""}",first_seal_time_bucket=1001_1030 AND first_to_reseal_bucket=16_30 AND cumulative_amount_bucket=0_5_1,138,be647a59ffaad8696ea16525baf42914d70d10f2,52,0.5576923076923077,0.024490028093021404,0.01561774787245165,3.182181680868974,-0.25494040862688294,0.1935590908019999,-0.0865366631021537,2.1162906488666806,3,76,66,10,0,26,1.949355555275607,26,1.632427533426074,True
DIF_3c78157c47fd,3,reseal_time_bucket;market_active_count_bucket;segment_seal_rate_bucket,"{""market_active_count_bucket"": ""41_70"", ""reseal_time_bucket"": ""1031_1130"", ""segment_seal_rate_bucket"": ""40_60PCT""}",reseal_time_bucket=1031_1130 AND market_active_count_bucket=41_70 AND segment_seal_rate_bucket=40_60PCT,100,d0ae6df545f5a46fb59f5c2b87f7c963a2db9087,21,0.6190476190476191,0.024457222954544392,0.0161917335903555,1.4922542167640858,-0.1987912696634373,0.3090002845557691,-0.1605413959044369,1.1394482751205528,2,32,26,6,0,13,1.0124063662975502,8,1.473967634381219,True
