signal_date,daily_status,operation_status,top_ts_code,top_name,candidate_count,selected_count,planned_order_count,manual_review_required,manual_review_status,risk_flags,historical_execution_found,original_account_return,counted_account_return,observation_equity_before,observation_equity_after,live_order_enabled,peak_equity,drawdown
20260206,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,500000.0,500000.0,False,500000.0,0.0
20260209,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,500000.0,500000.0,False,500000.0,0.0
20260210,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,500000.0,500000.0,False,500000.0,0.0
20260211,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,500000.0,500000.0,False,500000.0,0.0
20260212,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,500000.0,500000.0,False,500000.0,0.0
20260213,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,500000.0,500000.0,False,500000.0,0.0
20260224,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,500000.0,500000.0,False,500000.0,0.0
20260225,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,500000.0,500000.0,False,500000.0,0.0
20260226,CLOSED_BY_HISTORICAL_SIM,HISTORICAL_SIM_FILLED,300499.SZ,高澜股份,3,1,1,False,NOT_REQUIRED,无,True,0.0193948880593092,0.0193948880593092,500000.0,509697.44402965455,False,509697.44402965455,0.0
20260227,POSITION_OCCUPIED_SKIP,POSITION_OCCUPIED_SKIP,301226.SZ,祥明智能,1,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260302,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260303,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260304,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260305,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260306,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260309,REVIEW_REQUIRED_PLAN_ONLY,REVIEW_REQUIRED_PLAN_ONLY,301606.SZ,绿联科技,1,1,1,True,PENDING_MANUAL_REVIEW,LOSS_OVERLAY_WATCH,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260310,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260311,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260312,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260313,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260316,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260317,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260318,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260319,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260320,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260323,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260324,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260325,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260326,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,509697.44402965455,509697.44402965455,False,509697.44402965455,0.0
20260327,CLOSED_BY_HISTORICAL_SIM,HISTORICAL_SIM_FILLED,300204.SZ,舒泰神,1,1,1,False,NOT_REQUIRED,无,True,0.0397618491523106,0.0397618491523106,509697.44402965455,529963.95691248,False,529963.95691248,0.0
20260330,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,529963.95691248,529963.95691248,False,529963.95691248,0.0
20260331,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,529963.95691248,529963.95691248,False,529963.95691248,0.0
20260401,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,529963.95691248,529963.95691248,False,529963.95691248,0.0
20260402,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,529963.95691248,529963.95691248,False,529963.95691248,0.0
20260403,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,529963.95691248,529963.95691248,False,529963.95691248,0.0
20260407,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,529963.95691248,529963.95691248,False,529963.95691248,0.0
20260408,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,529963.95691248,529963.95691248,False,529963.95691248,0.0
20260409,CLOSED_BY_HISTORICAL_SIM,HISTORICAL_SIM_FILLED,300489.SZ,光智科技,1,1,1,False,NOT_REQUIRED,无,True,0.0826627480845445,0.0826627480845445,529963.95691248,573772.2339766247,False,573772.2339766247,0.0
20260410,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,573772.2339766247,573772.2339766247,False,573772.2339766247,0.0
20260413,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,573772.2339766247,573772.2339766247,False,573772.2339766247,0.0
20260414,CLOSED_BY_HISTORICAL_SIM,HISTORICAL_SIM_FILLED,301189.SZ,奥尼电子,1,1,1,False,NOT_REQUIRED,无,True,-0.0350052172427846,-0.0350052172427846,573772.2339766247,553687.2122783951,False,573772.2339766247,-0.0350052172427846
20260415,POSITION_OCCUPIED_SKIP,POSITION_OCCUPIED_SKIP,301189.SZ,奥尼电子,1,0,0,False,,,False,0.0,0.0,553687.2122783951,553687.2122783951,False,573772.2339766247,-0.0350052172427846
20260416,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,553687.2122783951,553687.2122783951,False,573772.2339766247,-0.0350052172427846
20260417,CLOSED_BY_HISTORICAL_SIM,HISTORICAL_SIM_FILLED,301319.SZ,唯特偶,4,1,1,False,NOT_REQUIRED,无,True,0.0352808081329955,0.0352808081329955,553687.2122783951,573221.7445804822,False,573772.2339766247,-0.0009594214629856657
20260420,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,573221.7445804822,573221.7445804822,False,573772.2339766247,-0.0009594214629856657
20260421,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,573221.7445804822,573221.7445804822,False,573772.2339766247,-0.0009594214629856657
20260422,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,573221.7445804822,573221.7445804822,False,573772.2339766247,-0.0009594214629856657
20260423,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,573221.7445804822,573221.7445804822,False,573772.2339766247,-0.0009594214629856657
20260424,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,573221.7445804822,573221.7445804822,False,573772.2339766247,-0.0009594214629856657
20260427,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,573221.7445804822,573221.7445804822,False,573772.2339766247,-0.0009594214629856657
20260428,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,573221.7445804822,573221.7445804822,False,573772.2339766247,-0.0009594214629856657
20260429,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,573221.7445804822,573221.7445804822,False,573772.2339766247,-0.0009594214629856657
20260430,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,573221.7445804822,573221.7445804822,False,573772.2339766247,-0.0009594214629856657
20260506,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,573221.7445804822,573221.7445804822,False,573772.2339766247,-0.0009594214629856657
20260507,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,573221.7445804822,573221.7445804822,False,573772.2339766247,-0.0009594214629856657
20260508,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,573221.7445804822,573221.7445804822,False,573772.2339766247,-0.0009594214629856657
20260511,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,573221.7445804822,573221.7445804822,False,573772.2339766247,-0.0009594214629856657
20260512,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,573221.7445804822,573221.7445804822,False,573772.2339766247,-0.0009594214629856657
20260513,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,573221.7445804822,573221.7445804822,False,573772.2339766247,-0.0009594214629856657
20260514,NO_CANDIDATE,NO_CANDIDATE,,,0,0,0,False,,,False,0.0,0.0,573221.7445804822,573221.7445804822,False,573772.2339766247,-0.0009594214629856657
