signal_date,operation_status,ts_code,name,account_return,equity,peak_equity,drawdown
20251219,REVIEW_REQUIRED_PLAN_ONLY,300557.SZ,理工光科,0.0,500000.0,500000.0,0.0
20260417,HISTORICAL_SIM_FILLED,301319.SZ,唯特偶,0.0352808081329955,517640.4040664977,517640.4040664977,0.0
