paper_order_id,signal_date,planned_order_date,side,ts_code,name,planned_action,order_status,planned_position_pct,planned_equity,planned_amount_by_equity,reference_price,estimated_shares,round_lot_shares,risk_flags,manual_review_required,manual_review_status,manual_review_reason,live_order_enabled
PLAN-20240520-300162.SZ-B,20240520,20240521,BUY,300162.SZ,雷曼光电,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,500000.0,400000.0,7.14,56022.40896358544,56000,无,False,NOT_REQUIRED,,False
PLAN-20240620-300469.SZ-B,20240620,20240621,BUY,300469.SZ,信息发展,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,701507.8273659114,561206.2618927292,14.8,37919.342019779,37900,无,False,NOT_REQUIRED,,False
PLAN-20240712-300582.SZ-B,20240712,20240715,BUY,300582.SZ,英飞特,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,741862.1905795921,593489.7524636737,9.97,59527.55792012775,59500,无,False,NOT_REQUIRED,,False
PLAN-20240802-300149.SZ-B,20240802,20240805,BUY,300149.SZ,睿智医药,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,763478.3921655716,610782.7137324573,5.19,117684.53058428848,117600,无,False,NOT_REQUIRED,,False
PLAN-20240903-300068.SZ-B,20240903,20240904,BUY,300068.SZ,南都电源,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,930395.7102730904,744316.5682184724,11.51,64666.94771663531,64600,无,False,NOT_REQUIRED,,False
PLAN-20240906-300905.SZ-B,20240906,20240909,BUY,300905.SZ,宝丽迪,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,976106.0787115496,780884.8629692397,26.5,29467.353319593953,29400,无,False,NOT_REQUIRED,,False
PLAN-20240910-300134.SZ-B,20240910,20240911,BUY,300134.SZ,大富科技,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,1082386.287200512,865909.0297604096,11.25,76969.69153425863,76900,无,False,NOT_REQUIRED,,False
PLAN-20240913-300072.SZ-B,20240913,20240918,BUY,300072.SZ,海新能科,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,1142242.4694689168,913793.9755751335,2.23,409773.0832175486,409700,无,False,NOT_REQUIRED,,False
PLAN-20240920-300085.SZ-B,20240920,20240923,BUY,300085.SZ,银之杰,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,1113510.7804215,890808.6243372001,12.75,69867.3430852706,69800,无,False,NOT_REQUIRED,,False
PLAN-20241114-920436.BJ-B,20241114,20241115,BUY,920436.BJ,大地电气,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,1324352.0193809776,1059481.6155047822,29.99,35327.82979342388,35300,无,False,NOT_REQUIRED,,False
PLAN-20241217-300739.SZ-B,20241217,20241218,BUY,300739.SZ,明阳电路,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,1512670.7964973028,1210136.6371978424,16.83,71903.54350551649,71900,无,False,NOT_REQUIRED,,False
PLAN-20241223-920725.BJ-B,20241223,20241224,BUY,920725.BJ,惠丰钻石,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,1560677.232185874,1248541.7857486992,36.7,34020.21214574112,34000,无,False,NOT_REQUIRED,,False
PLAN-20241227-300599.SZ-B,20241227,20241230,BUY,300599.SZ,雄塑科技,PLAN_BUY_T1_OPEN,REVIEW_REQUIRED_PLAN_ONLY,0.8,1654961.0230196996,1323968.8184157598,7.98,165910.87950072179,165900,LOSS_OVERLAY_WATCH,True,PENDING_MANUAL_REVIEW,命中 LOSS_OVERLAY_WATCH，模拟买入前需要人工复核。,False
PLAN-20241230-300933.SZ-B,20241230,20241231,BUY,300933.SZ,中辰股份,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,1518355.5260614548,1214684.4208491638,8.85,137252.4769321089,137200,无,False,NOT_REQUIRED,,False
PLAN-20250102-300947.SZ-B,20250102,20250103,BUY,300947.SZ,德必集团,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,1518355.5260614548,1214684.4208491638,18.55,65481.63993796031,65400,无,False,NOT_REQUIRED,,False
PLAN-20250106-920367.BJ-B,20250106,20250107,BUY,920367.BJ,新赣江,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,1472789.7866808458,1178231.8293446766,18.0,65457.32385248203,65400,无,False,NOT_REQUIRED,,False
PLAN-20250219-920533.BJ-B,20250219,20250220,BUY,920533.BJ,骏创科技,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,1551584.3133337535,1241267.450667003,60.27,20595.112836684966,20500,无,False,NOT_REQUIRED,,False
PLAN-20250228-920284.BJ-B,20250228,20250303,BUY,920284.BJ,灵鸽科技,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,1642669.3367015957,1314135.4693612766,28.57,45997.04127970867,45900,无,False,NOT_REQUIRED,,False
PLAN-20250305-920425.BJ-B,20250305,20250306,BUY,920425.BJ,乐创技术,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,1717330.6825896415,1373864.5460717133,34.8,39478.866266428544,39400,无,False,NOT_REQUIRED,,False
PLAN-20250310-301225.SZ-B,20250310,20250311,BUY,301225.SZ,恒勃股份,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,1704480.0404344206,1363584.0323475366,42.36,32190.369035588683,32100,无,False,NOT_REQUIRED,,False
PLAN-20250407-920087.BJ-B,20250407,20250408,BUY,920087.BJ,秋乐种业,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,1803313.7406239675,1442650.992499174,17.88,80685.17855140795,80600,无,False,NOT_REQUIRED,,False
PLAN-20250415-920273.BJ-B,20250415,20250416,BUY,920273.BJ,一致魔芋,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,2658895.4593736,2127116.36749888,60.0,35451.939458314664,35400,无,False,NOT_REQUIRED,,False
PLAN-20250423-301000.SZ-B,20250423,20250424,BUY,301000.SZ,肇民科技,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,3323440.569942441,2658752.455953953,50.22,52942.10386208588,52900,无,False,NOT_REQUIRED,,False
PLAN-20250508-302132.SZ-B,20250508,20250509,BUY,302132.SZ,中航成飞,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,3547357.7566575436,2837886.205326035,88.0,32248.706878704947,32200,无,False,NOT_REQUIRED,,False
PLAN-20250516-301260.SZ-B,20250516,20250519,BUY,301260.SZ,格力博,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,3790058.671534288,3032046.9372274308,21.03,144177.22002983504,144100,无,False,NOT_REQUIRED,,False
PLAN-20250522-300418.SZ-B,20250522,20250523,BUY,300418.SZ,昆仑万维,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,4098522.6407740144,3278818.112619212,38.31,85586.481665863,85500,无,False,NOT_REQUIRED,,False
PLAN-20250605-920748.BJ-B,20250605,20250606,BUY,920748.BJ,路桥信息,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,4013202.55774561,3210562.046196488,55.0,58373.85538539069,58300,无,False,NOT_REQUIRED,,False
PLAN-20250611-301110.SZ-B,20250611,20250612,BUY,301110.SZ,青木科技,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,5331261.014274664,4265008.811419732,62.76,67957.43804046737,67900,无,False,NOT_REQUIRED,,False
PLAN-20250617-300457.SZ-B,20250617,20250618,BUY,300457.SZ,赢合科技,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,5387042.9457641095,4309634.356611288,20.5,210226.06617616038,210200,无,False,NOT_REQUIRED,,False
PLAN-20250704-301389.SZ-B,20250704,20250707,BUY,301389.SZ,隆扬电子,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,5497334.3004967775,4397867.440397422,32.03,137304.63441765288,137300,无,False,NOT_REQUIRED,,False
PLAN-20250715-300378.SZ-B,20250715,20250716,BUY,300378.SZ,鼎捷数智,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,5704782.195468986,4563825.756375189,46.27,98634.6608250527,98600,无,False,NOT_REQUIRED,,False
PLAN-20250725-300781.SZ-B,20250725,20250728,BUY,300781.SZ,因赛集团,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,5643973.349904845,4515178.679923876,44.88,100605.58555980115,100600,无,False,NOT_REQUIRED,,False
