overlay_rule,overlay_action,overlay_reduced_position_pct,year,trade_count,period_return,win_rate,avg_account_return,max_drawdown
baseline,baseline,,2024,13,2.0367110521229073,0.8461538461538461,0.0952011306589565,-0.08254302975002381
baseline,baseline,,2025,35,9.118417992235582,0.6857142857142857,0.07688459415376445,-0.10726016089988188
baseline,baseline,,2026,11,0.46474138537059106,0.7272727272727273,0.036826120991087036,-0.05069411556624592
amount_ratio_bucket=2_3,hard_exclude,,2024,12,1.4919109642774497,0.8333333333333334,0.08491560578287087,-0.0825430297500237
amount_ratio_bucket=2_3,hard_exclude,,2025,25,8.410233220613053,0.8,0.10272281221796929,-0.02081727746959361
amount_ratio_bucket=2_3,hard_exclude,,2026,7,0.10944186582333582,0.5714285714285714,0.016607650308844094,-0.05069411556624581
amount_ratio_bucket=2_3,reduce_position,0.4,2024,13,1.7643110082001776,0.8461538461538461,0.08679238338311096,-0.08254302975002381
amount_ratio_bucket=2_3,reduce_position,0.4,2025,35,8.876569964487935,0.6857142857142857,0.07512901572615698,-0.05416574201298918
amount_ratio_bucket=2_3,reduce_position,0.4,2026,11,0.27818994878231584,0.7272727272727273,0.023697312866539366,-0.05069411556624592
amount_ratio_bucket=2_3,reduce_position,0.2,2024,13,1.6281109862388137,0.8461538461538461,0.08258800974518819,-0.08254302975002381
amount_ratio_bucket=2_3,reduce_position,0.2,2025,35,8.671462142546101,0.6857142857142857,0.07425122651235323,-0.027270138158104307
amount_ratio_bucket=2_3,reduce_position,0.2,2026,11,0.1916612042395338,0.7272727272727273,0.01713290880426553,-0.05069411556624592
amount_ratio_bucket=3_5,hard_exclude,,2024,10,1.2247467117310054,0.9,0.0856729972421493,-0.02515375659318253
amount_ratio_bucket=3_5,hard_exclude,,2025,29,4.659241261582989,0.6551724137931034,0.06946997056406297,-0.10726016089988188
amount_ratio_bucket=3_5,hard_exclude,,2026,10,0.43687338687671673,0.7,0.03856924428426482,-0.05069411556624592
amount_ratio_bucket=3_5,reduce_position,0.4,2024,13,1.6401396851268335,0.8461538461538461,0.08055171811492032,-0.041271514875011905
amount_ratio_bucket=3_5,reduce_position,0.4,2025,35,6.727204119382966,0.6857142857142857,0.06722271345342261,-0.10726016089988177
amount_ratio_bucket=3_5,reduce_position,0.4,2026,11,0.45080738612365434,0.7272727272727273,0.03594453517020934,-0.05069411556624581
amount_ratio_bucket=3_5,reduce_position,0.2,2024,13,1.4345863200584001,0.8461538461538461,0.07322701184290219,-0.02515375659318253
amount_ratio_bucket=3_5,reduce_position,0.2,2025,35,5.654212243467701,0.6857142857142857,0.06239177310325168,-0.10726016089988188
amount_ratio_bucket=3_5,reduce_position,0.2,2026,11,0.4438403865001854,0.7272727272727273,0.035503742259770495,-0.05069411556624581
fd_ratio_bucket=0_5pct_1pct,reduce_position,0.4,2024,13,0.7941522901538038,0.8461538461538461,0.04760056532947825,-0.041271514875011905
fd_ratio_bucket=0_5pct_1pct,reduce_position,0.4,2025,35,2.4622705039330253,0.6857142857142857,0.03844229707688222,-0.05416574201298918
fd_ratio_bucket=0_5pct_1pct,reduce_position,0.4,2026,11,0.21718051721098042,0.7272727272727273,0.018413060495543518,-0.02534705778312285
fd_ratio_bucket=0_5pct_1pct,reduce_position,0.2,2024,13,0.35047710669397336,0.8461538461538461,0.023800282664739124,-0.020635757437505897
fd_ratio_bucket=0_5pct_1pct,reduce_position,0.2,2025,35,0.9067999511949993,0.6857142857142857,0.01922114853844111,-0.027270138158104307
fd_ratio_bucket=0_5pct_1pct,reduce_position,0.2,2026,11,0.10489428947459789,0.7272727272727273,0.009206530247771759,-0.01267352889156148
first_time_detail_bucket=1100_1330,hard_exclude,,2024,8,1.264600319982467,0.875,0.11590646889356446,-0.08254302975002392
first_time_detail_bucket=1100_1330,hard_exclude,,2025,27,8.208701495412502,0.7407407407407407,0.09539534255867226,-0.10683334681309986
first_time_detail_bucket=1100_1330,hard_exclude,,2026,7,0.12005574689349441,0.5714285714285714,0.017865939656584656,-0.05069411556624592
first_time_detail_bucket=1100_1330,reduce_position,0.4,2024,13,1.6331360906980819,0.8461538461538461,0.08326409421980577,-0.0825430297500237
first_time_detail_bucket=1100_1330,reduce_position,0.4,2025,35,8.703412256534174,0.6857142857142857,0.0752376434923701,-0.10683334681309986
first_time_detail_bucket=1100_1330,reduce_position,0.4,2026,11,0.28448910941083927,0.7272727272727273,0.02409767765900227,-0.05069411556624592
first_time_detail_bucket=1100_1330,reduce_position,0.2,2024,13,1.44456426660637,0.8461538461538461,0.07729557600023042,-0.08254302975002381
first_time_detail_bucket=1100_1330,reduce_position,0.2,2025,35,8.465323498479371,0.6857142857142857,0.07441416816167291,-0.10683334681309986
first_time_detail_bucket=1100_1330,reduce_position,0.2,2026,11,0.20035118815811126,0.7272727272727273,0.017733455992959887,-0.05069411556624592
first_time_detail_bucket=before_1000,hard_exclude,,2024,8,0.5776353003831403,0.875,0.05967878207866391,-0.02515375659318264
first_time_detail_bucket=before_1000,hard_exclude,,2025,26,7.966881924843859,0.7692307692307693,0.0966509720945102,-0.10726016089988188
first_time_detail_bucket=before_1000,hard_exclude,,2026,9,0.42515330913172344,0.7777777777777778,0.04145763315373987,-0.0350052172427846
first_time_detail_bucket=before_1000,reduce_position,0.4,2024,13,1.2418440399792097,0.8461538461538461,0.06596326750752868,-0.041271514875012016
first_time_detail_bucket=before_1000,reduce_position,0.4,2025,35,8.65049020567449,0.6857142857142857,0.07434122956912888,-0.10726016089988188
first_time_detail_bucket=before_1000,reduce_position,0.4,2026,11,0.4464403787969078,0.7272727272727273,0.035373001331164375,-0.0350052172427846
first_time_detail_bucket=before_1000,reduce_position,0.2,2024,13,0.8935242022490801,0.8461538461538461,0.05134433593181477,-0.02515375659318264
first_time_detail_bucket=before_1000,reduce_position,0.2,2025,35,8.33691411287011,0.6857142857142857,0.07306954727681109,-0.10726016089988177
first_time_detail_bucket=before_1000,reduce_position,0.2,2026,11,0.43617010185075333,0.7272727272727273,0.034646441501203044,-0.0350052172427846
market_limit_down_count_bucket=5_15,hard_exclude,,2024,8,0.8778351355876746,1.0,0.08326790277308185,0.0
market_limit_down_count_bucket=5_15,hard_exclude,,2025,19,2.230402829352777,0.631578947368421,0.07345213669689403,-0.10726016089988188
market_limit_down_count_bucket=5_15,hard_exclude,,2026,8,0.30469991462956814,0.75,0.03489424228899145,-0.0350052172427846
market_limit_down_count_bucket=5_15,reduce_position,0.4,2024,13,1.437544393015565,0.8461538461538461,0.07322145849042651,-0.041271514875011794
market_limit_down_count_bucket=5_15,reduce_position,0.4,2025,35,4.9223730936945,0.6857142857142857,0.05837930560889632,-0.10726016089988188
market_limit_down_count_bucket=5_15,reduce_position,0.4,2026,11,0.38583612316273297,0.7272727272727273,0.031101875873358588,-0.035005217242784714
market_limit_down_count_bucket=5_15,reduce_position,0.2,2024,13,1.1521111514804394,0.8461538461538461,0.06223162240616153,-0.020635757437506008
market_limit_down_count_bucket=5_15,reduce_position,0.2,2025,35,3.4176314258090583,0.6857142857142857,0.049126661336462256,-0.10726016089988177
market_limit_down_count_bucket=5_15,reduce_position,0.2,2026,11,0.34552831748396207,0.7272727272727273,0.028239753314494367,-0.0350052172427846
