strategy_name,trade_mode,signal_date,candidate_count,selected_count,planned_order_count,execution_event_count,closed_position_count,pending_position_count,top_ts_code,top_name,historical_execution_found,equity_before,equity_after,account_return,live_order_enabled,daily_status,equity_start_of_day,equity_end_of_day,top_risk_flags,risk_warn_candidate_count,loss_overlay_watch_candidate_count,selected_loss_overlay_watch_count,selected_loss_overlay_watch,loss_overlay_watch_top_codes,manual_review_required,manual_review_status,manual_review_reason,position_occupied_by,position_occupied_exit_dates
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251112,0,0,0,0,0,0,,,False,15847995.739096723,15847995.739096723,0.0,False,NO_CANDIDATE,15847995.739096723,15847995.739096723,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251113,0,0,0,0,0,0,,,False,15847995.739096723,15847995.739096723,0.0,False,NO_CANDIDATE,15847995.739096723,15847995.739096723,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251114,0,0,0,0,0,0,,,False,15847995.739096723,15847995.739096723,0.0,False,NO_CANDIDATE,15847995.739096723,15847995.739096723,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251117,0,0,0,0,0,0,,,False,15847995.739096723,15847995.739096723,0.0,False,NO_CANDIDATE,15847995.739096723,15847995.739096723,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251118,0,0,0,0,0,0,,,False,15847995.739096723,15847995.739096723,0.0,False,NO_CANDIDATE,15847995.739096723,15847995.739096723,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251119,0,0,0,0,0,0,,,False,15847995.739096723,15847995.739096723,0.0,False,NO_CANDIDATE,15847995.739096723,15847995.739096723,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251120,1,1,1,2,1,0,301092.SZ,争光股份,True,15847995.739096723,15047440.836661972,-0.0505145833968012,False,CLOSED_BY_HISTORICAL_SIM,15847995.739096723,15047440.836661972,无,0.0,0.0,0.0,False,,False,NOT_REQUIRED,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251121,1,0,0,0,0,0,301171.SZ,易点天下,False,15047440.836661972,15047440.836661972,0.0,False,POSITION_OCCUPIED_SKIP,15047440.836661972,15047440.836661972,,,,,,,,,,301092.SZ 争光股份,20251124
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251124,0,0,0,0,0,0,,,False,15047440.836661972,15047440.836661972,0.0,False,NO_CANDIDATE,15047440.836661972,15047440.836661972,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251125,1,1,1,2,1,0,301117.SZ,佳缘科技,True,15047440.836661972,14154901.314009275,-0.0593150378420555,False,CLOSED_BY_HISTORICAL_SIM,15047440.836661972,14154901.314009275,LOSS_OVERLAY_WATCH,1.0,1.0,1.0,True,301117.SZ 佳缘科技,True,PENDING_MANUAL_REVIEW,选中标的命中 LOSS_OVERLAY_WATCH，进入模拟买入观察前需要人工复核。,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251126,0,0,0,0,0,0,,,False,14154901.314009275,14154901.314009275,0.0,False,NO_CANDIDATE,14154901.314009275,14154901.314009275,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251127,0,0,0,0,0,0,,,False,14154901.314009275,14154901.314009275,0.0,False,NO_CANDIDATE,14154901.314009275,14154901.314009275,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251128,0,0,0,0,0,0,,,False,14154901.314009275,14154901.314009275,0.0,False,NO_CANDIDATE,14154901.314009275,14154901.314009275,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251201,0,0,0,0,0,0,,,False,14154901.314009275,14154901.314009275,0.0,False,NO_CANDIDATE,14154901.314009275,14154901.314009275,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251202,0,0,0,0,0,0,,,False,14154901.314009275,14154901.314009275,0.0,False,NO_CANDIDATE,14154901.314009275,14154901.314009275,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251203,0,0,0,0,0,0,,,False,14154901.314009275,14154901.314009275,0.0,False,NO_CANDIDATE,14154901.314009275,14154901.314009275,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251204,1,1,1,2,1,0,300946.SZ,恒而达,True,14154901.314009275,14567869.846436018,0.0291749495998269,False,CLOSED_BY_HISTORICAL_SIM,14154901.314009275,14567869.846436018,无,0.0,0.0,0.0,False,,False,NOT_REQUIRED,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251205,0,0,0,0,0,0,,,False,14567869.846436018,14567869.846436018,0.0,False,NO_CANDIDATE,14567869.846436018,14567869.846436018,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20251208,0,0,0,0,0,0,,,False,14567869.846436018,14567869.846436018,0.0,False,NO_CANDIDATE,14567869.846436018,14567869.846436018,,,,,,,,,,,
