signal_date,ts_code,name,position_status,open_date,close_date,account_return,equity_after,message
20251120,301092.SZ,争光股份,CLOSED_BY_HISTORICAL_SIM,20251121,20251124,-0.0505145833968012,15047440.836661972,已按本地审计记录完成模拟买卖闭环。
20251125,301117.SZ,佳缘科技,CLOSED_BY_HISTORICAL_SIM,20251126,20251127,-0.0593150378420555,14154901.314009275,已按本地审计记录完成模拟买卖闭环。
20251204,300946.SZ,恒而达,CLOSED_BY_HISTORICAL_SIM,20251205,20251208,0.0291749495998269,14567869.846436018,已按本地审计记录完成模拟买卖闭环。
20251212,920576.BJ,天力复合,CLOSED_BY_HISTORICAL_SIM,20251215,20251216,0.181313377355646,17209219.52917081,已按本地审计记录完成模拟买卖闭环。
20251219,300557.SZ,理工光科,CLOSED_BY_HISTORICAL_SIM,20251222,20251223,-0.1072601608998818,15363355.87351056,已按本地审计记录完成模拟买卖闭环。
20251231,300058.SZ,蓝色光标,CLOSED_BY_HISTORICAL_SIM,20260105,20260106,0.1308549259970799,17373726.669405587,已按本地审计记录完成模拟买卖闭环。
20260115,301629.SZ,矽电股份,CLOSED_BY_HISTORICAL_SIM,20260116,20260119,-0.0338313603969523,16785949.861014783,已按本地审计记录完成模拟买卖闭环。
20260119,300658.SZ,延江股份,CLOSED_BY_HISTORICAL_SIM,20260120,20260121,0.0681174370165976,17929365.74343622,已按本地审计记录完成模拟买卖闭环。
20260123,920368.BJ,连城数控,CLOSED_BY_HISTORICAL_SIM,20260126,20260127,0.1027727855059111,19772016.60324342,已按本地审计记录完成模拟买卖闭环。
20260128,300164.SZ,通源石油,CLOSED_BY_HISTORICAL_SIM,20260129,20260130,0.0457725821591917,20677032.857668284,已按本地审计记录完成模拟买卖闭环。
20260226,300499.SZ,高澜股份,CLOSED_BY_HISTORICAL_SIM,20260227,20260302,0.0193948880593092,21078061.595341414,已按本地审计记录完成模拟买卖闭环。
20260309,301606.SZ,绿联科技,CLOSED_BY_HISTORICAL_SIM,20260310,20260311,-0.0506941155662459,20009527.90491473,已按本地审计记录完成模拟买卖闭环。
20260327,300204.SZ,舒泰神,CLOSED_BY_HISTORICAL_SIM,20260330,20260331,0.0397618491523106,20805143.735078897,已按本地审计记录完成模拟买卖闭环。
20260409,300489.SZ,光智科技,CLOSED_BY_HISTORICAL_SIM,20260410,20260413,0.0826627480845445,22524954.090514462,已按本地审计记录完成模拟买卖闭环。
20260414,301189.SZ,奥尼电子,CLOSED_BY_HISTORICAL_SIM,20260415,20260416,-0.0350052172427846,21736463.179192256,已按本地审计记录完成模拟买卖闭环。
20260417,301319.SZ,唯特偶,CLOSED_BY_HISTORICAL_SIM,20260420,20260421,0.0352808081329955,22503343.166107263,已按本地审计记录完成模拟买卖闭环。
