date,event,signal_date,ts_code,name,equity,account_return,daily_status,peak_equity,drawdown
20251112,INITIAL,,,,15847995.739096723,0.0,INITIAL,15847995.739096723,0.0
20251112,NO_CANDIDATE,20251112,,,15847995.739096723,0.0,NO_CANDIDATE,15847995.739096723,0.0
20251113,NO_CANDIDATE,20251113,,,15847995.739096723,0.0,NO_CANDIDATE,15847995.739096723,0.0
20251114,NO_CANDIDATE,20251114,,,15847995.739096723,0.0,NO_CANDIDATE,15847995.739096723,0.0
20251117,NO_CANDIDATE,20251117,,,15847995.739096723,0.0,NO_CANDIDATE,15847995.739096723,0.0
20251118,NO_CANDIDATE,20251118,,,15847995.739096723,0.0,NO_CANDIDATE,15847995.739096723,0.0
20251119,NO_CANDIDATE,20251119,,,15847995.739096723,0.0,NO_CANDIDATE,15847995.739096723,0.0
20251120,CLOSED_BY_HISTORICAL_SIM,20251120,301092.SZ,争光股份,15047440.836661972,-0.0505145833968012,CLOSED_BY_HISTORICAL_SIM,15847995.739096723,-0.05051458339680115
20251121,POSITION_OCCUPIED_SKIP,20251121,301171.SZ,易点天下,15047440.836661972,0.0,POSITION_OCCUPIED_SKIP,15847995.739096723,-0.05051458339680115
20251124,NO_CANDIDATE,20251124,,,15047440.836661972,0.0,NO_CANDIDATE,15847995.739096723,-0.05051458339680115
20251125,CLOSED_BY_HISTORICAL_SIM,20251125,301117.SZ,佳缘科技,14154901.314009275,-0.0593150378420555,CLOSED_BY_HISTORICAL_SIM,15847995.739096723,-0.10683334681309975
20251126,NO_CANDIDATE,20251126,,,14154901.314009275,0.0,NO_CANDIDATE,15847995.739096723,-0.10683334681309975
20251127,NO_CANDIDATE,20251127,,,14154901.314009275,0.0,NO_CANDIDATE,15847995.739096723,-0.10683334681309975
20251128,NO_CANDIDATE,20251128,,,14154901.314009275,0.0,NO_CANDIDATE,15847995.739096723,-0.10683334681309975
20251201,NO_CANDIDATE,20251201,,,14154901.314009275,0.0,NO_CANDIDATE,15847995.739096723,-0.10683334681309975
20251202,NO_CANDIDATE,20251202,,,14154901.314009275,0.0,NO_CANDIDATE,15847995.739096723,-0.10683334681309975
20251203,NO_CANDIDATE,20251203,,,14154901.314009275,0.0,NO_CANDIDATE,15847995.739096723,-0.10683334681309975
20251204,CLOSED_BY_HISTORICAL_SIM,20251204,300946.SZ,恒而达,14567869.846436018,0.0291749495998269,CLOSED_BY_HISTORICAL_SIM,15847995.739096723,-0.08077525472212599
20251205,NO_CANDIDATE,20251205,,,14567869.846436018,0.0,NO_CANDIDATE,15847995.739096723,-0.08077525472212599
20251208,NO_CANDIDATE,20251208,,,14567869.846436018,0.0,NO_CANDIDATE,15847995.739096723,-0.08077525472212599
20251209,NO_CANDIDATE,20251209,,,14567869.846436018,0.0,NO_CANDIDATE,15847995.739096723,-0.08077525472212599
20251210,NO_CANDIDATE,20251210,,,14567869.846436018,0.0,NO_CANDIDATE,15847995.739096723,-0.08077525472212599
20251211,NO_CANDIDATE,20251211,,,14567869.846436018,0.0,NO_CANDIDATE,15847995.739096723,-0.08077525472212599
20251212,CLOSED_BY_HISTORICAL_SIM,20251212,920576.BJ,天力复合,17209219.52917081,0.181313377355646,CLOSED_BY_HISTORICAL_SIM,17209219.52917081,0.0
20251215,POSITION_OCCUPIED_SKIP,20251215,920665.BJ,科强股份,17209219.52917081,0.0,POSITION_OCCUPIED_SKIP,17209219.52917081,0.0
20251216,NO_CANDIDATE,20251216,,,17209219.52917081,0.0,NO_CANDIDATE,17209219.52917081,0.0
20251217,NO_CANDIDATE,20251217,,,17209219.52917081,0.0,NO_CANDIDATE,17209219.52917081,0.0
20251218,NO_CANDIDATE,20251218,,,17209219.52917081,0.0,NO_CANDIDATE,17209219.52917081,0.0
20251219,CLOSED_BY_HISTORICAL_SIM,20251219,300557.SZ,理工光科,15363355.87351056,-0.1072601608998818,CLOSED_BY_HISTORICAL_SIM,17209219.52917081,-0.10726016089988188
20251222,NO_CANDIDATE,20251222,,,15363355.87351056,0.0,NO_CANDIDATE,17209219.52917081,-0.10726016089988188
20251223,NO_CANDIDATE,20251223,,,15363355.87351056,0.0,NO_CANDIDATE,17209219.52917081,-0.10726016089988188
20251224,NO_CANDIDATE,20251224,,,15363355.87351056,0.0,NO_CANDIDATE,17209219.52917081,-0.10726016089988188
20251225,NO_CANDIDATE,20251225,,,15363355.87351056,0.0,NO_CANDIDATE,17209219.52917081,-0.10726016089988188
20251226,NO_CANDIDATE,20251226,,,15363355.87351056,0.0,NO_CANDIDATE,17209219.52917081,-0.10726016089988188
20251229,NO_CANDIDATE,20251229,,,15363355.87351056,0.0,NO_CANDIDATE,17209219.52917081,-0.10726016089988188
20251230,NO_CANDIDATE,20251230,,,15363355.87351056,0.0,NO_CANDIDATE,17209219.52917081,-0.10726016089988188
20251231,CLOSED_BY_HISTORICAL_SIM,20251231,300058.SZ,蓝色光标,17373726.669405587,0.1308549259970799,CLOSED_BY_HISTORICAL_SIM,17373726.669405587,0.0
20260105,NO_CANDIDATE,20260105,,,17373726.669405587,0.0,NO_CANDIDATE,17373726.669405587,0.0
20260106,NO_CANDIDATE,20260106,,,17373726.669405587,0.0,NO_CANDIDATE,17373726.669405587,0.0
20260107,NO_CANDIDATE,20260107,,,17373726.669405587,0.0,NO_CANDIDATE,17373726.669405587,0.0
20260108,NO_CANDIDATE,20260108,,,17373726.669405587,0.0,NO_CANDIDATE,17373726.669405587,0.0
20260109,NO_CANDIDATE,20260109,,,17373726.669405587,0.0,NO_CANDIDATE,17373726.669405587,0.0
20260112,NO_CANDIDATE,20260112,,,17373726.669405587,0.0,NO_CANDIDATE,17373726.669405587,0.0
20260113,NO_CANDIDATE,20260113,,,17373726.669405587,0.0,NO_CANDIDATE,17373726.669405587,0.0
20260114,NO_CANDIDATE,20260114,,,17373726.669405587,0.0,NO_CANDIDATE,17373726.669405587,0.0
20260115,CLOSED_BY_HISTORICAL_SIM,20260115,301629.SZ,矽电股份,16785949.861014783,-0.0338313603969523,CLOSED_BY_HISTORICAL_SIM,17373726.669405587,-0.03383136039695234
20260116,NO_CANDIDATE,20260116,,,16785949.861014783,0.0,NO_CANDIDATE,17373726.669405587,-0.03383136039695234
20260119,CLOSED_BY_HISTORICAL_SIM,20260119,300658.SZ,延江股份,17929365.74343622,0.0681174370165976,CLOSED_BY_HISTORICAL_SIM,17929365.74343622,0.0
20260120,NO_CANDIDATE,20260120,,,17929365.74343622,0.0,NO_CANDIDATE,17929365.74343622,0.0
20260121,NO_CANDIDATE,20260121,,,17929365.74343622,0.0,NO_CANDIDATE,17929365.74343622,0.0
20260122,NO_CANDIDATE,20260122,,,17929365.74343622,0.0,NO_CANDIDATE,17929365.74343622,0.0
20260123,CLOSED_BY_HISTORICAL_SIM,20260123,920368.BJ,连城数控,19772016.60324342,0.1027727855059111,CLOSED_BY_HISTORICAL_SIM,19772016.60324342,0.0
20260126,NO_CANDIDATE,20260126,,,19772016.60324342,0.0,NO_CANDIDATE,19772016.60324342,0.0
20260127,NO_CANDIDATE,20260127,,,19772016.60324342,0.0,NO_CANDIDATE,19772016.60324342,0.0
20260128,CLOSED_BY_HISTORICAL_SIM,20260128,300164.SZ,通源石油,20677032.857668284,0.0457725821591917,CLOSED_BY_HISTORICAL_SIM,20677032.857668284,0.0
20260129,NO_CANDIDATE,20260129,,,20677032.857668284,0.0,NO_CANDIDATE,20677032.857668284,0.0
20260130,NO_CANDIDATE,20260130,,,20677032.857668284,0.0,NO_CANDIDATE,20677032.857668284,0.0
20260202,NO_CANDIDATE,20260202,,,20677032.857668284,0.0,NO_CANDIDATE,20677032.857668284,0.0
20260203,NO_CANDIDATE,20260203,,,20677032.857668284,0.0,NO_CANDIDATE,20677032.857668284,0.0
20260204,NO_CANDIDATE,20260204,,,20677032.857668284,0.0,NO_CANDIDATE,20677032.857668284,0.0
20260205,NO_CANDIDATE,20260205,,,20677032.857668284,0.0,NO_CANDIDATE,20677032.857668284,0.0
20260206,NO_CANDIDATE,20260206,,,20677032.857668284,0.0,NO_CANDIDATE,20677032.857668284,0.0
20260209,NO_CANDIDATE,20260209,,,20677032.857668284,0.0,NO_CANDIDATE,20677032.857668284,0.0
20260210,NO_CANDIDATE,20260210,,,20677032.857668284,0.0,NO_CANDIDATE,20677032.857668284,0.0
20260211,NO_CANDIDATE,20260211,,,20677032.857668284,0.0,NO_CANDIDATE,20677032.857668284,0.0
