scenario,pending_rejected_count,pending_kept_count,pending_rejected_codes,closed_trade_count,final_equity,equity_multiple,win_rate,max_drawdown,avg_account_return,max_loss,profit_loss_ratio,live_order_enabled
reject_20251028_20251125_20260309,3,0,20251028 920748.BJ 路桥信息;20251125 301117.SZ 佳缘科技;20260309 301606.SZ 绿联科技,54,31640590.86190715,63.2811817238143,0.7962962962962963,-0.07140871221824052,0.08631635140943685,-0.0714087122182405,14.993407760736272,False
reject_20251125_20260309,2,1,20251125 301117.SZ 佳缘科技;20260309 301606.SZ 绿联科技,55,30767063.529658414,61.53412705931683,0.7818181818181819,-0.07140871221824052,0.08424500307106096,-0.0714087122182405,13.845816724888126,False
reject_20251028_20251125,2,1,20251028 920748.BJ 路桥信息;20251125 301117.SZ 佳缘科技,55,30036599.09216933,60.07319818433866,0.7818181818181819,-0.07140871221824052,0.08382525200987899,-0.0714087122182405,13.01293265431888,False
reject_20251028_20260309,2,1,20251028 920748.BJ 路桥信息;20260309 301606.SZ 绿联科技,55,29763828.01758814,59.52765603517628,0.7818181818181819,-0.10683334681309975,0.08366850796850063,-0.0714087122182405,12.727046678364117,False
reject_20251125,1,2,20251125 301117.SZ 佳缘科技,56,29207354.455451872,58.41470891090374,0.7678571428571429,-0.07140871221824052,0.08183537595253765,-0.0714087122182405,12.139659885315417,False
reject_20260309,1,2,20260309 301606.SZ 绿联科技,56,28942113.992107812,57.88422798421563,0.7678571428571429,-0.10683334681309964,0.08168143091189818,-0.0714087122182405,11.890489577623784,False
reject_20251028,1,2,20251028 920748.BJ 路桥信息,56,28254977.080370657,56.509954160741316,0.7678571428571429,-0.10683334681309975,0.08126917540538016,-0.0714087122182405,11.270974339925056,False
keep_all_pending,0,3,,57,27474919.12066043,54.94983824132086,0.7543859649122807,-0.10683334681309964,0.07935905290350968,-0.0714087122182405,10.609913371717347,False
