paper_execution_id,signal_date,event_date,side,ts_code,name,execution_status,price,amount,account_return,equity_before,equity_after,message
EXEC-20240520-300162.SZ-BUY,20240520,20240521,BUY,300162.SZ,雷曼光电,HISTORICAL_SIM_FILLED,7.1471399999999985,400000.0,0.0,500000.0,500000.0,使用本地审计记录生成历史模拟买入成交。
EXEC-20240520-300162.SZ-SELL,20240520,20240522,SELL,300162.SZ,雷曼光电,HISTORICAL_SIM_FILLED,10.75923,602758.5859518633,0.403015654731823,500000.0,701507.8273659114,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20240620-300469.SZ-BUY,20240620,20240621,BUY,300469.SZ,信息发展,HISTORICAL_SIM_FILLED,14.8148,561206.2618927292,0.0,701507.8273659114,701507.8273659114,使用本地审计记录生成历史模拟买入成交。
EXEC-20240620-300469.SZ-SELL,20240620,20240624,SELL,300469.SZ,信息发展,HISTORICAL_SIM_FILLED,15.90408,603072.8521027789,0.0575251788211788,701507.8273659114,741862.1905795921,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20240712-300582.SZ-BUY,20240712,20240715,BUY,300582.SZ,英飞特,HISTORICAL_SIM_FILLED,9.97997,593489.7524636737,0.0,741862.1905795921,741862.1905795921,使用本地审计记录生成历史模拟买入成交。
EXEC-20240712-300582.SZ-SELL,20240712,20240716,SELL,300582.SZ,英飞特,HISTORICAL_SIM_FILLED,10.35963,616684.0915401847,0.0291377588189142,741862.1905795921,763478.3921655716,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20240802-300149.SZ-BUY,20240802,20240805,BUY,300149.SZ,睿智医药,HISTORICAL_SIM_FILLED,5.19519,610782.7137324573,0.0,763478.3921655716,763478.3921655716,使用本地审计记录生成历史模拟买入成交。
EXEC-20240802-300149.SZ-SELL,20240802,20240806,SELL,300149.SZ,睿智医药,HISTORICAL_SIM_FILLED,6.6233699999999995,779468.9688050275,0.218627429171984,763478.3921655716,930395.7102730904,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20240903-300068.SZ-BUY,20240903,20240904,BUY,300068.SZ,南都电源,HISTORICAL_SIM_FILLED,11.52151,744316.5682184724,0.0,930395.7102730904,930395.7102730904,使用本地审计记录生成历史模拟买入成交。
EXEC-20240903-300068.SZ-SELL,20240903,20240905,SELL,300068.SZ,南都电源,HISTORICAL_SIM_FILLED,12.24774,792024.7542516972,0.0491300292270718,930395.7102730904,976106.0787115496,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20240906-300905.SZ-BUY,20240906,20240909,BUY,300905.SZ,宝丽迪,HISTORICAL_SIM_FILLED,26.5265,780884.8629692397,0.0,976106.0787115496,976106.0787115496,使用本地审计记录生成历史模拟买入成交。
EXEC-20240906-300905.SZ-SELL,20240906,20240910,SELL,300905.SZ,宝丽迪,HISTORICAL_SIM_FILLED,30.17979,889319.4243605727,0.1088818221778221,976106.0787115496,1082386.287200512,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20240910-300134.SZ-BUY,20240910,20240911,BUY,300134.SZ,大富科技,HISTORICAL_SIM_FILLED,11.26125,865909.0297604096,0.0,1082386.287200512,1082386.287200512,使用本地审计记录生成历史模拟买入成交。
EXEC-20240910-300134.SZ-SELL,20240910,20240912,SELL,300134.SZ,大富科技,HISTORICAL_SIM_FILLED,12.05793,928096.080737764,0.0553002037962039,1082386.287200512,1142242.4694689168,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20240913-300072.SZ-BUY,20240913,20240918,BUY,300072.SZ,海新能科,HISTORICAL_SIM_FILLED,2.23223,913793.9755751336,0.0,1142242.4694689168,1142242.4694689168,使用本地审计记录生成历史模拟买入成交。
EXEC-20240913-300072.SZ-SELL,20240913,20240919,SELL,300072.SZ,海新能科,HISTORICAL_SIM_FILLED,2.16566,888319.2713107697,-0.0251537565931826,1142242.4694689168,1113510.7804215,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20240920-300085.SZ-BUY,20240920,20240923,BUY,300085.SZ,银之杰,HISTORICAL_SIM_FILLED,12.76275,890808.6243372,0.0,1113510.7804215,1113510.7804215,使用本地审计记录生成历史模拟买入成交。
EXEC-20240920-300085.SZ-SELL,20240920,20240924,SELL,300085.SZ,银之杰,HISTORICAL_SIM_FILLED,15.80418,1104197.1704385425,0.1893481793500619,1113510.7804215,1324352.0193809776,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20241114-920436.BJ-BUY,20241114,20241115,BUY,920436.BJ,大地电气,HISTORICAL_SIM_FILLED,30.019989999999996,1059481.6155047822,0.0,1324352.0193809776,1324352.0193809776,使用本地审计记录生成历史模拟买入成交。
EXEC-20241114-920436.BJ-SELL,20241114,20241118,SELL,920436.BJ,大地电气,HISTORICAL_SIM_FILLED,35.40456,1250767.5203585837,0.1421969192181609,1324352.0193809776,1512670.7964973028,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20241217-300739.SZ-BUY,20241217,20241218,BUY,300739.SZ,明阳电路,HISTORICAL_SIM_FILLED,16.846829999999997,1210136.6371978424,0.0,1512670.7964973028,1512670.7964973028,使用本地审计记录生成历史模拟买入成交。
EXEC-20241217-300739.SZ-SELL,20241217,20241219,SELL,300739.SZ,明阳电路,HISTORICAL_SIM_FILLED,17.54244,1261364.8590977718,0.0317362084332781,1512670.7964973028,1560677.232185874,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20241223-920725.BJ-BUY,20241223,20241224,BUY,920725.BJ,惠丰钻石,HISTORICAL_SIM_FILLED,36.7367,1248541.7857486994,0.0,1560677.232185874,1560677.232185874,使用本地审计记录生成历史模拟买入成交。
EXEC-20241223-920725.BJ-SELL,20241223,20241225,SELL,920725.BJ,惠丰钻石,HISTORICAL_SIM_FILLED,39.57039,1346194.408684122,0.060412101163142,1560677.232185874,1654961.0230196996,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20241227-300599.SZ-REVIEW-BLOCKED,20241227,,BUY,300599.SZ,雄塑科技,MANUAL_REVIEW_REQUIRED_BLOCKED,,,0.0,,,命中 LOSS_OVERLAY_WATCH，未人工确认前只保留计划和复核清单，不自动记为模拟成交。
EXEC-20241230-300933.SZ-PENDING,20241230,,BUY,300933.SZ,中辰股份,PENDING_NO_HISTORICAL_MATCH,,,0.0,,,本地审计逐笔交易中没有匹配记录，只保留计划，不记为成交。
EXEC-20250102-300947.SZ-BUY,20250102,20250103,BUY,300947.SZ,德必集团,HISTORICAL_SIM_FILLED,18.56855,1214684.4208491638,0.0,1518355.5260614548,1518355.5260614548,使用本地审计记录生成历史模拟买入成交。
