signal_date,equity_event,event_date,equity_before,equity_after,account_return,message
20251120,HISTORICAL_SIM_FILLED,20251124,15847995.739096723,15047440.836661972,-0.0505145833968012,使用本地审计记录生成历史模拟卖出和资金更新。
20251125,HISTORICAL_SIM_FILLED,20251127,15047440.836661972,14154901.314009275,-0.0593150378420555,使用本地审计记录生成历史模拟卖出和资金更新。
20251204,HISTORICAL_SIM_FILLED,20251208,14154901.314009275,14567869.846436018,0.0291749495998269,使用本地审计记录生成历史模拟卖出和资金更新。
20251212,HISTORICAL_SIM_FILLED,20251216,14567869.846436018,17209219.52917081,0.181313377355646,使用本地审计记录生成历史模拟卖出和资金更新。
20251219,HISTORICAL_SIM_FILLED,20251223,17209219.52917081,15363355.87351056,-0.1072601608998818,使用本地审计记录生成历史模拟卖出和资金更新。
20251231,HISTORICAL_SIM_FILLED,20260106,15363355.87351056,17373726.669405587,0.1308549259970799,使用本地审计记录生成历史模拟卖出和资金更新。
20260115,HISTORICAL_SIM_FILLED,20260119,17373726.669405587,16785949.861014783,-0.0338313603969523,使用本地审计记录生成历史模拟卖出和资金更新。
20260119,HISTORICAL_SIM_FILLED,20260121,16785949.861014783,17929365.74343622,0.0681174370165976,使用本地审计记录生成历史模拟卖出和资金更新。
20260123,HISTORICAL_SIM_FILLED,20260127,17929365.74343622,19772016.60324342,0.1027727855059111,使用本地审计记录生成历史模拟卖出和资金更新。
20260128,HISTORICAL_SIM_FILLED,20260130,19772016.60324342,20677032.857668284,0.0457725821591917,使用本地审计记录生成历史模拟卖出和资金更新。
20260226,HISTORICAL_SIM_FILLED,20260302,20677032.857668284,21078061.595341414,0.0193948880593092,使用本地审计记录生成历史模拟卖出和资金更新。
20260309,HISTORICAL_SIM_FILLED,20260311,21078061.595341414,20009527.90491473,-0.0506941155662459,使用本地审计记录生成历史模拟卖出和资金更新。
20260327,HISTORICAL_SIM_FILLED,20260331,20009527.90491473,20805143.735078897,0.0397618491523106,使用本地审计记录生成历史模拟卖出和资金更新。
20260409,HISTORICAL_SIM_FILLED,20260413,20805143.735078897,22524954.090514462,0.0826627480845445,使用本地审计记录生成历史模拟卖出和资金更新。
20260414,HISTORICAL_SIM_FILLED,20260416,22524954.090514462,21736463.179192256,-0.0350052172427846,使用本地审计记录生成历史模拟卖出和资金更新。
20260417,HISTORICAL_SIM_FILLED,20260421,21736463.179192256,22503343.166107263,0.0352808081329955,使用本地审计记录生成历史模拟卖出和资金更新。
