trade_order,trade_date,ts_code,name,market_segment,dynamic_account_return,dynamic_net_return,equity_before,equity_after,buy_trade_date,exit_trade_date,dynamic_buy_price,dynamic_sell_price,buy_amount_ratio,sell_amount_ratio,dynamic_buy_slippage_rate,dynamic_sell_slippage_rate,limit_down_blocked_days,first_time_detail_bucket,amount_ratio_bucket,prev_pct_chg_bucket,market_limit_down_count_bucket,retreat_state_bucket,segment_retreat_state_bucket,turnover_rate_bucket,volume_ratio_bucket,open_times_bucket,fd_ratio_bucket
13.0,20241227,300599.SZ,雄塑科技,chi_next,-0.0825430297500238,-0.1031787871875297,1654961.0230196996,1518355.5260614548,20241230,20241231,7.99596,7.1838999999999995,0.0070188988855547,0.0112191061349021,0.002,0.005,0,before_1000,3_5,0_3,5_15,neutral,retreat_weak,6_10,2_4,0,0_5pct_1pct
48.0,20251219,300557.SZ,理工光科,chi_next,-0.1072601608998818,-0.1340752011248523,17209219.52917081,15363355.87351056,20251222,20251223,41.747699999999995,36.218,0.0125251930359037,0.0188349923308079,0.005,0.005,0,1100_1330,2_3,neg3_0,lt_5,warming_2day,weak_below_3,15_25,2_4,2_3,0_5pct_1pct
