signal_date,planned_order_date,ts_code,name,order_status,manual_review_status,manual_review_reason,risk_flags,planned_position_pct,planned_equity,planned_amount_by_equity,reference_price,round_lot_shares,amount_ratio_bucket,open_times,first_time_detail_bucket,turnover_rate_bucket,market_segment,historical_reference_net_return,historical_reference_is_win,review_instruction,live_order_enabled
20251125,20251126,301117.SZ,佳缘科技,REVIEW_REQUIRED_PLAN_ONLY,PENDING_MANUAL_REVIEW,命中 LOSS_OVERLAY_WATCH，模拟买入前需要人工复核。,LOSS_OVERLAY_WATCH,0.8,15047440.836661972,12037952.669329578,52.03,231300,2_3,3.0,before_1000,gte_25,chi_next,-0.0724264578128002,False,人工确认后才允许进入模拟买入观察；未确认时不得进入实盘或半自动流程。,False
20251219,20251222,300557.SZ,理工光科,REVIEW_REQUIRED_PLAN_ONLY,PENDING_MANUAL_REVIEW,命中 LOSS_OVERLAY_WATCH，模拟买入前需要人工复核。,LOSS_OVERLAY_WATCH,0.8,17209219.52917081,13767375.62333665,41.54,331400,2_3,2.0,1100_1330,15_25,chi_next,-0.1273561579200771,False,人工确认后才允许进入模拟买入观察；未确认时不得进入实盘或半自动流程。,False
20260309,20260310,301606.SZ,绿联科技,REVIEW_REQUIRED_PLAN_ONLY,PENDING_MANUAL_REVIEW,命中 LOSS_OVERLAY_WATCH，模拟买入前需要人工复核。,LOSS_OVERLAY_WATCH,0.8,21078061.595341414,16862449.27627313,90.02,187300,gte_5,1.0,before_1000,6_10,chi_next,-0.0616071139746722,False,人工确认后才允许进入模拟买入观察；未确认时不得进入实盘或半自动流程。,False
