signal_date,ts_code,name,position_status,open_date,close_date,account_return,equity_after,message
20240520,300162.SZ,雷曼光电,CLOSED_BY_HISTORICAL_SIM,20240521,20240522,0.403015654731823,701507.8273659114,已按本地审计记录完成模拟买卖闭环。
20240620,300469.SZ,信息发展,CLOSED_BY_HISTORICAL_SIM,20240621,20240624,0.0575251788211788,741862.1905795921,已按本地审计记录完成模拟买卖闭环。
20240712,300582.SZ,英飞特,CLOSED_BY_HISTORICAL_SIM,20240715,20240716,0.0291377588189142,763478.3921655716,已按本地审计记录完成模拟买卖闭环。
20240802,300149.SZ,睿智医药,CLOSED_BY_HISTORICAL_SIM,20240805,20240806,0.218627429171984,930395.7102730904,已按本地审计记录完成模拟买卖闭环。
20240903,300068.SZ,南都电源,CLOSED_BY_HISTORICAL_SIM,20240904,20240905,0.0491300292270718,976106.0787115496,已按本地审计记录完成模拟买卖闭环。
20240906,300905.SZ,宝丽迪,CLOSED_BY_HISTORICAL_SIM,20240909,20240910,0.1088818221778221,1082386.287200512,已按本地审计记录完成模拟买卖闭环。
20240910,300134.SZ,大富科技,CLOSED_BY_HISTORICAL_SIM,20240911,20240912,0.0553002037962039,1142242.4694689168,已按本地审计记录完成模拟买卖闭环。
20240913,300072.SZ,海新能科,CLOSED_BY_HISTORICAL_SIM,20240918,20240919,-0.0251537565931826,1113510.7804215,已按本地审计记录完成模拟买卖闭环。
20240920,300085.SZ,银之杰,CLOSED_BY_HISTORICAL_SIM,20240923,20240924,0.1893481793500619,1324352.0193809776,已按本地审计记录完成模拟买卖闭环。
20241114,920436.BJ,大地电气,CLOSED_BY_HISTORICAL_SIM,20241115,20241118,0.1421969192181609,1512670.7964973028,已按本地审计记录完成模拟买卖闭环。
20241217,300739.SZ,明阳电路,CLOSED_BY_HISTORICAL_SIM,20241218,20241219,0.0317362084332781,1560677.232185874,已按本地审计记录完成模拟买卖闭环。
20241223,920725.BJ,惠丰钻石,CLOSED_BY_HISTORICAL_SIM,20241224,20241225,0.060412101163142,1654961.0230196996,已按本地审计记录完成模拟买卖闭环。
20241227,300599.SZ,雄塑科技,PLANNED_OR_PENDING,,,0.0,,未形成完整历史模拟成交闭环。
20241230,300933.SZ,中辰股份,PLANNED_OR_PENDING,,,0.0,,未形成完整历史模拟成交闭环。
20250102,300947.SZ,德必集团,CLOSED_BY_HISTORICAL_SIM,20250103,20250106,-0.0300099275818519,1472789.7866808458,已按本地审计记录完成模拟买卖闭环。
20250106,920367.BJ,新赣江,CLOSED_BY_HISTORICAL_SIM,20250107,20250108,0.0535001854069637,1551584.3133337535,已按本地审计记录完成模拟买卖闭环。
20250219,920533.BJ,骏创科技,CLOSED_BY_HISTORICAL_SIM,20250220,20250221,0.0587045270985859,1642669.3367015957,已按本地审计记录完成模拟买卖闭环。
20250228,920284.BJ,灵鸽科技,CLOSED_BY_HISTORICAL_SIM,20250303,20250304,0.0454512324665184,1717330.6825896415,已按本地审计记录完成模拟买卖闭环。
20250305,920425.BJ,乐创技术,CLOSED_BY_HISTORICAL_SIM,20250306,20250307,-0.0074829165317438,1704480.0404344206,已按本地审计记录完成模拟买卖闭环。
20250310,301225.SZ,恒勃股份,CLOSED_BY_HISTORICAL_SIM,20250311,20250312,0.0579846626800962,1803313.7406239675,已按本地审计记录完成模拟买卖闭环。
20250407,920087.BJ,秋乐种业,CLOSED_BY_HISTORICAL_SIM,20250408,20250409,0.4744497307792882,2658895.4593736,已按本地审计记录完成模拟买卖闭环。
20250415,920273.BJ,一致魔芋,CLOSED_BY_HISTORICAL_SIM,20250416,20250417,0.2499327712287713,3323440.569942441,已按本地审计记录完成模拟买卖闭环。
20250423,301000.SZ,肇民科技,CLOSED_BY_HISTORICAL_SIM,20250424,20250425,0.0673751138324042,3547357.7566575436,已按本地审计记录完成模拟买卖闭环。
20250508,302132.SZ,中航成飞,CLOSED_BY_HISTORICAL_SIM,20250509,20250512,0.0684173775315594,3790058.671534288,已按本地审计记录完成模拟买卖闭环。
20250516,301260.SZ,格力博,CLOSED_BY_HISTORICAL_SIM,20250519,20250520,0.0813876501586859,4098522.6407740144,已按本地审计记录完成模拟买卖闭环。
20250522,300418.SZ,昆仑万维,CLOSED_BY_HISTORICAL_SIM,20250523,20250526,-0.0208172774695937,4013202.55774561,已按本地审计记录完成模拟买卖闭环。
20250605,920748.BJ,路桥信息,CLOSED_BY_HISTORICAL_SIM,20250606,20250609,0.3284305831972421,5331261.014274664,已按本地审计记录完成模拟买卖闭环。
20250611,301110.SZ,青木科技,CLOSED_BY_HISTORICAL_SIM,20250612,20250613,0.0104631777247611,5387042.9457641095,已按本地审计记录完成模拟买卖闭环。
20250617,300457.SZ,赢合科技,CLOSED_BY_HISTORICAL_SIM,20250618,20250619,0.020473450062133,5497334.3004967775,已按本地审计记录完成模拟买卖闭环。
20250704,301389.SZ,隆扬电子,CLOSED_BY_HISTORICAL_SIM,20250707,20250708,0.0377360887354917,5704782.195468986,已按本地审计记录完成模拟买卖闭环。
20250715,300378.SZ,鼎捷数智,CLOSED_BY_HISTORICAL_SIM,20250716,20250717,-0.0106592755832884,5643973.349904845,已按本地审计记录完成模拟买卖闭环。
20250725,300781.SZ,因赛集团,CLOSED_BY_HISTORICAL_SIM,20250728,20250729,0.0116931498875458,5709969.1762465965,已按本地审计记录完成模拟买卖闭环。
20250729,300528.SZ,幸福蓝海,CLOSED_BY_HISTORICAL_SIM,20250730,20250731,0.02228841203399,5837235.321948162,已按本地审计记录完成模拟买卖闭环。
20250902,920274.BJ,宏裕包材,CLOSED_BY_HISTORICAL_SIM,20250903,20250904,0.4980539655009626,8744493.521606732,已按本地审计记录完成模拟买卖闭环。
20250908,301538.SZ,骏鼎达,CLOSED_BY_HISTORICAL_SIM,20250909,20250910,-0.0063918358890478,8688600.15408378,已按本地审计记录完成模拟买卖闭环。
20251010,300260.SZ,新莱应材,CLOSED_BY_HISTORICAL_SIM,20251013,20251014,0.1901432482310118,10340678.80996174,已按本地审计记录完成模拟买卖闭环。
20251014,301323.SZ,新莱福,CLOSED_BY_HISTORICAL_SIM,20251015,20251016,-0.0714087122182405,9602264.252679924,已按本地审计记录完成模拟买卖闭环。
20251017,300300.SZ,海峡创新,CLOSED_BY_HISTORICAL_SIM,20251020,20251021,0.0326313425704338,9915599.026960954,已按本地审计记录完成模拟买卖闭环。
20251021,301231.SZ,荣信文化,CLOSED_BY_HISTORICAL_SIM,20251022,20251023,0.1262894186622149,11167834.263763478,已按本地审计记录完成模拟买卖闭环。
20251028,920748.BJ,路桥信息,PLANNED_OR_PENDING,,,0.0,,未形成完整历史模拟成交闭环。
20251031,300204.SZ,舒泰神,CLOSED_BY_HISTORICAL_SIM,20251103,20251104,-0.0418164795204794,10405408.168287223,已按本地审计记录完成模拟买卖闭环。
20251104,300402.SZ,宝色股份,CLOSED_BY_HISTORICAL_SIM,20251105,20251106,0.0009079498962577,10414855.75755414,已按本地审计记录完成模拟买卖闭环。
20251106,300437.SZ,清水源,CLOSED_BY_HISTORICAL_SIM,20251107,20251110,0.3516731476610349,14077480.864248857,已按本地审计记录完成模拟买卖闭环。
20251110,300997.SZ,欢乐家,CLOSED_BY_HISTORICAL_SIM,20251111,20251112,0.1257692972145509,15847995.739096723,已按本地审计记录完成模拟买卖闭环。
20251120,301092.SZ,争光股份,CLOSED_BY_HISTORICAL_SIM,20251121,20251124,-0.0505145833968012,15047440.836661972,已按本地审计记录完成模拟买卖闭环。
20251125,301117.SZ,佳缘科技,PLANNED_OR_PENDING,,,0.0,,未形成完整历史模拟成交闭环。
20251204,300946.SZ,恒而达,CLOSED_BY_HISTORICAL_SIM,20251205,20251208,0.0291749495998269,14567869.846436018,已按本地审计记录完成模拟买卖闭环。
20251212,920576.BJ,天力复合,CLOSED_BY_HISTORICAL_SIM,20251215,20251216,0.181313377355646,17209219.52917081,已按本地审计记录完成模拟买卖闭环。
20251219,300557.SZ,理工光科,PLANNED_OR_PENDING,,,0.0,,未形成完整历史模拟成交闭环。
20251231,300058.SZ,蓝色光标,CLOSED_BY_HISTORICAL_SIM,20260105,20260106,0.1308549259970799,17373726.669405587,已按本地审计记录完成模拟买卖闭环。
20260115,301629.SZ,矽电股份,CLOSED_BY_HISTORICAL_SIM,20260116,20260119,-0.0338313603969523,16785949.861014783,已按本地审计记录完成模拟买卖闭环。
