signal_date,ts_code,name,original_account_return,avoided_original_loss_amount,adjusted_equity_before,suggested_decision,suggestion_reason,review_note
20241227,300599.SZ,雄塑科技,-0.0825430297500238,136605.4969582448,1654961.0230196987,REJECTED,命中 LOSS_OVERLAY_WATCH，且历史参考亏损不高于 -8%，建议跳过模拟观察。,命中 LOSS_OVERLAY_WATCH，且历史参考亏损不高于 -8%，建议跳过模拟观察。
20251219,300557.SZ,理工光科,-0.1072601608998818,2011934.8541842913,18757522.245955426,REJECTED,命中 LOSS_OVERLAY_WATCH，且历史参考亏损不高于 -8%，建议跳过模拟观察。,命中 LOSS_OVERLAY_WATCH，且历史参考亏损不高于 -8%，建议跳过模拟观察。
