paper_execution_id,signal_date,event_date,side,ts_code,name,execution_status,price,amount,account_return,equity_before,equity_after,message
EXEC-20251120-301092.SZ-BUY,20251120,20251121,BUY,301092.SZ,争光股份,HISTORICAL_SIM_FILLED,39.39,12678396.59127738,0.0,15847995.739096723,15847995.739096723,使用本地审计记录生成历史模拟买入成交。
EXEC-20251120-301092.SZ-SELL,20251120,20251124,SELL,301092.SZ,争光股份,HISTORICAL_SIM_FILLED,36.9666,12018566.354869192,-0.0505145833968012,15847995.739096723,15047440.836661972,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20251125-301117.SZ-BUY,20251125,20251126,BUY,301117.SZ,佳缘科技,HISTORICAL_SIM_FILLED,52.13406,12037952.669329578,0.0,15047440.836661972,15047440.836661972,使用本地审计记录生成历史模拟买入成交。
EXEC-20251125-301117.SZ-SELL,20251125,20251127,SELL,301117.SZ,佳缘科技,HISTORICAL_SIM_FILLED,48.353100000000005,11187289.20841803,-0.0593150378420555,15047440.836661972,14154901.314009275,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20251204-300946.SZ-BUY,20251204,20251205,BUY,300946.SZ,恒而达,HISTORICAL_SIM_FILLED,57.787499999999994,11323921.05120742,0.0,14154901.314009275,14154901.314009275,使用本地审计记录生成历史模拟买入成交。
EXEC-20251204-300946.SZ-SELL,20251204,20251208,SELL,300946.SZ,恒而达,HISTORICAL_SIM_FILLED,59.98855,11814305.865062434,0.0291749495998269,14154901.314009275,14567869.846436018,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20251212-920576.BJ-BUY,20251212,20251215,BUY,920576.BJ,天力复合,HISTORICAL_SIM_FILLED,66.33,11654295.877148814,0.0,14567869.846436018,14567869.846436018,使用本地审计记录生成历史模拟买入成交。
EXEC-20251212-920576.BJ-SELL,20251212,20251216,SELL,920576.BJ,天力复合,HISTORICAL_SIM_FILLED,81.47059999999999,14386457.808245815,0.181313377355646,14567869.846436018,17209219.52917081,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20251219-300557.SZ-BUY,20251219,20251222,BUY,300557.SZ,理工光科,HISTORICAL_SIM_FILLED,41.747699999999995,13767375.62333665,0.0,17209219.52917081,17209219.52917081,使用本地审计记录生成历史模拟买入成交。
EXEC-20251219-300557.SZ-SELL,20251219,20251223,SELL,300557.SZ,理工光科,HISTORICAL_SIM_FILLED,36.218,12003834.287624327,-0.1072601608998818,17209219.52917081,15363355.87351056,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20251231-300058.SZ-BUY,20251231,20260105,BUY,300058.SZ,蓝色光标,HISTORICAL_SIM_FILLED,11.7117,12290684.698808448,0.0,15363355.87351056,15363355.87351056,使用本地审计记录生成历史模拟买入成交。
EXEC-20251231-300058.SZ-SELL,20251231,20260106,SELL,300058.SZ,蓝色光标,HISTORICAL_SIM_FILLED,13.64634,14335301.705621168,0.1308549259970799,15363355.87351056,17373726.669405587,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20260115-301629.SZ-BUY,20260115,20260116,BUY,301629.SZ,矽电股份,HISTORICAL_SIM_FILLED,351.76005,13898981.33552447,0.0,17373726.669405587,17373726.669405587,使用本地审计记录生成历史模拟买入成交。
EXEC-20260115-301629.SZ-SELL,20260115,20260119,SELL,301629.SZ,矽电股份,HISTORICAL_SIM_FILLED,337.45425,13400724.499394186,-0.0338313603969523,17373726.669405587,16785949.861014783,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20260119-300658.SZ-BUY,20260119,20260120,BUY,300658.SZ,延江股份,HISTORICAL_SIM_FILLED,19.1352,13428759.888811829,0.0,16785949.861014783,16785949.861014783,使用本地审计记录生成历史模拟买入成交。
EXEC-20260119-300658.SZ-SELL,20260119,20260121,SELL,300658.SZ,延江股份,HISTORICAL_SIM_FILLED,20.795499999999997,14667266.695731802,0.0681174370165976,16785949.861014783,17929365.74343622,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20260123-920368.BJ-BUY,20260123,20260126,BUY,920368.BJ,连城数控,HISTORICAL_SIM_FILLED,52.104,14343492.594748978,0.0,17929365.74343622,17929365.74343622,使用本地审计记录生成历史模拟买入成交。
EXEC-20260123-920368.BJ-SELL,20260123,20260127,SELL,920368.BJ,连城数控,HISTORICAL_SIM_FILLED,58.882,16241863.639839351,0.1027727855059111,17929365.74343622,19772016.60324342,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20260128-300164.SZ-BUY,20260128,20260129,BUY,300164.SZ,通源石油,HISTORICAL_SIM_FILLED,12.15214,15817613.28259474,0.0,19772016.60324342,19772016.60324342,使用本地审计记录生成历史模拟买入成交。
