strategy_name,trade_mode,signal_date,candidate_count,selected_count,planned_order_count,execution_event_count,closed_position_count,pending_position_count,top_ts_code,top_name,historical_execution_found,equity_before,equity_after,account_return,live_order_enabled,daily_status,equity_start_of_day,equity_end_of_day,manual_review_blocked_execution_count,top_risk_flags,risk_warn_candidate_count,loss_overlay_watch_candidate_count,selected_loss_overlay_watch_count,selected_loss_overlay_watch,loss_overlay_watch_top_codes,manual_review_required,manual_review_status,manual_review_reason,position_occupied_by,position_occupied_exit_dates
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20260206,0,0,0,0,0,0,,,False,20677032.857668284,20677032.857668284,0.0,False,NO_CANDIDATE,20677032.857668284,20677032.857668284,,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20260209,0,0,0,0,0,0,,,False,20677032.857668284,20677032.857668284,0.0,False,NO_CANDIDATE,20677032.857668284,20677032.857668284,,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20260210,0,0,0,0,0,0,,,False,20677032.857668284,20677032.857668284,0.0,False,NO_CANDIDATE,20677032.857668284,20677032.857668284,,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20260211,0,0,0,0,0,0,,,False,20677032.857668284,20677032.857668284,0.0,False,NO_CANDIDATE,20677032.857668284,20677032.857668284,,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20260212,0,0,0,0,0,0,,,False,20677032.857668284,20677032.857668284,0.0,False,NO_CANDIDATE,20677032.857668284,20677032.857668284,,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20260213,0,0,0,0,0,0,,,False,20677032.857668284,20677032.857668284,0.0,False,NO_CANDIDATE,20677032.857668284,20677032.857668284,,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20260224,0,0,0,0,0,0,,,False,20677032.857668284,20677032.857668284,0.0,False,NO_CANDIDATE,20677032.857668284,20677032.857668284,,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20260225,0,0,0,0,0,0,,,False,20677032.857668284,20677032.857668284,0.0,False,NO_CANDIDATE,20677032.857668284,20677032.857668284,,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20260226,3,1,1,2,1,0,300499.SZ,高澜股份,True,20677032.857668284,21078061.595341418,0.0193948880593092,False,CLOSED_BY_HISTORICAL_SIM,20677032.857668284,21078061.595341418,0.0,无,0.0,0.0,0.0,False,,False,NOT_REQUIRED,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20260227,1,0,0,0,0,0,301226.SZ,祥明智能,False,21078061.595341418,21078061.595341418,0.0,False,POSITION_OCCUPIED_SKIP,21078061.595341418,21078061.595341418,,,,,,,,,,,300499.SZ 高澜股份,20260302
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20260302,0,0,0,0,0,0,,,False,21078061.595341418,21078061.595341418,0.0,False,NO_CANDIDATE,21078061.595341418,21078061.595341418,,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20260303,0,0,0,0,0,0,,,False,21078061.595341418,21078061.595341418,0.0,False,NO_CANDIDATE,21078061.595341418,21078061.595341418,,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20260304,0,0,0,0,0,0,,,False,21078061.595341418,21078061.595341418,0.0,False,NO_CANDIDATE,21078061.595341418,21078061.595341418,,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20260305,0,0,0,0,0,0,,,False,21078061.595341418,21078061.595341418,0.0,False,NO_CANDIDATE,21078061.595341418,21078061.595341418,,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20260306,0,0,0,0,0,0,,,False,21078061.595341418,21078061.595341418,0.0,False,NO_CANDIDATE,21078061.595341418,21078061.595341418,,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20260309,1,1,1,1,0,1,301606.SZ,绿联科技,False,0.0,0.0,0.0,False,REVIEW_REQUIRED_PLAN_ONLY,21078061.595341418,21078061.595341418,1.0,LOSS_OVERLAY_WATCH,1.0,1.0,1.0,True,301606.SZ 绿联科技,True,PENDING_MANUAL_REVIEW,选中标的命中 LOSS_OVERLAY_WATCH，进入模拟买入观察前需要人工复核。,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20260310,0,0,0,0,0,0,,,False,21078061.595341418,21078061.595341418,0.0,False,NO_CANDIDATE,21078061.595341418,21078061.595341418,,,,,,,,,,,,
a_clean_plus_exclude_star_prev0_3_bj_risk_filter,paper,20260311,0,0,0,0,0,0,,,False,21078061.595341418,21078061.595341418,0.0,False,NO_CANDIDATE,21078061.595341418,21078061.595341418,,,,,,,,,,,,
