overlay_rule,overlay_action,overlay_reduced_position_pct,rule_factor_count,rule_set_count,initial_cash,final_equity,equity_multiple,executed_trade_count,skipped_trade_count,rule_hit_count,rule_hit_loss_count,rule_hit_win_rate_original,rule_hit_avg_original_return,win_rate,avg_account_return,median_account_return,max_profit,max_loss,max_drawdown,max_consecutive_losses
amount_ratio_bucket=2_3;open_times_bucket=2_3 OR first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,31640590.861907147,63.28118172381429,54,5,5,2,0.0,-0.06548403025188873,0.7962962962962963,0.08631635140943687,0.05131510731701773,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,1
amount_ratio_bucket=2_3;open_times_bucket=2_3 OR amount_ratio_bucket=3_5;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,30036599.09216932,60.07319818433864,55,4,4,2,0.0,-0.06918150892329943,0.7818181818181819,0.083825252009879,0.04913002922707176,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,1
amount_ratio_bucket=2_3;open_times_bucket=2_3 OR open_times_bucket=0;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,30036599.09216932,60.07319818433864,55,4,4,2,0.0,-0.06918150892329943,0.7818181818181819,0.083825252009879,0.04913002922707176,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,1
amount_ratio_bucket=2_3;open_times_bucket=2_3 OR segment_retreat_state_bucket=retreat_weak;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,30036599.09216932,60.07319818433864,55,4,4,2,0.0,-0.06918150892329943,0.7818181818181819,0.083825252009879,0.04913002922707176,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,1
first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10 OR prev_pct_chg_bucket=neg3_0;retreat_state_bucket=warming_2day,hard_exclude,,4,2,500000.0,29837536.29555838,59.675072591116766,55,4,4,2,0.0,-0.06762680844950085,0.7818181818181819,0.08371218288451182,0.04913002922707176,0.4980539655009626,-0.07140871221824048,-0.10683334681309975,2
first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10 OR retreat_state_bucket=warming_2day;segment_retreat_state_bucket=weak_below_3,hard_exclude,,4,2,500000.0,29837536.29555838,59.675072591116766,55,4,4,2,0.0,-0.06762680844950085,0.7818181818181819,0.08371218288451182,0.04913002922707176,0.4980539655009626,-0.07140871221824048,-0.10683334681309975,2
first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10 OR retreat_state_bucket=warming_2day;turnover_rate_bucket=15_25,hard_exclude,,4,2,500000.0,29837536.29555838,59.675072591116766,55,4,4,2,0.0,-0.06762680844950085,0.7818181818181819,0.08371218288451182,0.04913002922707176,0.4980539655009626,-0.07140871221824048,-0.10683334681309975,2
amount_ratio_bucket=2_3;open_times_bucket=2_3 OR amount_ratio_bucket=3_5;prev_pct_chg_bucket=0_3,hard_exclude,,4,2,500000.0,29160019.796982307,58.320039593964616,53,6,6,2,0.3333333333333333,-0.04114466165152124,0.7735849056603774,0.08642510933508066,0.05350018540696369,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,1
amount_ratio_bucket=2_3;open_times_bucket=2_3 OR first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10,reduce_position,0.2,4,2,500000.0,29130561.211358983,58.26112242271797,59,0,5,2,0.0,-0.06548403025188873,0.7288135593220338,0.07761403285245305,0.0454512324665184,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,2
amount_ratio_bucket=2_3;retreat_state_bucket=warming_2day OR first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,28804944.534558997,57.60988906911799,54,5,5,2,0.2,-0.046338981408321885,0.7777777777777778,0.08454366170169918,0.04745130569313176,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,2
