scenario,condition,day_count,executed_trade_count,b_trade_count,a_trade_count,buy_rejected_count,sell_unresolved_count,review_required_count,no_candidate_count,position_occupied_skip_count,win_rate,avg_account_return,median_account_return,max_profit,max_loss,profit_loss_ratio,initial_equity,final_equity,equity_multiple,max_drawdown,path_conflict_count,limit_down_blocked_trade_count,live_order_enabled,c_trade_count,candidate_return_source_count,audit_or_replay_return_source_count,strict_rank,approx_equity_multiple,approx_executed_trade_count,approx_win_rate,approx_max_drawdown
A_plus_B_plus_C_1263,segment_emotion_state_bucket=mixed;turnover_rate_bucket=6_10,481,107,22,47,2,0,5,305,62,0.7383177570093458,0.047314053036852155,0.0326313425704338,0.4980539655009626,-0.17114192653629492,1.7631384949303295,500000.0,46424110.81241496,92.84822162482992,-0.171141926536295,0,2,False,38,0,107,6,2.70948487850071,128,0.515625,-0.32170656990453894
A_plus_B_plus_C_0369,market_chain_count_bucket=3_8;fd_ratio_bucket=0_1pct_0_3pct,481,98,22,50,0,0,5,330,48,0.7040816326530612,0.04870483323722147,0.02915635420937055,0.4980539655009626,-0.11800704531551723,2.3755214152465696,500000.0,34843001.74025363,69.68600348050725,-0.13636773737941088,0,0,False,26,0,98,30,1.8243439235554602,53,0.5849056603773585,-0.20657631043159352
A_plus_B_plus_C_0615,segment_chain_count_bucket=1_3;first_time_detail_bucket=before_1000,481,96,25,50,0,0,4,335,46,0.6875,0.04891057151964046,0.02804369219992356,0.4980539655009626,-0.14349097575595127,2.4849871314526277,500000.0,31758123.107047457,63.51624621409491,-0.14349097575595116,0,0,False,21,0,96,55,1.5941478573161618,102,0.49019607843137253,-0.31887662855003174
A_plus_B_plus_C_2095,segment_limit_up_count_bucket=40_80;open_times_bucket=2_3;turnover_rate_bucket=15_25,481,96,23,52,0,0,4,335,46,0.7083333333333334,0.047958245399173455,0.02915635420937055,0.4980539655009626,-0.1377967406386715,1.796481417854058,500000.0,27938124.735615846,55.876249471231695,-0.20289506556127734,0,1,False,21,0,96,44,1.68212421818424,42,0.6666666666666666,-0.17703920331463685
A_plus_B_plus_C_1388,market_emotion_state_bucket=warming;turnover_rate_bucket=3_6,481,96,23,51,1,0,4,335,45,0.6666666666666666,0.047360314653914076,0.023464448975581538,0.4980539655009626,-0.11800704531551723,2.518590909851499,500000.0,27572894.922588263,55.14578984517652,-0.13636773737941088,0,0,False,22,0,96,85,1.4073645942239217,37,0.4864864864864865,-0.24332894939451777
A_plus_B_plus_C_0128,market_segment=sh_main;segment_limit_up_ratio_bucket=2pct_3pct,481,92,23,49,1,0,4,341,43,0.7282608695652174,0.049107752700037276,0.024619018807461458,0.4980539655009626,-0.11800704531551723,2.1246536580013897,500000.0,27530651.820265386,55.061303640530774,-0.1436342572080227,0,0,False,20,0,92,24,1.904607584226896,58,0.5862068965517241,-0.2302726818122638
A_plus_B_plus_C_0176,market_segment=sh_main;market_emotion_state_bucket=main_rise,481,89,22,51,1,0,4,348,39,0.7078651685393258,0.05114155510822961,0.0291749495998269,0.4980539655009626,-0.17854275324675314,2.0388724986474087,500000.0,27194654.223552357,54.38930844710472,-0.22003832384477673,0,1,False,16,0,89,92,1.3901894416057385,47,0.5106382978723404,-0.28275905213102914
A_plus_B_plus_C_0857,segment_limit_up_count_bucket=40_80;open_times_bucket=2_3,481,103,22,50,0,0,4,319,55,0.6504854368932039,0.04253623546053397,0.027280122549564967,0.4744497307792882,-0.12773537880301525,2.524625752521177,500000.0,25142298.497775644,50.28459699555129,-0.15462137282104593,0,1,False,31,0,103,41,1.7228988351208283,52,0.5192307692307693,-0.16084981396674425
A_plus_B_plus_C_2109,segment_limit_up_count_bucket=10_20;open_times_bucket=2_3;turnover_rate_bucket=3_6,481,97,22,49,1,0,5,329,49,0.7010309278350515,0.045058092480950857,0.02228841203399,0.4980539655009626,-0.11800704531551723,2.212823377797072,500000.0,24770017.727204453,49.54003545440891,-0.13636773737941088,0,1,False,26,0,97,61,1.5380713073855845,36,0.5833333333333334,-0.20017324985617968
A_plus_B_plus_C_1267,segment_emotion_state_bucket=warming;turnover_rate_bucket=6_10,481,95,25,49,2,0,4,333,47,0.6736842105263158,0.046611834022285976,0.02228841203399,0.4980539655009626,-0.11800704531551723,2.436459863208178,500000.0,24736848.342075914,49.473696684151825,-0.17182998683236927,0,1,False,21,0,95,73,1.4711478815580004,49,0.5102040816326531,-0.29412823618374373
