scenario,signal_date,strategy_leg,operation_status,ts_code,name,market_segment,risk_flags,account_return,equity_before,equity_after,return_source,active_position,buy_executed,sell_executed,buy_reject_reason,sell_reject_reason,buy_trade_date,exit_trade_date,buy_price,exit_price,path_conflict,limit_down_blocked_days,live_order_enabled,initial_equity,peak_equity,drawdown
A_plus_B_plus_C_strict,20240520,A,HISTORICAL_SIM_FILLED,300162.SZ,雷曼光电,chi_next,无,0.403015654731823,500000.0,701507.8273659114,a_audit_dynamic_account_return,,False,False,,,,,,,False,0,False,500000.0,701507.8273659114,0.0
A_plus_B_plus_C_strict,20240521,NONE,NO_CANDIDATE,,,,,0.0,701507.8273659114,701507.8273659114,,,False,False,,,,,,,False,0,False,500000.0,701507.8273659114,0.0
A_plus_B_plus_C_strict,20240522,C,HISTORICAL_SIM_FILLED,002851.SZ,麦格米特,sz_main,无,-0.06803326144864469,701507.8273659114,653781.9619384557,c_conservative_daily_replay,,True,True,,,20240523,20240524,31.041009999999996,28.451520000000002,False,0,False,500000.0,701507.8273659114,-0.06803326144864463
A_plus_B_plus_C_strict,20240523,A_B_OR_C,POSITION_OCCUPIED_SKIP,,,,,0.0,653781.9619384557,653781.9619384557,,002851.SZ 麦格米特,False,False,,,,,,,False,0,False,500000.0,701507.8273659114,-0.06803326144864463
A_plus_B_plus_C_strict,20240524,NONE,NO_CANDIDATE,,,,,0.0,653781.9619384557,653781.9619384557,,,False,False,,,,,,,False,0,False,500000.0,701507.8273659114,-0.06803326144864463
A_plus_B_plus_C_strict,20240527,B,HISTORICAL_SIM_FILLED,603068.SH,博通集成,sh_main,无,-0.042873273977862995,653781.9619384557,625752.1887624835,b_conservative_daily_replay,,True,True,,,20240528,20240529,27.18716,25.7742,False,0,False,500000.0,701507.8273659114,-0.10798972676881224
A_plus_B_plus_C_strict,20240528,A_B_OR_C,POSITION_OCCUPIED_SKIP,,,,,0.0,625752.1887624835,625752.1887624835,,603068.SH 博通集成,False,False,,,,,,,False,0,False,500000.0,701507.8273659114,-0.10798972676881224
A_plus_B_plus_C_strict,20240529,NONE,NO_CANDIDATE,,,,,0.0,625752.1887624835,625752.1887624835,,,False,False,,,,,,,False,0,False,500000.0,701507.8273659114,-0.10798972676881224
A_plus_B_plus_C_strict,20240530,C,HISTORICAL_SIM_FILLED,002654.SZ,万润科技,sz_main,无,0.09172518058239515,625752.1887624835,683149.4212765513,c_conservative_daily_replay,,True,True,,,20240531,20240603,10.22021,11.40858,False,0,False,500000.0,701507.8273659114,-0.026169923375329973
A_plus_B_plus_C_strict,20240531,A_B_OR_C,POSITION_OCCUPIED_SKIP,,,,,0.0,683149.4212765513,683149.4212765513,,002654.SZ 万润科技,False,False,,,,,,,False,0,False,500000.0,701507.8273659114,-0.026169923375329973
