check_item,value,note
b_selected_signal_count,25,B 条件选出的信号数
b_buy_rejected_count,0,日线保守口径下 T+1 涨停开盘等买入失败
b_sell_unresolved_count,0,日线保守口径下卖出未解决
b_path_conflict_count,0,止盈止损同日路径冲突
b_limit_down_blocked_count,1,跌停阻塞卖出
minute_k_required,25,仍需分钟 K / 集合竞价 / 五档盘口验证
