signal_date,candidate_rank,planned_action,ts_code,name,market_segment,profit_source_score,planned_position_pct,selection_reason,sort_rule,exit_rule,risk_flags,fill_probability,allow_buy_reliable,is_fill_score_reliable,fd_ratio_bucket,fd_amount_to_circ_mv,segment_limit_up_count_bucket,market_chain_count_bucket,market_limit_down_count_bucket,retreat_state_bucket,market_emotion_state_bucket,segment_emotion_state_bucket,first_time_detail_bucket,turnover_rate_bucket,amount_ratio_bucket,prev_pct_chg_bucket,amount,turnover_rate,volume_ratio,open_times,limit_times,first_time,last_time,paper_note,historical_reference_next_trade_date,historical_reference_next_open,historical_reference_exit_trade_date,historical_reference_exit_close,historical_reference_net_return,historical_reference_is_win,trade_date
20251113,1,PLAN_BUY_T1_OPEN,002780.SZ,三夫户外,sz_main,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.0123946889638994,40_80,15_30,lt_5,neutral,main_rise,warming,1100_1330,15_25,1_2_2,neg3_0,477632.992,21.9992,2.83,1.0,1.0,131757,131836,该候选只用于模拟盘计划，不代表实盘可买入。,20251114,18.29,20251117,17.28,-0.0588414324767631,False,20251113
20251201,1,PLAN_BUY_T1_OPEN,000078.SZ,海王生物,sz_main,3.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_3pct_0_5pct,0.0039746205620082,40_80,15_30,lt_5,neutral,mixed,warming,1100_1330,15_25,1_2_2,gte_10,1898650.376,20.3422,2.74,5.0,4.0,131709,134118,该候选只用于模拟盘计划，不代表实盘可买入。,20251202,3.8,20251203,4.52,0.1858536842105262,True,20251201
20251208,1,PLAN_BUY_T1_OPEN,000571.SZ,新大洲A,sz_main,1.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0073743926800943,20_40,15_30,lt_5,warming_2day,warming,warming,1100_1330,10_15,1_2_2,0_3,706294.73,12.9008,1.32,5.0,1.0,130215,131148,该候选只用于模拟盘计划，不代表实盘可买入。,20251209,6.31,20251210,6.58,0.0391692234548337,True,20251208
20251218,1,PLAN_BUY_T1_OPEN,002865.SZ,钧达股份,sz_main,3.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.0109502248449607,20_40,15_30,5_15,warming_2day,warming,warming,1100_1330,15_25,1_2_2,gte_10,1663260.726,16.0971,1.64,0.0,2.0,130630,130630,该候选只用于模拟盘计划，不代表实盘可买入。,20251219,46.4,20251222,49.5,0.0631903448275863,True,20251218
20251222,1,PLAN_BUY_T1_OPEN,000407.SZ,胜利股份,sz_main,3.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.0141508696923952,40_80,15_30,5_15,warming_2day,warming,warming,1100_1330,10_15,2_3,0_3,593891.013,13.9983,2.57,0.0,1.0,130315,130315,该候选只用于模拟盘计划，不代表实盘可买入。,20251223,5.08,20251224,5.07,-0.0055885039370078,False,20251222
20251225,1,PLAN_BUY_T1_OPEN,001400.SZ,江顺科技,sz_main,1.0,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.01404,40_80,15_30,lt_5,warming_2day,warming,warming,1000_1100,gte_25,3_5,0_3,354352.713,32.4903,5.05,1.0,1.0,105251,140915,该候选只用于模拟盘计划，不代表实盘可买入。,20251226,73.82,20251229,76.32,0.0302461609319967,True,20251225
20251226,1,PLAN_BUY_T1_OPEN,002326.SZ,永太科技,sz_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,LOSS_OVERLAY_WATCH,1.0,True,True,0_1pct_0_3pct,0.0010230102565571,40_80,15_30,lt_5,warming_2day,warming,warming,1100_1330,15_25,2_3,neg3_0,3948585.722,18.5718,1.79,2.0,1.0,110930,145006,该候选只用于模拟盘计划，不代表实盘可买入。,20251229,26.62,20251230,25.6,-0.0419370548459804,False,20251226
20260106,1,PLAN_BUY_T1_OPEN,002865.SZ,钧达股份,sz_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0083150219605408,40_80,gte_30,lt_5,warming_2day,warming,warming,1100_1330,15_25,1_2_2,lt_neg3,1963900.055,15.8685,0.89,0.0,1.0,132618,132618,该候选只用于模拟盘计划，不代表实盘可买入。,20260107,57.0,20260108,68.53,0.1986607017543859,True,20260106
20260109,1,PLAN_BUY_T1_OPEN,600410.SH,华胜天成,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.0109574448085664,40_80,15_30,lt_5,warming_2day,warming,warming,1100_1330,gte_25,1_2_2,0_3,5946715.7,26.6669,1.88,1.0,1.0,111611,140420,该候选只用于模拟盘计划，不代表实盘可买入。,20260112,21.85,20260113,20.18,-0.0800502059496567,False,20260109
20260112,1,PLAN_BUY_T1_OPEN,603015.SH,弘讯科技,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_1pct_0_3pct,0.0028415734035694,40_80,gte_30,lt_5,warming_2day,warming,warming,1100_1330,15_25,1_2_2,gte_10,1448453.77,20.2739,3.91,4.0,4.0,132315,133006,该候选只用于模拟盘计划，不代表实盘可买入。,20260113,18.34,20260114,15.79,-0.142660348964013,False,20260112
