scenario,signal_date,strategy_leg,operation_status,ts_code,name,market_segment,risk_flags,account_return,equity_before,equity_after,return_source,active_position,buy_executed,sell_executed,buy_reject_reason,sell_reject_reason,buy_trade_date,exit_trade_date,buy_price,exit_price,path_conflict,limit_down_blocked_days,live_order_enabled,initial_equity,peak_equity,drawdown,original_operation_status,original_account_return,risk_filter_rejected
reject_fd_warn_or_loss_overlay,20251112,NONE,NO_CANDIDATE,,,,,0.0,500000.0,500000.0,,,False,False,,,,,,,False,0,False,500000.0,500000.0,0.0,NO_CANDIDATE,0.0,False
reject_fd_warn_or_loss_overlay,20251113,B,B_RISK_FILTERED_SKIP,002780.SZ,三夫户外,sz_main,封单/流通市值偏高,0.0,500000.0,500000.0,b_conservative_daily_replay,,True,True,,,20251114.0,20251118.0,18.308289999999996,15.5844,False,1,False,500000.0,500000.0,0.0,HISTORICAL_SIM_FILLED,-0.1203192402916928,True
reject_fd_warn_or_loss_overlay,20251114,A_OR_B,POSITION_OCCUPIED_SKIP,,,,,0.0,500000.0,500000.0,,002780.SZ 三夫户外,False,False,,,,,,,False,0,False,500000.0,500000.0,0.0,POSITION_OCCUPIED_SKIP,0.0,False
reject_fd_warn_or_loss_overlay,20251117,A_OR_B,POSITION_OCCUPIED_SKIP,,,,,0.0,500000.0,500000.0,,002780.SZ 三夫户外,False,False,,,,,,,False,0,False,500000.0,500000.0,0.0,POSITION_OCCUPIED_SKIP,0.0,False
reject_fd_warn_or_loss_overlay,20251118,NONE,NO_CANDIDATE,,,,,0.0,500000.0,500000.0,,,False,False,,,,,,,False,0,False,500000.0,500000.0,0.0,NO_CANDIDATE,0.0,False
reject_fd_warn_or_loss_overlay,20251119,NONE,NO_CANDIDATE,,,,,0.0,500000.0,500000.0,,,False,False,,,,,,,False,0,False,500000.0,500000.0,0.0,NO_CANDIDATE,0.0,False
reject_fd_warn_or_loss_overlay,20251120,A,HISTORICAL_SIM_FILLED,301092.SZ,争光股份,chi_next,无,-0.0505145833968012,500000.0,474742.7083015994,a_audit_dynamic_account_return,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.05051458339680115,HISTORICAL_SIM_FILLED,-0.0505145833968012,False
reject_fd_warn_or_loss_overlay,20251121,A_OR_B,POSITION_OCCUPIED_SKIP,,,,,0.0,474742.7083015994,474742.7083015994,,301092.SZ 争光股份,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.05051458339680115,POSITION_OCCUPIED_SKIP,0.0,False
reject_fd_warn_or_loss_overlay,20251124,NONE,NO_CANDIDATE,,,,,0.0,474742.7083015994,474742.7083015994,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.05051458339680115,NO_CANDIDATE,0.0,False
reject_fd_warn_or_loss_overlay,20251125,A,REVIEW_REQUIRED_PLAN_ONLY,301117.SZ,佳缘科技,chi_next,LOSS_OVERLAY_WATCH,0.0,474742.7083015994,474742.7083015994,manual_review_skip,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.05051458339680115,REVIEW_REQUIRED_PLAN_ONLY,0.0,False
reject_fd_warn_or_loss_overlay,20251126,NONE,NO_CANDIDATE,,,,,0.0,474742.7083015994,474742.7083015994,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.05051458339680115,NO_CANDIDATE,0.0,False
reject_fd_warn_or_loss_overlay,20251127,NONE,NO_CANDIDATE,,,,,0.0,474742.7083015994,474742.7083015994,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.05051458339680115,NO_CANDIDATE,0.0,False
reject_fd_warn_or_loss_overlay,20251128,NONE,NO_CANDIDATE,,,,,0.0,474742.7083015994,474742.7083015994,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.05051458339680115,NO_CANDIDATE,0.0,False
reject_fd_warn_or_loss_overlay,20251201,B,HISTORICAL_SIM_FILLED,000078.SZ,海王生物,sz_main,无,0.1483816907303223,474742.7083015994,545185.834021283,b_conservative_daily_replay,,True,True,,,20251202.0,20251203.0,3.8037999999999994,4.515479999999999,False,0,False,500000.0,545185.834021283,0.0,HISTORICAL_SIM_FILLED,0.1483816907303223,False
reject_fd_warn_or_loss_overlay,20251202,A_OR_B,POSITION_OCCUPIED_SKIP,,,,,0.0,545185.834021283,545185.834021283,,000078.SZ 海王生物,False,False,,,,,,,False,0,False,500000.0,545185.834021283,0.0,POSITION_OCCUPIED_SKIP,0.0,False
reject_fd_warn_or_loss_overlay,20251203,NONE,NO_CANDIDATE,,,,,0.0,545185.834021283,545185.834021283,,,False,False,,,,,,,False,0,False,500000.0,545185.834021283,0.0,NO_CANDIDATE,0.0,False
reject_fd_warn_or_loss_overlay,20251204,A,HISTORICAL_SIM_FILLED,300946.SZ,恒而达,chi_next,无,0.0291749495998269,545185.834021283,561091.6032513934,a_audit_dynamic_account_return,,False,False,,,,,,,False,0,False,500000.0,561091.6032513934,0.0,HISTORICAL_SIM_FILLED,0.0291749495998269,False
reject_fd_warn_or_loss_overlay,20251205,A_OR_B,POSITION_OCCUPIED_SKIP,,,,,0.0,561091.6032513934,561091.6032513934,,300946.SZ 恒而达,False,False,,,,,,,False,0,False,500000.0,561091.6032513934,0.0,POSITION_OCCUPIED_SKIP,0.0,False
reject_fd_warn_or_loss_overlay,20251208,B,HISTORICAL_SIM_FILLED,000571.SZ,新大洲A,sz_main,无,0.0312685828023009,561091.6032513934,578636.1425073354,b_conservative_daily_replay,,True,True,,,20251209.0,20251210.0,6.316309999999999,6.5734200000000005,False,0,False,500000.0,578636.1425073354,0.0,HISTORICAL_SIM_FILLED,0.0312685828023009,False
reject_fd_warn_or_loss_overlay,20251209,A_OR_B,POSITION_OCCUPIED_SKIP,,,,,0.0,578636.1425073354,578636.1425073354,,000571.SZ 新大洲A,False,False,,,,,,,False,0,False,500000.0,578636.1425073354,0.0,POSITION_OCCUPIED_SKIP,0.0,False
reject_fd_warn_or_loss_overlay,20251210,NONE,NO_CANDIDATE,,,,,0.0,578636.1425073354,578636.1425073354,,,False,False,,,,,,,False,0,False,500000.0,578636.1425073354,0.0,NO_CANDIDATE,0.0,False
reject_fd_warn_or_loss_overlay,20251211,NONE,NO_CANDIDATE,,,,,0.0,578636.1425073354,578636.1425073354,,,False,False,,,,,,,False,0,False,500000.0,578636.1425073354,0.0,NO_CANDIDATE,0.0,False
reject_fd_warn_or_loss_overlay,20251212,A,HISTORICAL_SIM_FILLED,920576.BJ,天力复合,bj,无,0.181313377355646,578636.1425073354,683550.6157653834,a_audit_dynamic_account_return,,False,False,,,,,,,False,0,False,500000.0,683550.6157653834,0.0,HISTORICAL_SIM_FILLED,0.181313377355646,False
