scenario,condition,day_count,executed_trade_count,b_trade_count,a_trade_count,buy_rejected_count,sell_unresolved_count,review_required_count,no_candidate_count,position_occupied_skip_count,win_rate,avg_account_return,median_account_return,max_profit,max_loss,profit_loss_ratio,initial_equity,final_equity,equity_multiple,max_drawdown,path_conflict_count,limit_down_blocked_trade_count,live_order_enabled
A_strict,current_config,120,13,0,13,0,0,3,91,13,0.7692307692307693,0.04736578384822116,0.0397618491523106,0.181313377355646,-0.0505145833968012,1.8477566820779427,500000.0,890568.6672975417,1.7811373345950834,-0.05051458339680115,0,0,False
B_strict_on_A_no_candidate_days,segment_emotion_state_bucket=warming,91,20,20,0,0,0,0,54,17,0.55,0.016740357925857687,0.015101485493230236,0.15860683400809739,-0.12031924029169283,1.6008262431361027,500000.0,666268.2665533185,1.332536533106637,-0.12031924029169283,0,1,False
A_plus_B_strict,segment_emotion_state_bucket=warming,120,31,20,11,0,0,1,56,32,0.6451612903225806,0.030654411537219928,0.02464048591717308,0.181313377355646,-0.12031924029169283,1.753294444567932,500000.0,1187854.9379364338,2.3757098758728676,-0.16475594739053945,0,1,False
