split,trade_count,win_rate,avg_return,median_return,equity_multiple,fixed_initial_notional_multiple,max_drawdown,max_profit,max_loss,profit_loss_ratio,max_consecutive_losses
全部,128,0.6875,0.06567948721411257,0.03569784379068586,1727.906227926422,9.406974363406409,-0.23413141247525615,0.5243675628308736,-0.13823939725321055,3.2357920762963968,5
训练半段<20250603,63,0.7142857142857143,0.0831608928666944,0.05933355340206739,106.6498742727652,6.239136250601747,-0.09763817014144716,0.48929138851039927,-0.07002920015698579,4.048994813925597,3
测试半段>=20250603,65,0.6615384615384615,0.048735970966225575,0.02150756108281967,16.201671494775223,4.167838112804662,-0.23413141247525626,0.5243675628308736,-0.13823939725321055,2.538430143237488,5
自然年2024,37,0.6756756756756757,0.07007404312983687,0.05390543726235739,10.002407275692203,3.5927395958039643,-0.08205712486634875,0.4540270648464164,-0.07002920015698579,3.3654638203472014,2
自然年2025,69,0.6811594202898551,0.07293471193590871,0.03734707754276172,82.17760145963263,6.032495123577701,-0.23413141247525604,0.5243675628308736,-0.13823939725321055,3.3566693729752695,5
自然年2026,22,0.7272727272727273,0.035533620182942885,0.026597241181099827,2.1021426066037825,1.7817396440247435,-0.06508317656182794,0.14147306140655388,-0.05027612989115961,2.680246839059085,2
