signal_date,status,strategy_leg,ts_code,name,buy_date,exit_date,account_return,equity_before,equity_after,blocked_by_leg,blocked_by_code,blocked_until,return_source,peak_equity,drawdown,entry_gate_enabled,m_enabled,n_enabled
20240520,EXECUTED,A,300162.SZ,雷曼光电,20240521,20240522,0.4156846673630991,500000.0,707842.3336815495,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),707842.3336815495,0.0,True,True,True
20240521,SKIP_OCCUPIED,,,,,,0.0,707842.3336815495,707842.3336815495,A,300162.SZ,20240522,,707842.3336815495,0.0,True,True,True
20240522,EXECUTED,M,300956.SZ,英力股份,20240523,20240524,0.061802601068656135,707842.3336815495,751588.8310495769,,,,M兜底:weak;流通市值最小,751588.8310495769,0.0,True,True,True
20240523,SKIP_OCCUPIED,,,,,,0.0,751588.8310495769,751588.8310495769,M,300956.SZ,20240524,,751588.8310495769,0.0,True,True,True
20240524,EXECUTED,N,002897.SZ,意华股份,20240527,20240528,-0.060955094345976624,751588.8310495769,705775.6629435676,,,,N双分支:SUPPLEMENT:CHAIN_3_8_MIXED_AMOUNT_DESC;FIXED_CLOSE;前复权;日期化显式费用,751588.8310495769,-0.06095509434597668,True,True,True
20240527,SKIP_OCCUPIED,,,,,,0.0,705775.6629435676,705775.6629435676,N,002897.SZ,20240528,,751588.8310495769,-0.06095509434597668,True,True,True
20240528,EXECUTED,M,301129.SZ,瑞纳智能,20240529,20240530,0.19482383137590414,705775.6629435676,843277.5816901021,,,,M兜底:weak;流通市值最小,843277.5816901021,0.0,True,True,True
20240529,SKIP_OCCUPIED,,,,,,0.0,843277.5816901021,843277.5816901021,M,301129.SZ,20240530,,843277.5816901021,0.0,True,True,True
20240530,EXECUTED,M,001358.SZ,兴欣新材,20240531,20240603,-0.07370292651325222,843277.5816901021,781125.5560565235,,,,M兜底:weak;流通市值最小,843277.5816901021,-0.07370292651325228,True,True,True
20240531,SKIP_OCCUPIED,,,,,,0.0,781125.5560565235,781125.5560565235,M,001358.SZ,20240603,,843277.5816901021,-0.07370292651325228,True,True,True
20240603,EXECUTED,M,301176.SZ,逸豪新材,20240604,20240605,0.12346881060116384,781125.5560565235,877570.1993929952,,,,M兜底:weak;流通市值最小,877570.1993929952,0.0,True,True,True
20240604,SKIP_OCCUPIED,,,,,,0.0,877570.1993929952,877570.1993929952,M,301176.SZ,20240605,,877570.1993929952,0.0,True,True,True
20240605,EXECUTED,M,300417.SZ,南华仪器,20240606,20240607,-0.05310782967032961,877570.1993929952,830964.3507198748,,,,M兜底:weak;流通市值最小,877570.1993929952,-0.053107829670329565,True,True,True
20240606,SKIP_OCCUPIED,,,,,,0.0,830964.3507198748,830964.3507198748,M,300417.SZ,20240607,,877570.1993929952,-0.053107829670329565,True,True,True
20240607,NO_CANDIDATE,,,,,,0.0,830964.3507198748,830964.3507198748,,,,,877570.1993929952,-0.053107829670329565,True,True,True
20240611,EXECUTED,M,603172.SH,万丰股份,20240612,20240613,-0.0830425431711145,830964.3507198748,761958.9577515625,,,,M兜底:weak;流通市值最小,877570.1993929952,-0.13174016360332164,True,True,True
20240612,SKIP_OCCUPIED,,,,,,0.0,761958.9577515625,761958.9577515625,M,603172.SH,20240613,,877570.1993929952,-0.13174016360332164,True,True,True
20240613,EXECUTED,E,688573.SH,信宇人,20240614,20240617,0.01295349470784171,761958.9577515625,771828.98907839,,,,E_R1:36;first_time=1100_1330,877570.1993929952,-0.12049316440752567,True,True,True
20240614,SKIP_OCCUPIED,,,,,,0.0,771828.98907839,771828.98907839,E,688573.SH,20240617,,877570.1993929952,-0.12049316440752567,True,True,True
20240617,EXECUTED,N,300806.SZ,斯迪克,20240618,20240619,0.0011628022767700536,771828.98907839,772726.4735841674,,,,N双分支:CURRENT:LOW_HEIGHT_RETREAT_FIRST_TIME;FIXED_CLOSE;前复权;日期化显式费用,877570.1993929952,-0.11947047185666393,True,True,True
20240618,SKIP_OCCUPIED,,,,,,0.0,772726.4735841674,772726.4735841674,N,300806.SZ,20240619,,877570.1993929952,-0.11947047185666393,True,True,True
20240619,NO_CANDIDATE,,,,,,0.0,772726.4735841674,772726.4735841674,,,,,877570.1993929952,-0.11947047185666393,True,True,True
20240620,EXECUTED,A,300469.SZ,信息发展,20240621,20240624,0.05968620659340656,772726.4735841674,818847.5855267065,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),877570.1993929952,-0.06691500452830601,True,True,True
20240621,SKIP_OCCUPIED,,,,,,0.0,818847.5855267065,818847.5855267065,A,300469.SZ,20240624,,877570.1993929952,-0.06691500452830601,True,True,True
20240624,EXECUTED,M,001266.SZ,宏英智能,20240625,20240626,0.11100112387612379,818847.5855267065,909740.5878034213,,,,M兜底:weak;流通市值最小,909740.5878034213,0.0,True,True,True
20240625,SKIP_OCCUPIED,,,,,,0.0,909740.5878034213,909740.5878034213,M,001266.SZ,20240626,,909740.5878034213,0.0,True,True,True
20240626,NO_CANDIDATE,,,,,,0.0,909740.5878034213,909740.5878034213,,,,,909740.5878034213,0.0,True,True,True
20240627,EXECUTED,M,301503.SZ,智迪科技,20240628,20240701,-0.017015661503850487,909740.5878034213,894260.7499050443,,,,M兜底:weak;流通市值最小,909740.5878034213,-0.017015661503850477,True,True,True
20240628,SKIP_OCCUPIED,,,,,,0.0,894260.7499050443,894260.7499050443,M,301503.SZ,20240701,,909740.5878034213,-0.017015661503850477,True,True,True
20240701,EXECUTED,M,301119.SZ,正强股份,20240702,20240703,-0.082400147928994,894260.7499050443,820573.5318257756,,,,M兜底:weak;流通市值最小,909740.5878034213,-0.09801371640781742,True,True,True
