scenario,signal_day_count,executed_trade_count,a_trade_count,c_trade_count,d_trade_count,d_to_a_trade_count,d_to_c_trade_count,d_to_e_trade_count,e_trade_count,n_trade_count,win_rate,avg_return,median_return,equity_multiple,fixed_initial_notional_multiple,theoretical_ending_equity,theoretical_next_order_amount,capacity_certified,total_compound_return,max_drawdown,max_profit,max_loss,profit_loss_ratio,max_consecutive_losses,is_current_executable
without_e_gate,481,164,43,17,17,0,0,0,52,35,0.6707317073170732,0.055553796773153016,0.02699300849442341,3253.79460704468,10.110822670797095,1626897303.52234,1342190275.4059305,False,3252.79460704468,-0.22386233070836592,0.5243675628308736,-0.13823939725321055,2.7929735613398954,4,False
current_without_n,481,128,45,18,18,0,0,0,47,0,0.6875,0.06567948721411257,0.03569784379068586,1727.906227926422,9.406974363406409,863953113.9632109,712761319.019649,False,1726.906227926422,-0.23413141247525604,0.5243675628308736,-0.13823939725321055,3.2357920762963968,5,False
current_d_a_e_c_n,481,157,43,18,17,0,0,0,42,37,0.6878980891719745,0.05957066326511538,0.0304353920828418,4100.04329082521,10.352594132623114,2050021645.4126048,1691267857.4653988,False,4099.04329082521,-0.22386233070836592,0.5243675628308736,-0.13823939725321055,2.8706619767809305,4,False
