scenario,condition,day_count,executed_trade_count,b_trade_count,a_trade_count,buy_rejected_count,sell_unresolved_count,review_required_count,no_candidate_count,position_occupied_skip_count,win_rate,avg_account_return,median_account_return,max_profit,max_loss,profit_loss_ratio,initial_equity,final_equity,equity_multiple,max_drawdown,path_conflict_count,limit_down_blocked_trade_count,live_order_enabled,description,base_b_selected_count,base_b_rejected_count,residual_b_before_filter_count,residual_b_rejected_count,residual_b_after_filter_count,b_only_equity_multiple,rejected_trade_keys
reject_b_open_times_gte_4,segment_emotion_state_bucket=warming,60,8,4,4,0,0,1,43,8,0.875,0.031041087740828747,0.022573694292163944,0.14196793827778875,-0.0350052172427846,1.1562926145074088,500000.0,633349.8073982843,1.2666996147965686,-0.0350052172427846,0,0,False,B额外过滤炸板次数>=4。,14,3,11,7,4,1.1962285964543837,20260302:603257.SH:-0.0276;20260306:000509.SZ:0.0221;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260324:601016.SH:0.0500;20260413:000968.SZ:-0.0496;20260416:603220.SH:-0.0441
reject_b_open_times_gte_6,segment_emotion_state_bucket=warming,60,8,4,4,0,0,1,43,8,0.875,0.020138477461783065,0.022573694292163944,0.05001172841616214,-0.0350052172427846,0.8003420729988169,500000.0,585102.4488339415,1.170204897667883,-0.0350052172427846,0,0,False,B额外过滤炸板次数>=6。,14,3,11,5,6,1.1051022246707716,20260302:603257.SH:-0.0276;20260306:000509.SZ:0.0221;20260311:603778.SH:-0.0155;20260413:000968.SZ:-0.0496;20260416:603220.SH:-0.0441
reject_b_sh_main_or_open_times_gte_4,segment_emotion_state_bucket=warming,60,5,0,5,0,0,1,49,5,0.8,0.028419015237275035,0.0352808081329955,0.0826627480845445,-0.0350052172427846,1.2648135576537831,500000.0,573221.7445804822,1.1464434891609645,-0.0350052172427846,0,0,False,B额外过滤沪市主板或炸板次数>=4。,14,3,11,11,0,1.0,20260302:603257.SH:-0.0276;20260306:000509.SZ:0.0221;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260313:603248.SH:0.1420;20260324:601016.SH:0.0500;20260325:603829.SH:0.0018;20260408:603083.SH:0.0205;20260413:000968.SZ:-0.0496;20260416:603220.SH:-0.0441;20260507:603256.SH:0.0246
reject_b_open_times_gte_4_or_turnover_gte_20,segment_emotion_state_bucket=warming,60,7,3,4,0,0,1,45,7,0.8571428571428571,0.015194394806977322,0.02050690266715481,0.0397618491523106,-0.0350052172427846,0.6730710068690532,500000.0,554612.600029248,1.1092252000584961,-0.0350052172427846,0,0,False,B额外过滤炸板次数>=4或换手率>=20%。,14,3,11,8,3,1.0475150451758095,20260302:603257.SH:-0.0276;20260306:000509.SZ:0.0221;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260313:603248.SH:0.1420;20260324:601016.SH:0.0500;20260413:000968.SZ:-0.0496;20260416:603220.SH:-0.0441
reject_b_turnover_bucket_15_25,segment_emotion_state_bucket=warming,60,9,6,3,0,0,1,41,9,0.7777777777777778,0.02289773841133812,0.02050690266715481,0.14196793827778875,-0.049626241187383915,1.0478714600598622,500000.0,606520.5832938273,1.2130411665876546,-0.0496262411873839,0,0,False,B额外过滤换手率分桶15_25。,14,3,11,5,6,1.105454944927958,20260306:000509.SZ:0.0221;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260324:601016.SH:0.0500;20260416:603220.SH:-0.0441
reject_b_turnover_rate_gte_20,segment_emotion_state_bucket=warming,60,8,5,3,0,0,0,44,8,0.875,0.02025325868867124,0.02334806713441081,0.05001172841616214,-0.049626241187383915,0.6092753281692674,500000.0,585133.6640784771,1.1702673281569542,-0.0496262411873839,0,0,False,B额外过滤换手率>=20%。,14,3,11,5,6,1.0664747746673053,20260302:603257.SH:-0.0276;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260313:603248.SH:0.1420;20260416:603220.SH:-0.0441
reject_b_retreat_warming_2day,segment_emotion_state_bucket=warming,60,9,5,4,0,0,1,41,9,0.7777777777777778,0.03650500254181945,0.0352808081329955,0.14196793827778875,-0.049626241187383915,1.7259812142470665,500000.0,682819.2001943357,1.3656384003886712,-0.04962624118738401,0,0,False,B额外过滤retreat_state_bucket=warming_2day。,14,3,11,5,6,1.1494975059542154,20260302:603257.SH:-0.0276;20260306:000509.SZ:0.0221;20260325:603829.SH:0.0018;20260408:603083.SH:0.0205;20260416:603220.SH:-0.0441
reject_b_market_emotion_warming,segment_emotion_state_bucket=warming,60,9,5,4,0,0,1,41,9,0.7777777777777778,0.03650500254181945,0.0352808081329955,0.14196793827778875,-0.049626241187383915,1.7259812142470665,500000.0,682819.2001943357,1.3656384003886712,-0.04962624118738401,0,0,False,B额外过滤market_emotion_state_bucket=warming。,14,3,11,5,6,1.1494975059542154,20260302:603257.SH:-0.0276;20260306:000509.SZ:0.0221;20260325:603829.SH:0.0018;20260408:603083.SH:0.0205;20260416:603220.SH:-0.0441
reject_b_market_segment_sh_main,segment_emotion_state_bucket=warming,60,6,2,4,0,0,0,48,6,0.8333333333333334,0.024921616765570736,0.02866822824232202,0.0826627480845445,-0.049626241187383915,0.8026235193949695,500000.0,576987.8528807056,1.1539757057614113,-0.04962624118738401,0,0,False,B额外过滤沪市主板。,14,3,11,9,2,0.9713348682396216,20260302:603257.SH:-0.0276;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260313:603248.SH:0.1420;20260324:601016.SH:0.0500;20260325:603829.SH:0.0018;20260408:603083.SH:0.0205;20260416:603220.SH:-0.0441;20260507:603256.SH:0.0246
reject_b_sh_main_or_chain_gte_30,segment_emotion_state_bucket=warming,60,6,2,4,0,0,0,48,6,0.8333333333333334,0.024921616765570736,0.02866822824232202,0.0826627480845445,-0.049626241187383915,0.8026235193949695,500000.0,576987.8528807056,1.1539757057614113,-0.04962624118738401,0,0,False,B额外过滤沪市主板或全市场连板数量gte_30。,14,3,11,9,2,0.9713348682396216,20260302:603257.SH:-0.0276;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260313:603248.SH:0.1420;20260324:601016.SH:0.0500;20260325:603829.SH:0.0018;20260408:603083.SH:0.0205;20260416:603220.SH:-0.0441;20260507:603256.SH:0.0246
baseline_ab_filtered,segment_emotion_state_bucket=warming,60,11,9,2,0,0,0,38,11,0.6363636363636364,0.016495128666486673,0.02050690266715481,0.14196793827778875,-0.049626241187383915,1.328835061037567,500000.0,590601.4203265388,1.1812028406530777,-0.0915278116157231,0,0,False,当前 A+B filtered，不增加额外B过滤。,14,3,11,0,11,1.1144180894250373,
reject_b_market_chain_gte_30,segment_emotion_state_bucket=warming,60,11,9,2,0,0,0,38,11,0.6363636363636364,0.016495128666486673,0.02050690266715481,0.14196793827778875,-0.049626241187383915,1.328835061037567,500000.0,590601.4203265388,1.1812028406530777,-0.0915278116157231,0,0,False,B额外过滤全市场连板数量gte_30。,14,3,11,0,11,1.1144180894250373,
reject_b_amount_lt_800k,segment_emotion_state_bucket=warming,60,9,7,2,0,0,1,41,9,0.6666666666666666,0.020779866584410268,0.02050690266715481,0.14196793827778875,-0.049626241187383915,1.3558038294372556,500000.0,594275.0731841344,1.1885501463682688,-0.09152781161572321,0,0,False,B额外过滤成交额字段amount<80万口径单位。,14,3,11,4,7,1.1213499813200978,20260302:603257.SH:-0.0276;20260306:000509.SZ:0.0221;20260312:603092.SH:0.0065;20260325:603829.SH:0.0018
