scenario,condition,day_count,executed_trade_count,b_trade_count,a_trade_count,buy_rejected_count,sell_unresolved_count,review_required_count,no_candidate_count,position_occupied_skip_count,win_rate,avg_account_return,median_account_return,max_profit,max_loss,profit_loss_ratio,initial_equity,final_equity,equity_multiple,max_drawdown,path_conflict_count,limit_down_blocked_trade_count,live_order_enabled,b_selected_signal_count_before_filter,b_rejected_by_risk_filter_count,b_replayed_signal_count_after_filter
A_strict,current_config,60,5,0,5,0,0,1,49,5,0.8,0.028419015237275035,0.0352808081329955,0.0826627480845445,-0.0350052172427846,1.2648135576537831,500000.0,573221.7445804822,1.1464434891609645,-0.0350052172427846,0,0,False,14,10,4
B0018_filtered_on_A_no_candidate_days,segment_emotion_state_bucket=warming,49,4,4,0,0,0,0,42,3,1.0,0.04722409345619983,0.022573694292163944,0.14196793827778875,0.0017810469626826726,0.0,500000.0,598114.2982271919,1.1962285964543837,0.0,0,0,False,14,10,4
A_plus_B0018_filtered,segment_emotion_state_bucket=warming,60,8,4,4,0,0,1,43,8,0.875,0.031041087740828747,0.022573694292163944,0.14196793827778875,-0.0350052172427846,1.1562926145074088,500000.0,633349.8073982843,1.2666996147965686,-0.0350052172427846,0,0,False,14,10,4
