signal_date,candidate_rank,planned_action,ts_code,name,market_segment,profit_source_score,planned_position_pct,selection_reason,sort_rule,exit_rule,risk_flags,fill_probability,allow_buy_reliable,is_fill_score_reliable,fd_ratio_bucket,fd_amount_to_circ_mv,segment_limit_up_count_bucket,market_chain_count_bucket,market_limit_down_count_bucket,retreat_state_bucket,market_emotion_state_bucket,segment_emotion_state_bucket,first_time_detail_bucket,turnover_rate_bucket,amount_ratio_bucket,prev_pct_chg_bucket,amount,turnover_rate,volume_ratio,open_times,limit_times,first_time,last_time,paper_note,historical_reference_next_trade_date,historical_reference_next_open,historical_reference_exit_trade_date,historical_reference_exit_close,historical_reference_net_return,historical_reference_is_win,trade_date,d1_trade_date,d1_open,d1_high,d1_low,d1_close,d1_pre_close,d1_pct_chg,d2_trade_date,d2_open,d2_high,d2_low,d2_close,d2_pre_close,d2_pct_chg,d3_trade_date,d3_open,d3_high,d3_low,d3_close,d3_pre_close,d3_pct_chg,d4_trade_date,d4_open,d4_high,d4_low,d4_close,d4_pre_close,d4_pct_chg,d5_trade_date,d5_open,d5_high,d5_low,d5_close,d5_pre_close,d5_pct_chg,replay_rule,buy_executed,buy_reject_reason,buy_trade_date,buy_price_before_slippage,buy_price,buy_price_model,sell_executed,sell_reject_reason,exit_trade_date,exit_price_before_slippage,exit_price,exit_reason,sell_price_model,path_conflict,limit_down_blocked_days,net_return,daily_return,is_win,strict_account_return,strict_return_source
20250901,1,PLAN_BUY_T1_OPEN,600833.SH,第一医药,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.0164912106772914,40_80,8_15,lt_5,warming_2day,warming,warming,1100_1330,10_15,2_3,0_3,344263.749,10.8932,2.73,0.0,1.0,112240,112240,该候选只用于模拟盘计划，不代表实盘可买入。,20250902,15.31,20250903,14.39,-0.0637114435009797,False,20250901,20250902,15.31,16.05,14.84,15.13,14.59,3.7012,20250903,14.56,15.2,14.33,14.39,15.13,-4.8909,20250904,14.47,14.54,13.97,14.19,14.39,-1.3899,20250905,14.25,14.29,13.82,14.13,14.19,-0.4228,20250908,14.13,14.5,14.01,14.13,14.13,0.0,fixed_t2_close,True,,20250902,15.31,15.325309999999998,daily_open_plus_slippage_no_l2,True,,20250903,14.39,14.37561,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.0635893826748039,-0.05087150613984312,False,-0.05087150613984312,conservative_daily_replay
20250905,1,PLAN_BUY_T1_OPEN,600021.SH,上海电力,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_1pct_0_3pct,0.0028656388276399,20_40,3_8,lt_5,warming_2day,warming,warming,1100_1330,3_6,lt_0_8,neg3_0,3058770.32,5.5786,0.92,0.0,1.0,110801,110801,该候选只用于模拟盘计划，不代表实盘可买入。,20250908,22.0,20250909,23.1,0.04638,True,20250905,20250908,22.0,22.85,21.3,22.23,20.77,7.0294,20250909,22.01,24.1,21.6,23.1,22.23,3.9136,20250910,20.79,21.78,20.79,20.79,23.1,-10.0,20250911,19.71,22.77,19.39,22.01,20.79,5.8682,20250912,22.01,22.7,21.8,22.2,22.01,0.8632,fixed_t2_close,True,,20250908,22.0,22.022,daily_open_plus_slippage_no_l2,True,,20250909,23.1,23.076900000000002,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.0462820979020981,0.03702567832167848,True,0.03702567832167848,conservative_daily_replay
20250911,1,PLAN_BUY_T1_OPEN,002548.SZ,金新农,sz_main,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.0178874726609047,20_40,8_15,lt_5,neutral,main_rise,warming,1100_1330,10_15,3_5,0_3,438713.009,11.3873,3.43,0.0,1.0,132812,132812,该候选只用于模拟盘计划，不代表实盘可买入。,20250912,5.09,20250915,5.27,0.0317434577603143,True,20250911,20250912,5.09,5.45,5.06,5.1,4.95,3.0303,20250915,5.21,5.39,5.03,5.27,5.1,3.3333,20250916,5.22,5.35,5.04,5.1,5.27,-3.2258,20250917,5.03,5.04,4.83,4.92,5.1,-3.5294,20250918,4.9,5.19,4.86,5.01,4.92,1.8293,fixed_t2_close,True,,20250912,5.09,5.095089999999999,daily_open_plus_slippage_no_l2,True,,20250915,5.27,5.264729999999999,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.031674799503051035,0.02533983960244083,True,0.02533983960244083,conservative_daily_replay
20250922,1,PLAN_BUY_T1_OPEN,002006.SZ,精工科技,sz_main,5.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0062083507461422,20_40,8_15,5_15,neutral,mixed,warming,1100_1330,10_15,2_3,neg3_0,1469918.539,12.9042,1.32,1.0,1.0,130730,145345,该候选只用于模拟盘计划，不代表实盘可买入。,20250923,22.56,20250924,22.25,-0.0173611347517729,False,20250922,20250923,22.56,23.23,21.65,22.11,22.52,-1.8206,20250924,22.32,22.45,21.74,22.25,22.11,0.6332,20250925,22.25,22.96,22.0,22.58,22.25,1.4831,20250926,22.49,22.49,21.88,21.95,22.58,-2.7901,20250929,21.82,22.03,21.49,21.78,21.95,-0.7745,fixed_t2_close,True,,20250923,22.56,22.582559999999997,daily_open_plus_slippage_no_l2,True,,20250924,22.25,22.22775,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.017331681935086097,-0.013865345548068878,False,-0.013865345548068878,conservative_daily_replay
20250923,1,PLAN_BUY_T1_OPEN,603618.SH,杭电股份,sh_main,4.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_1pct_0_3pct,0.0010988946678362,20_40,15_30,5_15,neutral,mixed,warming,1100_1330,gte_25,1_2_2,7_10,2404976.747,29.4775,2.15,11.0,6.0,112134,150000,该候选只用于模拟盘计划，不代表实盘可买入。,20250924,11.5,20250925,9.91,-0.1418808695652173,False,20250923,20250924,11.5,11.57,11.01,11.01,12.23,-9.9755,20250925,10.0,10.72,9.91,9.91,11.01,-9.9909,20250926,9.41,9.5,8.92,8.92,9.91,-9.9899,20250929,8.86,9.17,8.74,8.9,8.92,-0.2242,20250930,9.05,9.68,8.88,9.5,8.9,6.7416,fixed_t2_close,True,,20250924,11.5,11.511499999999998,daily_open_plus_slippage_no_l2,True,,20250929,8.9,8.8911,fixed_close,daily_price_minus_slippage_no_l2,False,2,-0.22925323632888844,-0.18340258906311077,False,-0.18340258906311077,conservative_daily_replay
20250924,1,PLAN_BUY_T1_OPEN,600857.SH,宁波中百,sh_main,5.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,lt_0_1pct,0.0002643142542498,20_40,8_15,5_15,neutral,mixed,warming,1100_1330,10_15,1_2_2,3_7,450217.131,12.266,3.4,16.0,1.0,131821,140803,该候选只用于模拟盘计划，不代表实盘可买入。,20250925,16.22,20250926,16.71,0.026589617755857,True,20250924,20250925,16.22,17.88,16.21,16.94,16.91,0.1774,20250926,17.03,17.15,16.35,16.71,16.94,-1.3577,20250929,16.75,17.06,16.23,16.89,16.71,1.0772,20250930,17.04,17.55,16.46,17.36,16.89,2.7827,20251009,17.63,17.66,16.5,17.0,17.36,-2.0737,fixed_t2_close,True,,20250925,16.22,16.236219999999996,daily_open_plus_slippage_no_l2,True,,20250926,16.71,16.69329,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.02653125688122011,0.02122500550497609,True,0.02122500550497609,conservative_daily_replay
20250929,1,PLAN_BUY_T1_OPEN,002850.SZ,科达利,sz_main,1.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_1pct_0_3pct,0.0024830102026977,20_40,3_8,lt_5,warming_2day,warming,warming,1100_1330,3_6,1_2_2,lt_neg3,1742281.874,4.8012,1.26,1.0,1.0,130818,135600,该候选只用于模拟盘计划，不代表实盘可买入。,20250930,194.99,20251009,192.2,-0.017928426073132,False,20250929,20250930,194.99,198.0,191.88,195.7,189.06,3.5121,20251009,197.7,198.64,188.26,192.2,195.7,-1.7885,20251010,190.0,196.66,181.29,183.26,192.2,-4.6514,20251013,164.93,179.94,164.93,174.01,183.26,-5.0475,20251014,176.1,176.5,160.0,161.01,174.01,-7.4708,fixed_t2_close,True,,20250930,194.99,195.18499,daily_open_plus_slippage_no_l2,True,,20251009,192.2,192.00779999999997,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.017897839807251726,-0.01431827184580138,False,-0.01431827184580138,conservative_daily_replay
20251009,1,PLAN_BUY_T1_OPEN,601168.SH,西部矿业,sh_main,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_1pct_0_3pct,0.0018077016261882,20_40,8_15,15_30,neutral,main_rise,warming,1100_1330,3_6,1_2_2,0_3,2393963.901,4.23,1.41,19.0,1.0,111956,135826,该候选只用于模拟盘计划，不代表实盘可买入。,20251010,24.15,20251013,23.44,-0.0330195859213249,False,20251009,20251010,24.15,25.15,23.65,23.87,24.2,-1.3636,20251013,22.45,23.62,22.45,23.44,23.87,-1.8014,20251014,24.2,24.29,22.33,22.55,23.44,-3.7969,20251015,22.64,23.26,22.51,23.2,22.55,2.8825,20251016,23.0,23.32,22.71,22.87,23.2,-1.4224,fixed_t2_close,True,,20251010,24.15,24.174149999999997,daily_open_plus_slippage_no_l2,True,,20251013,23.44,23.41656,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.03295884748791571,-0.02636707799033257,False,-0.02636707799033257,conservative_daily_replay
20251113,1,PLAN_BUY_T1_OPEN,002780.SZ,三夫户外,sz_main,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.0123946889638994,40_80,15_30,lt_5,neutral,main_rise,warming,1100_1330,15_25,1_2_2,neg3_0,477632.992,21.9992,2.83,1.0,1.0,131757,131836,该候选只用于模拟盘计划，不代表实盘可买入。,20251114,18.29,20251117,17.28,-0.0588414324767631,False,20251113,20251114,18.29,19.2,17.64,19.2,17.45,10.0287,20251117,17.88,18.18,17.28,17.28,19.2,-10.0,20251118,16.58,16.74,15.56,15.6,17.28,-9.7222,20251119,15.58,16.19,15.35,15.74,15.6,0.8974,20251120,15.45,15.64,15.0,15.02,15.74,-4.5743,fixed_t2_close,True,,20251114,18.29,18.308289999999996,daily_open_plus_slippage_no_l2,True,,20251118,15.6,15.5844,fixed_close,daily_price_minus_slippage_no_l2,False,1,-0.15039905036461604,-0.12031924029169283,False,-0.12031924029169283,conservative_daily_replay
20251201,1,PLAN_BUY_T1_OPEN,000078.SZ,海王生物,sz_main,3.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_3pct_0_5pct,0.0039746205620082,40_80,15_30,lt_5,neutral,mixed,warming,1100_1330,15_25,1_2_2,gte_10,1898650.376,20.3422,2.74,5.0,4.0,131709,134118,该候选只用于模拟盘计划，不代表实盘可买入。,20251202,3.8,20251203,4.52,0.1858536842105262,True,20251201,20251202,3.8,4.11,3.8,4.11,3.74,9.893,20251203,4.2,4.52,4.18,4.52,4.11,9.9757,20251204,4.97,4.97,4.54,4.81,4.52,6.4159,20251205,4.82,5.29,4.82,5.29,4.81,9.9792,20251208,5.64,5.7,4.9,5.14,5.29,-2.8355,fixed_t2_close,True,,20251202,3.8,3.8037999999999994,daily_open_plus_slippage_no_l2,True,,20251203,4.52,4.515479999999999,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.1854771134129029,0.14838169073032234,True,0.14838169073032234,conservative_daily_replay
