scenario,signal_date,strategy_leg,operation_status,ts_code,name,market_segment,risk_flags,account_return,equity_before,equity_after,return_source,active_position,buy_executed,sell_executed,buy_reject_reason,sell_reject_reason,buy_trade_date,exit_trade_date,buy_price,exit_price,path_conflict,limit_down_blocked_days,live_order_enabled,initial_equity,peak_equity,drawdown
B_strict,20240522,B,NO_CANDIDATE,,,,,0.0,500000.0,500000.0,,,False,False,,,,,,,False,0,False,500000.0,500000.0,0.0
B_strict,20240523,B,NO_CANDIDATE,,,,,0.0,500000.0,500000.0,,,False,False,,,,,,,False,0,False,500000.0,500000.0,0.0
B_strict,20240524,B,NO_CANDIDATE,,,,,0.0,500000.0,500000.0,,,False,False,,,,,,,False,0,False,500000.0,500000.0,0.0
B_strict,20240527,B,HISTORICAL_SIM_FILLED,603068.SH,博通集成,sh_main,无,-0.042873273977862995,500000.0,478563.3630110685,conservative_daily_replay,,True,True,,,20240528,20240529,27.18716,25.7742,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240528,B,POSITION_OCCUPIED_SKIP,,,,,0.0,478563.3630110685,478563.3630110685,,603068.SH 博通集成,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240529,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240530,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240531,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240603,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240604,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240605,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240606,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240607,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240611,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240612,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240613,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240614,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240617,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240618,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240619,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240624,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240625,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240626,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240627,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240628,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240701,B,NO_CANDIDATE,,,,,0.0,478563.3630110685,478563.3630110685,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.042873273977863
B_strict,20240702,B,HISTORICAL_SIM_FILLED,600421.SH,华嵘控股,sh_main,无,-0.04699873918715833,478563.3630110685,456071.4883283819,conservative_daily_replay,,True,True,,,20240703,20240704,7.067059999999999,6.66333,False,0,False,500000.0,500000.0,-0.0878570233432362
B_strict,20240703,B,POSITION_OCCUPIED_SKIP,,,,,0.0,456071.4883283819,456071.4883283819,,600421.SH 华嵘控股,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.0878570233432362
B_strict,20240704,B,NO_CANDIDATE,,,,,0.0,456071.4883283819,456071.4883283819,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.0878570233432362
B_strict,20240705,B,NO_CANDIDATE,,,,,0.0,456071.4883283819,456071.4883283819,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.0878570233432362
B_strict,20240708,B,NO_CANDIDATE,,,,,0.0,456071.4883283819,456071.4883283819,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.0878570233432362
B_strict,20240709,B,NO_CANDIDATE,,,,,0.0,456071.4883283819,456071.4883283819,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.0878570233432362
B_strict,20240710,B,NO_CANDIDATE,,,,,0.0,456071.4883283819,456071.4883283819,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.0878570233432362
B_strict,20240711,B,NO_CANDIDATE,,,,,0.0,456071.4883283819,456071.4883283819,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.0878570233432362
B_strict,20240716,B,NO_CANDIDATE,,,,,0.0,456071.4883283819,456071.4883283819,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.0878570233432362
B_strict,20240717,B,NO_CANDIDATE,,,,,0.0,456071.4883283819,456071.4883283819,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.0878570233432362
B_strict,20240718,B,NO_CANDIDATE,,,,,0.0,456071.4883283819,456071.4883283819,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.0878570233432362
B_strict,20240719,B,NO_CANDIDATE,,,,,0.0,456071.4883283819,456071.4883283819,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.0878570233432362
B_strict,20240722,B,NO_CANDIDATE,,,,,0.0,456071.4883283819,456071.4883283819,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.0878570233432362
B_strict,20240723,B,NO_CANDIDATE,,,,,0.0,456071.4883283819,456071.4883283819,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.0878570233432362
B_strict,20240724,B,NO_CANDIDATE,,,,,0.0,456071.4883283819,456071.4883283819,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.0878570233432362
B_strict,20240725,B,NO_CANDIDATE,,,,,0.0,456071.4883283819,456071.4883283819,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.0878570233432362
B_strict,20240726,B,HISTORICAL_SIM_FILLED,000338.SZ,潍柴动力,sz_main,无,-0.061111184815184794,456071.4883283819,428200.41931620974,conservative_daily_replay,,True,True,,,20240729,20240730,14.414399999999999,13.336649999999999,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240729,B,POSITION_OCCUPIED_SKIP,,,,,0.0,428200.41931620974,428200.41931620974,,000338.SZ 潍柴动力,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240730,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240731,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240801,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240806,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240807,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240808,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240809,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240812,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240813,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240814,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240815,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240816,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240819,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240820,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240821,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240822,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240823,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240826,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240827,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240828,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240829,B,NO_CANDIDATE,,,,,0.0,428200.41931620974,428200.41931620974,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14359916136758055
B_strict,20240830,B,HISTORICAL_SIM_FILLED,603883.SH,老百姓,sh_main,无,-0.0017063039817324295,428200.41931620974,427469.77923575096,conservative_daily_replay,,True,True,,,20240902,20240903,13.453439999999999,13.44654,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20240902,B,POSITION_OCCUPIED_SKIP,,,,,0.0,427469.77923575096,427469.77923575096,,603883.SH 老百姓,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20240905,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20240912,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20240919,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
B_strict,20240924,B,NO_CANDIDATE,,,,,0.0,427469.77923575096,427469.77923575096,,,False,False,,,,,,,False,0,False,500000.0,500000.0,-0.14506044152849806
