scenario,condition,day_count,executed_trade_count,b_trade_count,a_trade_count,buy_rejected_count,sell_unresolved_count,review_required_count,no_candidate_count,position_occupied_skip_count,win_rate,avg_account_return,median_account_return,max_profit,max_loss,profit_loss_ratio,initial_equity,final_equity,equity_multiple,max_drawdown,path_conflict_count,limit_down_blocked_trade_count,live_order_enabled,description,base_b_selected_count,base_b_rejected_count,residual_b_before_filter_count,residual_b_rejected_count,residual_b_after_filter_count,b_only_equity_multiple,rejected_trade_keys
reject_b_open_times_gte_4,segment_emotion_state_bucket=warming,90,14,5,9,0,0,1,61,14,0.8571428571428571,0.05147299330118253,0.03752132864265305,0.15860683400809739,-0.0350052172427846,1.9114316615893805,500000.0,987601.7617145205,1.975203523429041,-0.0350052172427846,0,0,False,B额外过滤炸板次数>=4。,20,7,13,8,5,1.3859586268879636,20260112:603015.SH:-0.1139;20260302:603257.SH:-0.0276;20260306:000509.SZ:0.0221;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260324:601016.SH:0.0500;20260413:000968.SZ:-0.0496;20260416:603220.SH:-0.0441
reject_b_sh_main_or_open_times_gte_4,segment_emotion_state_bucket=warming,90,11,1,10,0,0,1,67,11,0.8181818181818182,0.05585348004330006,0.0457725821591917,0.15860683400809739,-0.0350052172427846,2.205626012417613,500000.0,893842.2309249268,1.7876844618498535,-0.0350052172427846,0,0,False,B额外过滤沪市主板或炸板次数>=4。,20,7,13,12,1,1.1586068340080975,20260112:603015.SH:-0.1139;20260302:603257.SH:-0.0276;20260306:000509.SZ:0.0221;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260313:603248.SH:0.1420;20260324:601016.SH:0.0500;20260325:603829.SH:0.0018;20260408:603083.SH:0.0205;20260413:000968.SZ:-0.0496;20260416:603220.SH:-0.0441;20260507:603256.SH:0.0246
reject_b_open_times_gte_4_or_turnover_gte_20,segment_emotion_state_bucket=warming,90,13,4,9,0,0,1,63,13,0.8461538461538461,0.04451184368759743,0.0352808081329955,0.15860683400809739,-0.0350052172427846,1.7102179942424578,500000.0,864824.4216067318,1.7296488432134636,-0.0350052172427846,0,0,False,B额外过滤炸板次数>=4或换手率>=20%。,20,7,13,9,4,1.2136580900669938,20260112:603015.SH:-0.1139;20260302:603257.SH:-0.0276;20260306:000509.SZ:0.0221;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260313:603248.SH:0.1420;20260324:601016.SH:0.0500;20260413:000968.SZ:-0.0496;20260416:603220.SH:-0.0441
reject_b_retreat_warming_2day,segment_emotion_state_bucket=warming,90,14,5,9,0,0,1,61,14,0.7857142857142857,0.045873670939871644,0.042767215655751145,0.14196793827778875,-0.049626241187383915,2.0418385398174066,500000.0,918983.7919857359,1.8379675839714718,-0.0496262411873839,0,0,False,B额外过滤retreat_state_bucket=warming_2day。,20,7,13,7,6,1.1494975059542154,20260106:002865.SZ:0.1586;20260112:603015.SH:-0.1139;20260302:603257.SH:-0.0276;20260306:000509.SZ:0.0221;20260325:603829.SH:0.0018;20260408:603083.SH:0.0205;20260416:603220.SH:-0.0441
reject_b_market_emotion_warming,segment_emotion_state_bucket=warming,90,14,5,9,0,0,1,61,14,0.7857142857142857,0.045873670939871644,0.042767215655751145,0.14196793827778875,-0.049626241187383915,2.0418385398174066,500000.0,918983.7919857359,1.8379675839714718,-0.0496262411873839,0,0,False,B额外过滤market_emotion_state_bucket=warming。,20,7,13,7,6,1.1494975059542154,20260106:002865.SZ:0.1586;20260112:603015.SH:-0.1139;20260302:603257.SH:-0.0276;20260306:000509.SZ:0.0221;20260325:603829.SH:0.0018;20260408:603083.SH:0.0205;20260416:603220.SH:-0.0441
reject_b_market_segment_sh_main,segment_emotion_state_bucket=warming,90,12,3,9,0,0,0,66,12,0.8333333333333334,0.05181857540694582,0.042767215655751145,0.15860683400809739,-0.049626241187383915,1.6901528274928452,500000.0,899714.8389981607,1.7994296779963213,-0.0496262411873839,0,0,False,B额外过滤沪市主板。,20,7,13,10,3,1.1253952164527805,20260112:603015.SH:-0.1139;20260302:603257.SH:-0.0276;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260313:603248.SH:0.1420;20260324:601016.SH:0.0500;20260325:603829.SH:0.0018;20260408:603083.SH:0.0205;20260416:603220.SH:-0.0441;20260507:603256.SH:0.0246
reject_b_turnover_bucket_15_25,segment_emotion_state_bucket=warming,90,14,6,8,0,0,1,61,14,0.7857142857142857,0.037126143998847935,0.02996064702508429,0.14196793827778875,-0.049626241187383915,1.5488091841716916,500000.0,816296.0054347129,1.6325920108694256,-0.0496262411873839,0,0,False,B额外过滤换手率分桶15_25。,20,7,13,7,6,1.105454944927958,20260106:002865.SZ:0.1586;20260112:603015.SH:-0.1139;20260306:000509.SZ:0.0221;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260324:601016.SH:0.0500;20260416:603220.SH:-0.0441
reject_b_sh_main_or_chain_gte_30,segment_emotion_state_bucket=warming,90,11,2,9,0,0,0,68,11,0.8181818181818182,0.04211055189775022,0.0397618491523106,0.1308549259970799,-0.049626241187383915,1.4556258030203644,500000.0,776548.8797314245,1.553097759462849,-0.0496262411873839,0,0,False,B额外过滤沪市主板或全市场连板数量gte_30。,20,7,13,11,2,0.9713348682396216,20260106:002865.SZ:0.1586;20260112:603015.SH:-0.1139;20260302:603257.SH:-0.0276;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260313:603248.SH:0.1420;20260324:601016.SH:0.0500;20260325:603829.SH:0.0018;20260408:603083.SH:0.0205;20260416:603220.SH:-0.0441;20260507:603256.SH:0.0246
reject_b_turnover_rate_gte_20,segment_emotion_state_bucket=warming,90,14,6,8,0,0,0,62,14,0.8571428571428571,0.04530851955709252,0.03752132864265305,0.15860683400809739,-0.049626241187383915,1.4334162132578943,500000.0,912416.8520019378,1.8248337040038756,-0.04962624118738401,0,0,False,B额外过滤换手率>=20%。,20,7,13,6,7,1.2356249622267859,20260112:603015.SH:-0.1139;20260302:603257.SH:-0.0276;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260313:603248.SH:0.1420;20260416:603220.SH:-0.0441
reject_b_market_chain_gte_30,segment_emotion_state_bucket=warming,90,16,9,7,0,0,0,58,16,0.6875,0.030945799100823835,0.02334806713441081,0.14196793827778875,-0.049626241187383915,1.772812648192336,500000.0,794870.9301808915,1.589741860361783,-0.0915278116157231,0,0,False,B额外过滤全市场连板数量gte_30。,20,7,13,2,11,1.1144180894250373,20260106:002865.SZ:0.1586;20260112:603015.SH:-0.1139
